S,n_low,L_low,n_up,L_up,wl,wl_air
3,3,P,23,D,7975.37,7973.18
3,3,P,24,S,7967.63,7965.44
3,3,P,24,D,7964.62,7962.43
3,3,P,25,S,7957.81,7955.62
3,3,P,25,D,7955.15,7952.96
3,4,P,4,D,4.400e+05,4.400e+05
3,4,P,5,S,46949.81,46937.01
3,4,P,5,D,37035.72,37025.62
3,4,P,6,S,26888.50,26881.16
3,4,P,6,D,24734.01,24727.27
3,4,P,7,S,21499.92,21494.06
3,4,P,7,D,20607.44,20601.82
3,4,P,8,S,19068.31,19063.10
3,4,P,8,D,18594.25,18589.18
3,4,P,9,S,17715.01,17710.17
3,4,P,9,D,17427.16,17422.40
3,4,P,10,S,16868.59,16863.99
3,4,P,10,D,16678.43,16673.87
3,4,P,11,S,16297.80,16293.35
3,4,P,11,D,16164.62,16160.20
3,4,P,12,S,15891.94,15887.60
3,4,P,12,D,15794.56,15790.25
3,4,P,13,S,15591.70,15587.44
3,4,P,13,D,15518.11,15513.87
3,4,P,14,S,15362.66,15358.46
3,4,P,14,D,15305.55,15301.37
3,4,P,15,S,15183.56,15179.41
3,4,P,15,D,15138.27,15134.14
3,4,P,16,S,15040.63,15036.52
3,4,P,16,D,15004.07,14999.97
3,4,P,17,S,14924.61,14920.54
3,4,P,17,D,14894.64,14890.57
3,4,P,18,S,14829.06,14825.01
3,4,P,18,D,14804.16,14800.12
3,4,P,19,S,14749.36,14745.33
3,4,P,19,D,14728.45,14724.42
3,4,P,20,S,14682.17,14678.15
3,4,P,20,D,14664.41,14660.41
3,4,P,21,S,14624.96,14620.96
3,4,P,21,D,14609.75,14605.76
3,4,P,22,S,14575.83,14571.84
3,4,P,22,D,14562.70,14558.73
3,4,P,23,S,14533.31,14529.34
3,4,P,23,D,14521.91,14517.94
3,4,P,24,S,14496.27,14492.31
3,4,P,24,D,14486.29,14482.33
3,4,P,25,S,14463.79,14459.84
3,4,P,25,D,14455.01,14451.06
3,5,P,5,D,8.590e+05,8.590e+05
3,5,P,6,S,88074.38,88050.38
3,5,P,6,D,68523.33,68504.66
3,5,P,7,S,48367.10,48353.91
3,5,P,7,D,44073.10,44061.08
3,5,P,8,S,37584.86,37574.61
3,5,P,8,D,35786.54,35776.78
3,5,P,9,S,32666.16,32657.26
3,5,P,9,D,31700.63,31691.99
3,5,P,10,S,29899.68,29891.53
3,5,P,10,D,29307.38,29299.38
3,5,P,11,S,28152.06,28144.38
3,5,P,11,D,27757.02,27749.45
3,5,P,12,S,26962.61,26955.26
3,5,P,12,D,26683.50,26676.22
3,5,P,13,S,26109.60,26102.48
3,5,P,13,D,25903.87,25896.81
3,5,P,14,S,25473.61,25466.66
3,5,P,14,D,25316.97,25310.06
3,5,P,15,S,24984.93,24978.11
3,5,P,15,D,24862.54,24855.76
3,5,P,16,S,24600.26,24593.55
3,5,P,16,D,24502.60,24495.91
3,5,P,17,S,24291.41,24284.78
3,5,P,17,D,24212.10,24205.50
3,5,P,18,S,24039.28,24032.73
3,5,P,18,D,23973.92,23967.38
3,5,P,19,S,23830.55,23824.05
3,5,P,19,D,23775.99,23769.50
3,5,P,20,S,23655.62,23649.17
3,5,P,20,D,23609.56,23603.12
3,5,P,21,S,23507.46,23501.04
3,5,P,21,D,23468.20,23461.80
3,5,P,22,S,23380.79,23374.41
3,5,P,22,D,23347.04,23340.67
3,5,P,23,S,23271.59,23265.24
3,5,P,23,D,23242.36,23236.02
3,5,P,24,S,23176.76,23170.44
3,5,P,24,D,23151.25,23144.94
3,5,P,25,S,23093.85,23087.55
3,5,P,25,D,23071.46,23065.16
3,3,D,4,P,19548.43,19543.09
3,3,D,4,F,18690.46,18685.35
3,3,D,5,P,12988.43,12984.88
3,3,D,5,F,12788.44,12784.94
3,3,D,6,P,10999.66,10996.65
3,3,D,6,F,10915.99,10913.01
3,3,D,7,P,10074.79,10072.03
3,3,D,7,F,10030.47,10027.72
3,3,D,8,P,9555.52,9552.90
3,3,D,8,F,9528.78,9526.17
3,3,D,9,P,9230.39,9227.86
3,3,D,9,F,9212.86,9210.34
3,3,D,10,P,9011.63,9009.15
3,3,D,10,F,8999.45,8996.98
3,3,D,11,P,8856.63,8854.20
3,3,D,11,F,8847.80,8845.37
3,3,D,12,P,8742.47,8740.07
3,3,D,12,F,8735.84,8733.44
3,3,D,13,P,8655.76,8653.38
3,3,D,13,F,8650.65,8648.27
3,3,D,14,P,8588.26,8585.90
3,3,D,14,F,8584.23,8581.87
3,3,D,15,P,8534.61,8532.27
3,3,D,15,F,8531.38,8529.04
3,3,D,16,P,8491.25,8488.92
3,3,D,16,F,8488.61,8486.28
3,3,D,17,P,8455.67,8453.35
