S,n_low,L_low,n_up,L_up,wl,wl_air
1,4,P,23,D,15127.43,15123.30
1,4,P,24,S,15093.81,15089.69
1,4,P,24,D,15088.79,15084.67
1,4,P,25,S,15059.28,15055.16
1,4,P,25,D,15054.86,15050.74
1,5,P,6,S,85294.65,85271.41
1,5,P,6,D,75854.80,75834.12
1,5,P,7,S,49105.47,49092.09
1,5,P,7,D,46999.86,46987.04
1,5,P,8,S,38578.73,38568.21
1,5,P,8,D,37694.43,37684.15
1,5,P,9,S,33665.04,33655.86
1,5,P,9,D,33189.66,33180.61
1,5,P,10,S,30867.98,30859.56
1,5,P,10,D,30576.11,30567.77
1,5,P,11,S,29087.60,29079.66
1,5,P,11,D,28892.80,28884.92
1,5,P,12,S,27869.40,27861.80
1,5,P,12,D,27731.68,27724.12
1,5,P,13,S,26992.27,26984.91
1,5,P,13,D,26890.71,26883.38
1,5,P,14,S,26336.26,26329.07
1,5,P,14,D,26258.89,26251.73
1,5,P,15,S,25830.89,25823.85
1,5,P,15,D,25770.42,25763.39
1,5,P,16,S,25432.24,25425.31
1,5,P,16,D,25383.97,25377.04
1,5,P,17,S,25111.59,25104.74
1,5,P,17,D,25072.37,25065.53
1,5,P,18,S,24849.42,24842.65
1,5,P,18,D,24817.09,24810.32
1,5,P,19,S,24632.07,24625.36
1,5,P,19,D,24605.07,24598.36
1,5,P,20,S,24449.71,24443.04
1,5,P,20,D,24426.91,24420.24
1,5,P,21,S,24295.07,24288.45
1,5,P,21,D,24275.64,24269.02
1,5,P,22,S,24162.75,24156.16
1,5,P,22,D,24146.03,24139.45
1,5,P,23,S,24048.57,24042.01
1,5,P,23,D,24034.09,24027.53
1,5,P,24,S,23949.33,23942.80
1,5,P,24,D,23936.70,23930.17
1,5,P,25,S,23862.51,23856.00
1,5,P,25,D,23851.41,23844.90
1,3,D,3,P,9.580e+05,9.580e+05
1,3,D,4,F,18702.32,18697.21
1,3,D,4,P,18560.64,18555.57
1,3,D,5,F,12794.00,12790.50
1,3,D,5,P,12759.18,12755.69
1,3,D,6,F,10920.05,10917.06
1,3,D,6,P,10905.19,10902.21
1,3,D,7,F,10033.90,10031.15
1,3,D,7,P,10025.95,10023.20
1,3,D,8,F,9531.87,9529.26
1,3,D,8,P,9527.05,9524.43
1,3,D,9,F,9215.76,9213.23
1,3,D,9,P,9212.58,9210.05
1,3,D,10,F,9002.21,8999.74
1,3,D,10,P,8999.99,8997.52
1,3,D,11,F,8850.47,8848.04
1,3,D,11,P,8848.85,8846.43
1,3,D,12,F,8738.44,8736.04
1,3,D,12,P,8737.23,8734.83
1,3,D,13,F,8653.20,8650.82
1,3,D,13,P,8652.26,8649.89
1,3,D,14,F,8586.74,8584.38
1,3,D,14,P,8586.00,8583.64
1,3,D,15,F,8533.86,8531.52
1,3,D,15,P,8533.27,8530.93
1,3,D,16,F,8491.07,8488.74
1,3,D,16,P,8490.59,8488.25
1,3,D,17,F,8455.93,8453.60
1,3,D,17,P,8455.53,8453.20
1,3,D,18,F,8426.70,8424.39
1,3,D,18,P,8426.37,8424.05
1,3,D,19,F,8402.12,8399.82
1,3,D,19,P,8401.84,8399.53
1,3,D,20,F,8381.25,8378.95
1,3,D,20,P,8381.01,8378.71
1,3,D,21,F,8363.38,8361.08
1,3,D,21,P,8363.17,8360.87
1,3,D,22,F,8347.94,8345.65
1,3,D,22,P,8347.76,8345.47
1,3,D,23,F,8334.53,8332.24
1,3,D,23,P,8334.37,8332.08
1,3,D,24,F,8322.79,8320.50
1,3,D,24,P,8322.65,8320.36
1,3,D,25,F,8312.45,8310.17
1,3,D,25,P,8312.33,8310.05
1,4,D,4,F,1.840e+07,1.840e+07
1,4,D,4,P,2.160e+06,2.160e+06
1,4,D,5,F,40409.34,40398.33
1,4,D,5,P,40064.00,40053.08
1,4,D,6,F,26205.62,26198.47
1,4,D,6,P,26120.21,26113.09
1,4,D,7,F,21622.91,21617.01
1,4,D,7,P,21586.00,21580.11
1,4,D,8,F,19418.88,19413.58
1,4,D,8,P,19398.85,19393.56
1,4,D,9,F,18150.49,18145.54
1,4,D,9,P,18138.16,18133.21
1,4,D,10,F,17340.34,17335.61
1,4,D,10,P,17332.12,17327.39
1,4,D,11,F,16785.99,16781.40
1,4,D,11,P,16780.19,16775.61
1,4,D,12,F,16387.53,16383.05
1,4,D,12,P,16383.27,16378.79
1,4,D,13,F,16090.29,16085.89
1,4,D,13,P,16087.05,16082.66
1,4,D,14,F,15862.00,15857.67
1,4,D,14,P,15859.48,15855.15
1,4,D,15,F,15682.50,15678.22
1,4,D,15,P,15680.50,15676.22
1,4,D,16,F,15538.59,15534.35
1,4,D,16,P,15536.97,15532.73
1,4,D,17,F,15421.31,15417.09
1,4,D,17,P,15419.97,15415.76
1,4,D,18,F,15324.38,15320.19
1,4,D,18,P,15323.27,15319.08
1,4,D,19,F,15243.29,15239.13
1,4,D,19,P,15242.36,15238.20
1,4,D,20,F,15174.74,15170.59
1,4,D,20,P,15173.95,15169.80
1,4,D,21,F,15116.24,15112.11
1,4,D,21,P,15115.56,15111.43
1,4,D,22,F,15065.89,15061.78
1,4,D,22,P,15065.31,15061.19
1,4,D,23,F,15022.25,15018.14
1,4,D,23,P,15021.74,15017.63
1,4,D,24,F,14984.15,14980.05
1,4,D,24,P,14983.70,14979.61
1,4,D,25,F,14950.69,14946.61
1,4,D,25,P,14950.30,14946.21
1,5,D,5,F,3.520e+07,3.520e+07
1,5,D,5,P,4.140e+06,4.140e+06
1,5,D,6,F,74396.91,74376.63
1,5,D,6,P,73712.69,73692.60
1,5,D,7,F,46449.17,46436.50
1,5,D,7,P,46279.21,46266.59
1,5,D,8,F,37344.20,37334.02
1,5,D,8,P,37270.18,37260.02
1,5,D,9,F,32920.10,32911.13
1,5,D,9,P,32879.56,32870.60
1,5,D,10,F,30348.43,30340.15
1,5,D,10,P,30323.25,30314.98
1,5,D,11,F,28690.15,28682.33
1,5,D,11,P,28673.22,28665.40
1,5,D,12,F,27545.42,27537.91
1,5,D,12,P,27533.38,27525.87
1,5,D,13,F,26715.86,26708.57
1,5,D,13,P,26706.94,26699.66
1,5,D,14,F,26092.36,26085.24
1,5,D,14,P,26085.54,26078.43
1,5,D,15,F,25610.17,25603.18
1,5,D,15,P,25604.83,25597.84
1,5,D,16,F,25228.60,25221.71
1,5,D,16,P,25224.32,25217.44
1,5,D,17,F,24920.87,24914.07
1,5,D,17,P,24917.39,24910.60
1,5,D,18,F,24668.72,24661.99
1,5,D,18,P,24665.85,24659.12
1,5,D,19,F,24459.28,24452.61
1,5,D,19,P,24456.88,24450.20
1,5,D,20,F,24283.25,24276.63
1,5,D,20,P,24281.22,24274.60
1,5,D,21,F,24133.79,24127.20
1,5,D,21,P,24132.06,24125.47
1,5,D,22,F,24005.72,23999.17
1,5,D,22,P,24004.23,23997.68
1,5,D,23,F,23895.09,23888.57
1,5,D,23,P,23893.80,23887.28
1,5,D,24,F,23798.84,23792.35
1,5,D,24,P,23797.71,23791.22
1,5,D,25,F,23714.55,23708.08
1,5,D,25,P,23713.56,23707.09
1,4,F,5,D,40545.05,40533.99
1,4,F,5,G,40490.35,40479.31
1,4,F,6,D,26254.48,26247.32
1,4,F,6,G,26241.00,26233.85
1,4,F,7,D,21653.31,21647.40
1,4,F,7,G,21647.49,21641.58
1,4,F,8,D,19442.10,19436.80
1,4,F,8,G,19438.94,19433.63
1,4,F,9,D,18170.09,18165.13
1,4,F,9,G,18168.14,18163.18
1,4,F,10,D,17357.82,17353.08
1,4,F,10,G,17356.52,17351.78
1,4,F,11,D,16802.11,16797.52
1,4,F,11,G,16801.19,16796.60
1,4,F,12,D,16402.72,16398.24
1,4,F,12,G,16402.05,16397.57
1,4,F,13,D,16104.82,16100.42
1,4,F,13,G,16104.31,16099.91
1,4,F,14,D,15876.04,15871.71
1,4,F,14,G,15875.64,15871.31
1,4,F,15,D,15696.16,15691.88
1,4,F,15,G,15695.85,15691.56
1,4,F,16,D,15551.96,15547.71
1,4,F,16,G,15551.70,15547.45
1,4,F,17,D,15434.44,15430.22
1,4,F,17,G,15434.23,15430.01
1,4,F,18,D,15337.31,15333.12
1,4,F,18,G,15337.14,15332.95
1,4,F,19,D,15256.07,15251.90
1,4,F,19,G,15255.92,15251.76
1,4,F,20,D,15187.39,15183.24
1,4,F,20,G,15187.26,15183.11
1,4,F,21,D,15128.77,15124.64
1,4,F,21,G,15128.67,15124.53
1,4,F,22,D,15078.33,15074.22
1,4,F,22,G,15078.24,15074.12
1,4,F,23,D,15034.61,15030.50
1,4,F,23,G,15034.52,15030.42
1,4,F,24,D,14996.44,14992.34
1,4,F,24,G,14996.37,14992.27
1,4,F,25,D,14962.92,14958.83
1,4,F,25,G,14962.85,14958.77
1,5,F,5,G,2.040e+08,2.040e+08
1,5,F,6,D,74646.94,74626.60
1,5,F,6,G,74538.07,74517.76
1,5,F,7,D,46533.33,46520.64
1,5,F,7,G,46506.43,46493.75
1,5,F,8,D,37393.76,37383.56
1,5,F,8,G,37382.05,37371.86
1,5,F,9,D,32956.34,32947.35
1,5,F,9,G,32949.93,32940.94
1,5,F,10,D,30377.98,30369.69
1,5,F,10,G,30373.99,30365.71
1,5,F,11,D,28715.82,28707.99
1,5,F,11,G,28713.14,28705.31
1,5,F,12,D,27568.60,27561.08
1,5,F,12,G,27566.69,27559.18
1,5,F,13,D,26737.34,26730.05
1,5,F,13,G,26735.93,26728.64
1,5,F,14,D,26112.62,26105.50
1,5,F,14,G,26111.54,26104.42
1,5,F,15,D,25629.53,25622.53
1,5,F,15,G,25628.68,25621.69
1,5,F,16,D,25247.26,25240.37
1,5,F,16,G,25246.58,25239.70
1,5,F,17,D,24938.99,24932.19
1,5,F,17,G,24938.44,24931.64
1,5,F,18,D,24686.40,24679.67
1,5,F,18,G,24685.95,24679.22
1,5,F,19,D,24476.61,24469.93
1,5,F,19,G,24476.23,24469.55
1,5,F,20,D,24300.29,24293.66
1,5,F,20,G,24299.97,24293.34
1,5,F,21,D,24150.58,24143.99
1,5,F,21,G,24150.30,24143.72
1,5,F,22,D,24022.30,24015.75
1,5,F,22,G,24022.06,24015.51
1,5,F,23,D,23911.50,23904.98
1,5,F,23,G,23911.29,23904.77
1,5,F,24,D,23815.09,23808.60
1,5,F,24,G,23814.92,23808.42
1,5,F,25,D,23730.67,23724.20
1,5,F,25,G,23730.51,23724.04
1,5,G,6,F,74581.79,74561.46
1,5,G,6,H,74561.55,74541.23
1,5,G,7,F,46521.17,46508.49
1,5,G,7,H,46516.08,46503.40
1,5,G,8,F,37390.72,37380.53
1,5,G,8,H,37388.49,37378.29
1,5,G,9,F,32956.25,32947.27
1,5,G,9,H,32955.02,32946.03
1,5,G,10,F,30379.15,30370.86
1,5,G,10,H,30378.37,30370.09
1,5,G,11,F,28717.61,28709.78
1,5,G,11,H,28717.09,28709.26
1,5,G,12,F,27570.73,27563.21
1,5,G,12,H,27570.35,27562.84
1,5,G,13,F,26739.66,26732.37
1,5,G,13,H,26739.39,26732.09
1,5,G,14,F,26115.06,26107.94
1,5,G,14,H,26114.85,26107.73
1,5,G,15,F,25632.04,25625.05
1,5,G,15,H,25631.87,25624.88
1,5,G,16,F,25249.82,25242.93
1,5,G,16,H,25249.69,25242.80
1,5,G,17,F,24941.58,24934.78
1,5,G,17,H,24941.47,24934.67
1,5,G,18,F,24689.01,24682.28
1,5,G,18,H,24688.92,24682.19
1,5,G,19,F,24479.23,24472.55
1,5,G,19,H,24479.15,24472.48
1,5,G,20,F,24302.92,24296.29
1,5,G,20,H,24302.85,24296.22
1,5,G,21,F,24153.21,24146.62
1,5,G,21,H,24153.16,24146.57
1,5,G,22,F,24024.94,24018.38
1,5,G,22,H,24024.89,24018.34
1,5,G,23,F,23914.13,23907.61
1,5,G,23,H,23914.09,23907.57
1,5,G,24,F,23817.73,23811.23
1,5,G,24,H,23817.69,23811.20
1,5,G,25,F,23733.31,23726.83
1,5,G,25,H,23733.27,23726.80
3,2,S,2,P,10833.14,10830.17
3,2,S,3,P,3889.74,3888.64
3,2,S,4,P,3188.67,3187.74
3,2,S,5,P,2945.96,2945.10
3,2,S,6,P,2829.91,2829.08
3,2,S,7,P,2764.62,2763.80
3,2,S,8,P,2724.00,2723.19
