#SMC_PREVOT
# E(x)/E(B-V) for x = 1/wave(in microns), Prevot et al. (1984, A&A, 132, 389)
# SMC
#1/um	E_um/E_BmV
1.e-9	-3.10  
0.29	-2.94  
0.45	-2.72  
0.80	-2.23  
1.11	-1.60  
1.43	-0.78  
1.82	0.00  
2.35	1.00  
2.70	1.67  
3.22	2.29  
3.34	2.65  
3.46	3.00  
3.60	3.15  
3.75	3.49  
3.92	3.91  
4.09	4.24  
4.28	4.53  
4.50	5.30  
4.73	5.85  
5.00	6.38  
5.24	6.76  
5.38	6.90  
5.52	7.17  
5.70	7.71  
5.88	8.01  
6.07	8.49  
6.27	9.06  
6.48	9.28  
6.72	9.84  
6.98	10.80  
7.23	11.51  
7.52	12.52  
7.84	13.54
