#SmcBar_GCMLW
# A(x)/A(V) for x = 1/wave(in microns), from Gordon et al. (2003, ApJ, 594, 279)
# SMC Bar
#1/um	A_x/A_V
1.e-9	0.000	
0.455	0.016	
0.606	0.169	
0.800	0.131	
1.235	0.567	
1.538	0.801	
1.818	1.000	
2.273	1.374	
2.703	1.672	
3.375	2.000	
3.625	2.220	
3.875	2.428	
4.125	2.661	
4.375	2.947	
4.625	3.161	
4.875	3.293	
5.125	3.489	
5.375	3.637	
5.625	3.866	
5.875	4.013	
6.125	4.243	
6.375	4.472	
6.625	4.776	
6.875	5.000	
7.125	5.272	
7.375	5.575	
7.625	5.795	
7.875	6.074	
8.125	6.297	
8.375	6.436	
8.625	6.992
