#Gal_SM79
# A(x)/E(B-V) for x = 1/wave(in microns), from Savage & Mathis (1979, ARA&A, 17, 73)
# Average Galactic
#1/um	A_um/E_BmV
1.e-9	0.00	
0.29	0.16	
0.45	0.38	
0.80	0.87	
1.11	1.50	
1.43	2.32	
1.82	3.10	
2.27	4.10	
2.50	4.40	
2.91	4.90	
3.65	6.20	
4.00	7.29	
4.17	8.00	
4.35	8.87	
4.57	9.67	
4.76	9.33	
5.00	8.62	
5.26	8.00	
5.56	7.75	
5.88	7.87	
6.25	8.12	
6.71	8.15	
7.18	8.49	
8.00	9.65	
8.50	10.55	
9.00	11.55	
9.50	12.90	
10.00	14.40
