0   0   0.20  0.50  0.80  1.00  1.20  1.50  1.70  2.00  4.00
1   2   0.782 0.763 0.761 0.762 0.764 0.768 0.771 0.777 0.831
1   3   1.17  1.15  1.14  1.14  1.15  1.15  1.16  1.17  1.25
1   4   0.611 0.419 0.390 0.393 0.400 0.413 0.421 0.433 0.483
1   5   1.22  0.838 0.780 0.785 0.800 0.826 0.842 0.865 0.967
2   3   7.14  7.10  7.09  7.06  6.99  6.87  6.79  6.65  6.07
2   4   1.64  1.55  1.52  1.51  1.51  1.51  1.52  1.53  1.64
2   5   2.16  2.12  2.13  2.14  2.15  2.16  2.17  2.18  2.31
3   4   1.53  1.51  1.53  1.53  1.54  1.55  1.55  1.56  1.65
3   5   4.17  4.00  3.95  3.94  3.94  3.96  3.98  4.01  4.28
4   5   1.18  1.46  1.84  2.07  2.25  2.47  2.58  2.70  2.98
*** Ar IV collision strength data
*** SOURCE1  'Ramsbottom & Bell 1997, ADNDT, 66, 1'
*** NOTE1    'All collision strengths'
