5d10               | 1S          |   0 |                0.0    |    L13502
                   |             |     |                       |           
5d9.6s             | (5/2,1/2)   |   3 |            75049.6    |    L13502
                   |             |   2 |            78644.0    |    L13502
                   |             |     |                       |           
5d9.6s             | (3/2,1/2)   |   1 |            93674.8    |    L13502
                   |             |   2 |            96725.1    |    L13502
                   |             |     |                       |           
5d9.6p             | (5/2,1/2)*  |   2 |           147632.4    |    L13502
                   |             |   3 |           149837.4    |    L13502
                   |             |     |                       |           
5d9.6p             | (3/2,1/2)*  |   2 |           166421.6    |    L13502
                   |             |     |                       |           
5d9.6p             | (5/2,3/2)*  |   1 |           167498.0    |    L13502
                   |             |   4 |           167670.4    |    L13502
                   |             |   2 |           170333.2    |    L13502
                   |             |   3 |           172272.8    |    L13502
                   |             |     |                       |           
5d9.6p             | (3/2,1/2)*  |   1 |           175286.0    |    L13502
                   |             |     |                       |           
5d9.6p             | (3/2,3/2)*  |   0 |           183087.5    |    L10932
                   |             |   3 |           187672.5    |    L10932
                   |             |   1 |           188230.4    |    L10932
                   |             |   2 |           190142.4    |    L10932
                   |             |     |                       |           
5d9.6d             | (5/2,3/2)   |   1 |           251803.0    |    L10932
                   |             |   4 |           254157.1    |    L10932
                   |             |   2 |           254633.2    |    L10932
                   |             |     |                       |           
5d9.7s             | (5/2,1/2)   |   3 |           255082.0    |    L10932
                   |             |     |                       |           
5d9.6d             | (5/2,5/2)   |   1 |           255693.4    |    L10932
                   |             |   5 |           255835.4    |    L10932
                   |             |     |                       |           
5d9.6d             | (5/2,3/2)   |   3 |           256070.2    |    L10932
                   |             |     |                       |           
5d9.7s             | (5/2,1/2)   |   2 |           256162.4    |    L10932
                   |             |     |                       |           
5d9.6d             | (5/2,5/2)   |   3 |           257750.4    |    L10932
                   |             |   2 |           257925.2    |    L10932
                   |             |   4 |           258286.0    |    L10932
                   |             |   0 |           262284.3    |    L10932
                   |             |     |                       |           
5d9.6d             | (3/2,3/2)   |   1 |           272533.6    |    L10932
                   |             |   3 |           272806.7    |    L10932
                   |             |     |                       |           
5d9.6d             | (3/2,5/2)   |   1 |           273797.0    |    L10932
                   |             |     |                       |           
5d9.7s             | (3/2,1/2)   |   2 |           274393.7    |    L10932
                   |             |   1 |           274770.5    |    L10932
                   |             |     |                       |           
5d9.6d             | (3/2,3/2)   |   2 |           275160.5    |    L10932
                   |             |     |                       |           
5d9.6d             | (3/2,5/2)   |   4 |           275233.5    |    L10932
                   |             |   2 |           276161.8    |    L10932
                   |             |   3 |           276865.9    |    L10932
                   |             |     |                       |           
