2s2.2p              | 2P*    | 1/2 |                  0     |     L7185
                    |        | 3/2 |              99360     |          
                    |        |     |                        |           
2s.2p2              | 4P     | 1/2 |             379660     |          
                    |        | 3/2 |             424980     |          
                    |        | 5/2 |             470670     |          
                    |        |     |                        |           
2s.2p2              | 2D     | 3/2 |             687540     |          
                    |        | 5/2 |             704190     |          
                    |        |     |                        |           
2s.2p2              | 2P     | 1/2 |             805930     |          
                    |        |     |                        |           
2s.2p2              | 2S     | 1/2 |             910880     |          
                    |        |     |                        |           
2s.2p2              | 2P     | 3/2 |             924710     |          
                    |        |     |                        |           
2p3                 | 4S*    | 3/2 |            1177430     |          
                    |        |     |                        |           
2p3                 | 2D*    | 3/2 |            1310890     |          
                    |        | 5/2 |            1335070     |          
                    |        |     |                        |           
2p3                 | 2P*    | 1/2 |            1472710     |          
                    |        | 3/2 |            1517410     |          
