2p6.3s2            | 1S     |   0 |               0.0    |     L7237
                   |        |     |                      |           
3s.3p              | 3P*    |   0 |           83024.0    |          
                   |        |   1 |           83393.5    |          
                   |        |   2 |           84155.2    |          
                   |        |     |                      |           
3s.3p              | 1P*    |   1 |          127150.7    |          
                   |        |     |                      |           
3p2                | 1D     |   2 |          193739.1    |          
                   |        |     |                      |           
3p2                | 3P     |   0 |          199967.2    |          
                   |        |   1 |          200370.6    |          
                   |        |   2 |          201146.0    |          
                   |        |     |                      |           
3s.3d              | 3D     |   1 |          234941.5    |          
                   |        |   2 |          234947.1    |          
                   |        |   3 |          234956.0    |          
                   |        |     |                      |           
3p2                | 1S     |   0 |          235350.0    |          
                   |        |     |                      |           
3s.3d              | 1D     |   2 |          270700.4    |          
                   |        |     |                      |           
3s.4s              | 3S     |   1 |          311595.1    |          
                   |        |     |                      |           
3s.4s              | 1S     |   0 |          320108.0    |          
                   |        |     |                      |           
3p.3d              | 3F*    |   2 |          323132.6    |          
                   |        |   3 |          323547.3    |          
                   |        |   4 |          324080.1    |          
                   |        |     |                      |           
3p.3d              | 1D*    |   2 |          328454.3    |          
                   |        |     |                      |           
3p.3d              | 3P*    |   2 |          345338.2    |          
                   |        |   1 |          345712.8    |          
                   |        |   0 |          345953.0    |          
                   |        |     |                      |           
3p.3d              | 3D*    |   1 |          347841.1    |          
                   |        |   2 |          348010.2    |          
                   |        |   3 |          348131.5    |          
                   |        |     |                      |           
3s.4p              | 3P*    |   0 |          349122.2    |          
                   |        |   1 |          349161.1    |          
                   |        |   2 |          349478.3    |          
                   |        |     |                      |           
3s.4p              | 1P*    |   1 |          349534.4    |          
                   |        |     |                      |           
3p.3d              | 1F*    |   3 |          366862.0    |          
                   |        |     |                      |           
3s.4d              | 3D     |   1 |          396025.5    |          
                   |        |   2 |          396039.5    |          
                   |        |   3 |          396060.6    |          
                   |        |     |                      |           
3s.4d              | 1D     |   2 |          397605.2    |          
                   |        |     |                      |           
3s.4f              | 3F*    |   2 |          410909.6    |          
                   |        |   3 |          410912.1    |          
                   |        |   4 |          410918.1    |          
                   |        |     |                      |           
3s.4f              | 1F*    |   3 |          417984.9    |          
                   |        |     |                      |           
3p.4s              | 3P*    |   0 |          420742.2    |          
                   |        |   1 |          421056.8    |          
                   |        |   2 |          421943.4    |          
                   |        |     |                      |           
3p.4s              | 1P*    |   1 |          424526.0    |          
                   |        |     |                      |           
3s.5s              | 3S     |   1 |          428439.0    |          
                   |        |     |                      |           
3s.5s              | 1S     |   0 |          430801.7    |          
                   |        |     |                      |           
3s.5p              | 3P*    |   0 |          445303.7    |          
                   |        |   1 |          445350.5    |          
                   |        |   2 |          445498.1    |          
                   |        |     |                      |           
3s.5p              | 1P*    |   1 |          447925.9    |          
                   |        |     |                      |           
3p.4p              | 1P     |   1 |          450091.5    |          
                   |        |     |                      |           
3p.4p              | 3D     |   1 |          452083.8    |          
                   |        |   2 |          452446.8    |          
                   |        |   3 |          453194.7    |          
                   |        |     |                      |           
3p.4p              | 3P     |   0 |          457665.5    |          
                   |        |   1 |          457913.5    |          
                   |        |   2 |          458440.9    |          
                   |        |     |                      |           
3p.4p              | 3S     |   1 |          459893.7    |          
                   |        |     |                      |           
3p.4p              | 1D     |   2 |          460223.4    |          
                   |        |     |                      |           
3s.5d              | 3D     |   1 |          468048.2    |          
                   |        |   2 |          468076.9    |          
                   |        |   3 |          468132.1    |          
                   |        |     |                      |           
3s.5d              | 1D     |   2 |          470229.4    |          
                   |        |     |                      |           
3p.4p              | 1S     |   0 |          472526.1    |          
                   |        |     |                      |           
3s.5f              | 3F*    |   2 |          473926.0    |          
                   |        |   3 |          473926.5    |          
                   |        |   4 |          473929.5    |          
                   |        |     |                      |           
3s.5g              | 1G     |   4 |          474476.8    |          
                   |        |     |                      |           
3s.5g              | 3G     |   3 |          474507.3    |          
                   |        |   4 |          474515.6    |          
                   |        |   5 |          474521.7    |          
                   |        |     |                      |           
3s.5f              | 1F*    |   3 |          475802.5    |          
                   |        |     |                      |           
3s.6s              | 3S     |   1 |          483653.6    |          
                   |        |     |                      |           
3s.6s              | 1S     |   0 |          485386.8    |          
                   |        |     |                      |           
3s.6p              | 3P*    |   0 |          490000.8    |          
                   |        |   1 |          490022.6    |          
                   |        |   2 |          490084.8    |          
                   |        |     |                      |           
3s.6p              | 1P*    |   1 |          492706.0    |          
                   |        |     |                      |           
3s.6d              | 3D     |   1 |          504296.5    |          
                   |        |   2 |          504305.7    |          
                   |        |   3 |          504310.5    |          
                   |        |     |                      |           
3s.6d              | 1D     |   2 |          504761.4    |          
                   |        |     |                      |           
3s.6g              | 1G     |   4 |          508218      |          
                   |        |     |                      |           
3s.6g              | 3G     |   5 |          508310      |          
                   |        |   4 |          508310      |          
                   |        |   3 |          508310      |          
                   |        |     |                      |           
3s.6f              | 3F*    |   4 |          508418      |          
                   |        |   3 |          508418      |          
                   |        |   2 |          508418      |          
                   |        |     |                      |           
3s.6h              | 3H*    |   5 |          509105.8    |          
                   |        |   6 |          509105.8    |          
                   |        |   4 |          509105.8    |          
                   |        |     |                      |           
3s.6h              | 1H*    |   5 |          509105.8    |          
                   |        |     |                      |           
3s.6f              | 1F*    |   3 |          510152      |          
                   |        |     |                      |           
3s.7s              | 3S     |   1 |          513933.6    |          
                   |        |     |                      |           
3s.7s              | 1S     |   0 |          514595.2    |          
                   |        |     |                      |           
3s.7p              | 1P*    |   1 |          519332      |          
                   |        |     |                      |           
3s.7p              | 3P*    |   2 |          520582      |          
                   |        |     |                      |           
3s.7d              | 3D     |   1 |          526480.3    |          
                   |        |   2 |          526494.1    |          
                   |        |   3 |          526501.7    |          
                   |        |     |                      |           
3s.7d              | 1D     |   2 |          526655.3    |          
                   |        |     |                      |           
3s.7f              | 3F*    |   4 |          528920      |          
                   |        |   3 |          528920      |          
                   |        |   2 |          528920      |          
                   |        |     |                      |           
3s.7h              | 3H*    |   5 |          529375      |          
                   |        |   6 |          529375      |          
                   |        |     |                      |           
3s.7h              | 1H*    |   5 |          529375      |          
                   |        |     |                      |           
3s.7h              | 3H*    |   4 |          529375      |          
                   |        |     |                      |           
3s.7i              | 1I     |   6 |          529479.8    |          
                   |        |     |                      |           
3s.7i              | 3I     |   6 |          529479.8    |          
                   |        |   7 |          529479.8    |          
                   |        |   5 |          529479.8    |          
                   |        |     |                      |           
3s.7f              | 1F*    |   3 |          529527      |          
                   |        |     |                      |           
3s.8s              | 3S     |   1 |          532503      |          
                   |        |     |                      |           
3s.8p              | 1P*    |   1 |          534691      |          
                   |        |     |                      |           
3s.8p              | 3P*    |   2 |          535965      |          
                   |        |     |                      |           
3s.8d              | 1D     |   2 |          540451      |          
                   |        |     |                      |           
3s.8d              | 3D     |   3 |          540471      |          
                   |        |     |                      |           
3s.8f              | 3F*    |   3 |          542212      |          
                   |        |   4 |          542212      |          
                   |        |   2 |          542212      |          
                   |        |     |                      |           
3s.8h              | 3H*    |   6 |          542535      |          
                   |        |   5 |          542535      |          
                   |        |   4 |          542535      |          
                   |        |     |                      |           
3s.8h              | 1H*    |   5 |          542535      |          
                   |        |     |                      |           
3s.8i              | 1I     |   6 |          542612      |          
                   |        |     |                      |           
3s.8i              | 3I     |   7 |          542612      |          
                   |        |   6 |          542612      |          
                   |        |   5 |          542612      |          
                   |        |     |                      |           
3s.8f              | 1F*    |   3 |          542615      |          
                   |        |     |                      |           
3s.9s              | 3S     |   1 |          544683      |          
                   |        |     |                      |           
3s.9d              | 3D     |   3 |          550031      |          
                   |        |     |                      |           
3s.9d              | 1D     |   2 |          550334      |          
                   |        |     |                      |           
3s.9f              | 3F*    |   3 |          551320      |          
                   |        |   2 |          551320      |          
                   |        |   4 |          551320      |          
                   |        |     |                      |           
3s.9f              | 1F*    |   3 |          551575      |          
                   |        |     |                      |           
3s.9i              | 1I     |   6 |          551618      |          
                   |        |     |                      |           
3s.9i              | 3I     |   7 |          551618      |          
                   |        |   6 |          551618      |          
                   |        |   5 |          551618      |          
                   |        |     |                      |           
3s.10f             | 3F*    |   2 |          557842      |          
                   |        |   3 |          557842      |          
                   |        |   4 |          557842      |          
                   |        |     |                      |           
3s.11f             | 3F*    |   2 |          562673      |          
                   |        |   3 |          562673      |          
                   |        |   4 |          562673      |          
