5d9                | 2D      |  5/2 |                 0.0    |       L3466
                   |         |      |                        |             
5d8.(3F).6s        | 4F      |  9/2 |              4786.6    |            
                   |         |      |                        |             
5d9                | 2D      |  3/2 |              8419.9    |            
                   |         |      |                        |             
5d8.(3F).6s        | 4F      |  7/2 |              9356.2    |            
                   |         |  5/2 |             13329.3    |            
                   |         |  3/2 |             15791.4    |            
                   |         |      |                        |             
5d8.(3P).6s        | 4P      |  5/2 |             16821.0    |            
                   |         |      |                        |             
5d8.(3F).6s        | 2F      |  7/2 |             18097.9    |            
                   |         |      |                        |             
5d8.(3P).6s        | 4P      |  3/2 |             21169.0    |            
                   |         |  1/2 |             21717.5    |            
                   |         |      |                        |             
5d8.(3F).6s        | 2F      |  5/2 |             23461.7    |            
                   |         |      |                        |             
5d8.(1D).6s        | 2D      |  3/2 |             23875.9    |            
                   |         |      |                        |             
5d7.6s2            | 4F      |  9/2 |             24879.6    |            
                   |         |      |                        |             
5d8.(3P).6s        | 2P      |  1/2 |             27256.1    |            
                   |         |      |                        |             
5d8.(1G).6s        | 2G      |  7/2 |             29030.7    |            
                   |         |  9/2 |             29262.3    |            
                   |         |      |                        |             
5d8.(3P).6s        | 2P      |  3/2 |             32237.6    |            
                   |         |      |                        |             
5d8.(1D).6s        | 2D      |  5/2 |             32919.2    |            
                   |         |      |                        |             
5d7.6s2            | 4F      |  7/2 |             34647.4    |            
                   |         |  5/2 |             36484.2    |            
                   |         |  3/2 |             37878.2    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4D*     |  7/2 |             51408.3    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4G*     |  9/2 |             53875.5    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4D*     |  3/2 |             56588.2    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4G*     |  5/2 |             57018.3    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4F*     |  9/2 |             60907.8    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4G*     | 11/2 |             61058.6    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4D*     |  5/2 |             61190.3    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4F*     |  7/2 |             61665.6    |            
                   |         |      |                        |             
5d8.(3F).6p        | 4D*     |  1/2 |             62782.2    |            
                   |         |      |                        |             
