                  |        |      |                           |              
3d6.(1D2).4s      | d 2D   |  5/2 |             91716.45      |       L19543
                  |        |  3/2 |             91815.362     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 6D*  |  9/2 |             98290.749     |       L19543
                  |        |  7/2 |             98546.132     |       L19543
                  |        |  5/2 |             98823.641     |       L19543
                  |        |  3/2 |             99043.919     |       L19543
                  |        |  1/2 |             99182.770     |       L19543
                  |        |      |                           |              
3d6.(1F).4s       | c 2F   |  7/2 |             99636.25      |       L19543
                  |        |  5/2 |             99642.24      |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 6F*  | 11/2 |            103245.694     |       L19543
                  |        |  9/2 |            103387.331     |       L19543
                  |        |  7/2 |            103502.324     |       L19543
                  |        |  5/2 |            103594.277     |       L19543
                  |        |  3/2 |            103656.301     |       L19543
                  |        |  1/2 |            103691.558     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 6P*  |  7/2 |            105009.493     |       L19543
                  |        |      |                           |              
3d6.(3P1).4s      | c 4P   |  1/2 |            105130.92      |       L19543
                  |        |  3/2 |            105698.48      |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 6P*  |  5/2 |            105965.840     |       L19543
                  |        |      |                           |              
3d6.(3F1).4s      | c 4F   |  3/2 |            106466.400     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 4D*  |  7/2 |            106489.424     |       L19543
                  |        |      |                           |              
3d6.(3F1).4s      | c 4F   |  9/2 |            106542.565     |       L19543
                  |        |  5/2 |            106558.982     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 6P*  |  3/2 |            106592.638     |       L19543
                  |        |      |                           |              
3d6.(3F1).4s      | c 4F   |  7/2 |            106612.624     |       L19543
                  |        |      |                           |              
3d6.(3P1).4s      | c 4P   |  5/2 |            106699.87      |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 4F*  |  9/2 |            106765.031     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 4D*  |  5/2 |            106954.805     |       L19543
                  |        |  3/2 |            107297.091     |       L19543
                  |        |  1/2 |            107507.748     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 4F*  |  7/2 |            107530.093     |       L19543
                  |        |  5/2 |            108052.907     |       L19543
                  |        |  3/2 |            108403.600     |       L19543
                  |        |      |                           |              
3d6.(5D).4p       | z 4P*  |  5/2 |            110371.568     |       L19543
                  |        |  3/2 |            110961.794     |       L19543
                  |        |  1/2 |            111283.436     |       L19543
                  |        |      |                           |              
3d6.(3F1).4s      | d 2F   |  5/2 |            112108.471     |       L19543
                  |        |  7/2 |            112111.42      |       L19543
                  |        |      |                           |              
3d6.(1G1).4s      | d 2G   |  9/2 |            116390.35      |       L19543
                  |        |  7/2 |            116440.00      |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | z 4S*  |  3/2 |            123936.664     |       L19543
                  |        |      |                           |              
