4f2.(1G).5d               |           |  9/2 |          25033.91    |            
                          |           |      |                      |             
4f3                       | 2L*       | 15/2 |          25244.61    |            
                          |           |      |                      |             
4f3                       | 2I*       | 13/2 |          25391.75    |            
                          |           |      |                      |             
4f2.(3F).5d               |           |  7/2 |          25409.74    |            
                          |           |      |                      |             
4f2.(1G).5d               |           |  5/2 |          25934.98    |            
                          |           |      |                      |             
4f2.(3H).5d               | 2K        | 15/2 |          25979.34    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4G        | 11/2 |          26095.23    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4F        |  7/2 |          26446.97    |            
                          |           |      |                      |             
4f3                       | 2L*       | 17/2 |          26447.88    |            
                          |           |      |                      |             
4f3                       | 2D2*      |  3/2 |          26921.49    |            
                          |           |      |                      |             
4f3                       | 2H1*      |  9/2 |          26979.66    |            
                          |           |      |                      |             
4f2.(3F).5d               | 2G        |  7/2 |          27138.55    |            
                          |           |      |                      |             
4f2.(1G).5d               | 2I        | 11/2 |          27380.31    |            
                          |           |      |                      |             
4f2.(1G).5d               | 2D        |  5/2 |          27452.45    |            
                          |           |      |                      |             
4f3                       | 2D2*      |  5/2 |          27597.13    |            
                          |           |      |                      |             
4f2.(3F).5d               | 4F        |  9/2 |          27604.26    |            
                          |           |      |                      |             
4f3                       | 2H1*      | 11/2 |          28101.77    |            
                          |           |      |                      |             
4f2.(3H<4>).6s<1/2>       | (4,1/2)   |  7/2 |          28399.43    |            
                          |           |      |                      |             
4f2.(3F).5d               | 2G        |  9/2 |          28720.71    |            
                          |           |      |                      |             
4f2.(3H<4>).6s<1/2>       | (4,1/2)   |  9/2 |          28885.14    |            
                          |           |      |                      |             
4f2.(1G).5d               | 2D        |  3/2 |          28936.46    |            
                          |           |      |                      |             
4f2.(1G).5d               | 2I        | 13/2 |          29263.08    |            
                          |           |      |                      |             
4f2.(1G).5d               | 2F        |  5/2 |          29267.86    |            
                          |           |      |                      |             
4f2.(3F).5d               | 2H        |  9/2 |          29835.09    |            
                          |           | 11/2 |          30505.72    |            
                          |           |      |                      |             
4f2.(3H<5>).6s<1/2>       | (5,1/2)   | 11/2 |          30733.53    |            
                          |           |  9/2 |          30994.55    |            
                          |           |      |                      |             
4f2.(1G).5d               |           |  7/2 |          31254.71    |            
                          |           |      |                      |             
4f3                       | 2F2*      |  7/2 |          31787.93    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2S        |  1/2 |          31803.70    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2P        |  3/2 |          32288.92    |            
                          |           |      |                      |             
4f2.(3H<6>).6s<1/2>       | (6,1/2)   | 13/2 |          32760.11    |            
                          |           |      |                      |             
4f2.(3F<2>).6s<1/2>       | (2,1/2)   |  3/2 |          33338.37    |            
                          |           |      |                      |             
4f2.(3H<6>).6s<1/2>       | (6,1/2)   | 11/2 |          33466.41    |            
                          |           |      |                      |             
4f2.(3F<2>).6s<1/2>       | (2,1/2)   |  5/2 |          33659.99    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2P        |  1/2 |          34198.61    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2F        |  5/2 |          34520.27    |            
                          |           |      |                      |             
4f2.(3F<3>).6s<1/2>       | (3,1/2)   |  7/2 |          34825.49    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2G        |  7/2 |          35024.49    |            
                          |           |      |                      |             
4f2.(3P).5d               |           |  3/2 |          35137.82    |            
                          |           |      |                      |             
4f2.(3F<4>).6s<1/2>       | (4,1/2)   |  9/2 |          35291.00    |            
                          |           |      |                      |             
4f2.(3F<3>).6s<1/2>       | (3,1/2)   |  5/2 |          35384.17    |            
                          |           |      |                      |             
4f2.(3F<4>).6s<1/2>       | (4,1/2)   |  7/2 |          35801.12    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2G        |  9/2 |          35828.46    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4F        |  3/2 |          35863.74    |            
                          |           |      |                      |             
4f2.(1D).5d               | 2F        |  7/2 |          36640.38    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2I        | 13/2 |          36642.13    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4F        |  5/2 |          36652.29    |            
                          |           |      |                      |             
