6d3.(4P).7s            |        |           1 |              17073.80916     |  L18702,L3552
                       |        |             |                              |               
6d3.(2H).7s            | 3H     |           5 |              17166.10472     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 5F*    |           2 |              17224.302340    | L18702,L16199
                       |        |             |                              |               
5f.6d.7s2              | 3D*    |           1 |              17354.638583    | L18702,L17451
                       |        |             |                              |               
6d3.(4F).7s            |        |           3 |              17398.39526     |    L18702,u39
                       |        |             |                              |               
6d.7s2.7p              | 3D*    |           3 |              17411.224415    |    L18702,u39
                       |        |             |                              |               
5f.6d2.7s              | 5I*    |           5 |              17501.17592     |  L18702,L1056
                       |        |             |                              |               
5f.6d.7s2              | 3P*    |           2 |              17847.07751     |    L18702,u39
                       |        |             |                              |               
6d3.(4F).7s            | 3F     |           4 |              17959.89498     | L18702,L16199
                       |        |             |                              |               
5f.6d2.7s              | 5H*    |           5 |              18011.38030     |    L18702,u39
                       |        |             |                              |               
6d.7s2.7p              | 3F*    |           4 |              18053.617845    | L18702,L16199
                       |        |             |                              |               
6d.7s2.7p              | 1F*    |           3 |              18069.065569    | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 5D*    |           0 |              18382.82669     |    L18702,u39
                       |        |             |                              |               
5f.7s2.7p              | 3G     |           3 |              18431.686609    |  L18702,L2105
                       |        |             |                              |               
6d3.(4P).7s            |        |           2 |              18549.40528     |  L18702,L3552
                       |        |             |                              |               
6d3.(2P).7s            |        |           1 |              18574.61019     |  L18702,L3552
                       |        |             |                              |               
6d2.7s.7p              | 5D*    |           1 |              18614.33811     |    L18702,u39
                       |        |             |                              |               
5f.7s2.7p              | 3F     |           2 |              18699.62342     |    L18702,u39
                       |        |             |                              |               
6d2.7s.7p              | 5G*    |           4 |              18809.88631     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 3G*    |           3 |              18930.29333     |    L18702,u39
                       |        |             |                              |               
6d.7s2.7p              | 3P*    |           2 |              19039.153374    |    L18702,u39
                       |        |             |                              |               
5f.6d2.7s              | 5I*    |           6 |              19227.33665     |  L18702,L3552
                       |        |             |                              |               
6d3.(2P).7s            |        |           2 |              19273.28060     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 5F*    |           3 |              19503.143490    |    L18702,u39
                       |        |             |                              |               
6d2.7s.7p              | 5D*    |           2 |              19516.98043     |    L18702,u39
                       |        |             |                              |               
6d3.(2F).7s            | 3F     |           4 |              19532.41646     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 5G*    |           5 |              19588.36224     |    L18702,u39
                       |        |             |                              |               
6d3.(2F).7s            | 3F     |           3 |              19713.03109     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 5P*    |           1 |              19817.18191     |    L18702,u39
                       |        |             |                              |               
                       |        |           1 |              19832.1144      |    L18702,u39
                       |        |             |                              |               
6d2.7s.7p              | 5F*    |           4 |              19948.395175    |    L18702,u39
                       |        |             |                              |               
5f.6d2.7s              | 5H*    |           6 |              19986.16721     |  L18702,L3552
                       |        |             |                              |               
6d3.(2F).7s            | 3F     |           2 |              20054.77119     |  L18702,L3552
                       |        |             |                              |               
6d2.7s.7p              | 5D*    |           3 |              20214.92997     |    L18702,u39
                       |        |             |                              |               
5f.6d.7s2              | 1H*    |           5 |              20322.26571     |  L18702,L3552
                       |        |             |                              |               
6d.7s2.7p              | 3P*    |           1 |              20423.494218    | L18702,L17451
                       |        |             |                              |               
6d2.7s.7p              | 3F*    |           2 |              20522.71449     |    L18702,u39
                       |        |             |                              |               
6d.7s2.7p              | 3P*    |           0 |              20543.84624     |    L18702,u39
                       |        |             |                              |               
6d2.7s.7p              | 5D*    |           4 |              20566.62381     | L18702,L16199
                       |        |             |                              |               
                       | *      |           0 |              20724.39599     | L18702,L17451
                       |        |             |                              |               
                       | *      |           1 |              20737.28686     | L18702,L16199
                       |        |             |                              |               
5f.6d2.7s              | 5I*    |           7 |              20867.97560     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           2 |              20922.12244     | L18702,L17451
                       |        |             |                              |               
6d2.7s.7p              | 5F*    |           5 |              21077.152101    | L18702,L16199
                       |        |             |                              |               
6d3.(2H).7s            | 1H     |           5 |              21143.42198     |  L18702,L3552
                       |        |             |                              |               
5f.6d.7s2              | 3D*    |           3 |              21165.098037    | L18702,L17451
                       |        |             |                              |               
