4p6                   | 1S     |   0 |                  0     |    L15024
                      |        |     |                        |           
4p5.4d                | 3D*    |   1 |             795430     |    L10770
                      |        |     |                        |           
4p5.4d                | 1P*    |   1 |             967420     |    L10770
