4d10                | 1S     |   0 |                  0     |    L11384
                    |        |     |                        |           
4d9.5s              | 3D     |   3 |             533342     |     L9885
                    |        |   2 |             537068     |     L9885
                    |        |   1 |             552441     |     L9885
                    |        |     |                        |           
4d9.5s              | 1D     |   2 |             555995     |     L9885
                    |        |     |                        |           
4d9.5p              | 3P*    |   2 |             666498     |     L9885
                    |        |     |                        |           
4d9.5p              | 3F*    |   3 |             670152     |     L9885
                    |        |   2 |             686663     |     L9885
                    |        |     |                        |           
4d9.5p              | 3P*    |   1 |             688845     |     L9885
                    |        |     |                        |           
4d9.5p              | 3F*    |   4 |             691899     |     L9885
                    |        |     |                        |           
4d9.5p              | 1D*    |   2 |             697782     |     L9885
                    |        |     |                        |           
4d9.5p              | 1P*    |   1 |             699833     |     L9885
                    |        |     |                        |           
4d9.5p              | 3D*    |   3 |             701112     |     L9885
                    |        |     |                        |           
4d9.5p              | 3P*    |   0 |             705043     |     L9885
                    |        |     |                        |           
4d9.5p              | 1F*    |   3 |             713923     |     L9885
                    |        |     |                        |           
4d9.4f              | 3P*    |   0 |            (714373)    |     L9885
                    |        |     |                        |           
4d9.5p              | 3D*    |   1 |             715972     |     L9885
                    |        |     |                        |           
4d9.4f              | 3P*    |   1 |             716673     |     L9885
                    |        |     |                        |           
4d9.5p              | 3D*    |   2 |             719223     |     L9885
                    |        |     |                        |           
4d9.4f              | 3P*    |   2 |            (723780)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3H*    |   6 |            (733387)    |     L9885
                    |        |   5 |            (736683)    |     L9885
                    |        |     |                        |           
4d9.4f              | 1D*    |   2 |            (744755)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3F*    |   3 |            (745343)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3H*    |   4 |            (745424)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3F*    |   4 |            (747568)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3D*    |   1 |             752513     |     L9885
                    |        |     |                        |           
4d9.4f              | 1H*    |   5 |            (753200)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3D*    |   2 |            (755830)    |     L9885
                    |        |   3 |            (755913)    |     L9885
                    |        |     |                        |           
4d9.4f              | 1G*    |   4 |            (760750)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3F*    |   2 |            (763070)    |     L9885
                    |        |     |                        |           
4d9.4f              | 3G*    |   5 |            (764317)    |     L9885
                    |        |   3 |            (770637)    |     L9885
                    |        |   4 |            (773465)    |     L9885
                    |        |     |                        |           
4d9.4f              | 1F*    |   3 |            (781868)    |     L9885
                    |        |     |                        |           
4d9.5d              | 3S     |   1 |             895017     |     L9885
                    |        |     |                        |           
4d9.5d              | 3G     |   4 |             903485     |     L9885
                    |        |     |                        |           
4d9.5d              | 3D     |   2 |             905223     |     L9885
                    |        |     |                        |           
4d9.5d              | 3G     |   5 |             906364     |     L9885
                    |        |     |                        |           
4d9.5d              | 1P     |   1 |             906425     |     L9885
                    |        |     |                        |           
4d9.5d              | 3D     |   3 |             907934     |     L9885
                    |        |     |                        |           
4d9.5d              | 1F     |   3 |             911410     |     L9885
                    |        |     |                        |           
4d9.5d              | 3P     |   2 |             912250     |     L9885
                    |        |     |                        |           
4d9.4f              | 1P*    |   1 |             912500     |     L9885
                    |        |     |                        |           
4d9.5d              | 3F     |   4 |             913420     |     L9885
                    |        |     |                        |           
4d9.5d              | 3P     |   0 |             915450     |     L9885
                    |        |   1 |             921320     |     L9885
                    |        |     |                        |           
4d9.5d              | 3G     |   3 |             922650     |     L9885
                    |        |     |                        |           
4d9.5d              | 3D     |   1 |             925691     |     L9885
