2s2.2p              | 2P*    | 1/2 |                  0     |     L7185
                    |        | 3/2 |             139290     |          
                    |        |     |                        |           
2s.2p2              | 4P     | 1/2 |             431560     |          
                    |        | 3/2 |             499270     |          
                    |        | 5/2 |             559760     |          
                    |        |     |                        |           
2s.2p2              | 2D     | 3/2 |             788520     |          
                    |        | 5/2 |             819150     |          
                    |        |     |                        |           
2s.2p2              | 2P     | 1/2 |             903260     |          
                    |        |     |                        |           
2s.2p2              | 2S     | 1/2 |            1050860     |          
                    |        |     |                        |           
2s.2p2              | 2P     | 3/2 |            1064960     |          
                    |        |     |                        |           
2p3                 | 4S*    | 3/2 |            1338760     |          
                    |        |     |                        |           
2p3                 | 2D*    | 3/2 |            1486350     |          
                    |        | 5/2 |            1523150     |          
                    |        |     |                        |           
2p3                 | 2P*    | 1/2 |            1672130     |          
                    |        | 3/2 |            1745870     |          
                    |        |     |                        |           
