                                |            |      |                       |             
4f12.(3H<6>).6p<1/2>?           | (6,1/2)*?  | 13/2 |          26098.972    |            
                                |            |      |                       |             
4f12.(3F).5d                    |            |  9/2 |          26131.105    |            
                                |            |      |                       |             
                                | *          | 11/2 |          26399.775    |            
                                |            |      |                       |             
4f12.(3F).5d                    |            | 13/2 |          26414.450    |            
                                |            |      |                       |             
                                | *          | 13/2 |          26769.141    |            
                                |            |      |                       |             
                                | *          | 11/2 |          26805.448    |            
                                |            |      |                       |             
4f12.(3H).5d                    |            |  7/2 |          26949.099    |            
                                |            |      |                       |             
                                | *          |  9/2 |          27454.514    |            
                                |            |      |                       |             
                                | *          | 13/2 |          27513.555    |            
                                |            |      |                       |             
4f12.(3H).5d                    |            | 11/2 |          27540.195    |            
                                |            |      |                       |             
4f12.(3H).5d                    |            |  9/2 |          27608.985    |            
                                |            |      |                       |             
                                | *          | 11/2 |          27642.658    |            
                                |            |      |                       |             
                                | *          |  9/2 |          27890.690    |            
                                |            |      |                       |             
                                | *          | 13/2 |          28082.701    |            
                                |            |      |                       |             
                                | *          | 11/2 |          28361.386    |            
                                |            |      |                       |             
4f12.(3H<6>).6p<3/2>?           | (6,3/2)*?  |  9/2 |          29011.015    |            
                                |            |      |                       |             
                                | *          | 13/2 |          29119.606    |            
                                |            |      |                       |             
                                | *          |  7/2 |          29263.402    |            
                                |            |      |                       |             
                                | *          | 15/2 |          29472.789    |            
                                |            |      |                       |             
4f12.(3H<6>).6p<3/2>?           | (6,3/2)*?  | 11/2 |          29492.329    |            
                                |            |      |                       |             
                                | *          | 13/2 |          29628.405    |            
                                |            |      |                       |             
4f12.(3H<6>).6p<3/2>?           | (6,3/2)*?  | 15/2 |          29640.863    |            
                                |            |      |                       |             
                                | *          |  7/2 |          29780.571    |            
                                |            |      |                       |             
                                | *          |  9/2 |          29783.733    |            
                                |            |      |                       |             
                                | *          | 11/2 |          29858.739    |            
                                |            |      |                       |             
                                | *          | 13/2 |          29892.370    |            
                                |            |      |                       |             
                                | *          | 15/2 |          29972.408    |            
                                |            |      |                       |             
                                | *          | 13/2 |          30008.331    |            
                                |            |      |                       |             
                                | *          |  9/2 |          30028.618    |            
                                |            |      |                       |             
                                | *          | 11/2 |          30122.939    |            
                                |            |      |                       |             
                                | *          |  7/2 |          30130.762    |            
                                |            |      |                       |             
                                | *          | 11/2 |          30157.742    |            
                                |            |      |                       |             
4f12.(3F<4>).6p<1/2>?           | (4,1/2)*?  |  9/2 |          30317.974    |            
                                |            |      |                       |             
4f12.(3H<6>).6p<3/2>?           | (6,3/2)*?  | 13/2 |          30621.102    |            
                                |            |      |                       |             
4f12.(3H).5d                    |            |  9/2 |          30872.428    |            
                                |            |      |                       |             
4f12.(3F<4>).6p<1/2>?           | (4,1/2)*?  |  7/2 |          30894.447    |            
                                |            |      |                       |             
                                | *          |  9/2 |          30917.436    |            
                                |            |      |                       |             
                                | *          |  7/2 |          31312.019    |            
                                |            |      |                       |             
                                | *          |  9/2 |          31381.779    |            
                                |            |      |                       |             
                                | *          | 11/2 |          31385.667    |            
                                |            |      |                       |             
                                | *          | 13/2 |          31418.481    |            
                                |            |      |                       |             
                                | *          | 11/2 |          31801.102    |            
                                |            |      |                       |             
                                | *          |  9/2 |          31844.124    |            
                                |            |      |                       |             
                                | *          |  7/2 |          31902.682    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<0>) | (15/2,0)   | 15/2 |          32048.749    |            
                                |            |      |                       |             
                                | *          | 11/2 |          32073.360    |            
                                |            |      |                       |             
                                | *          |  9/2 |          32267.246    |            
                                |            |      |                       |             
                                | *          |  9/2 |          32502.680    |            
                                |            |      |                       |             
                                | *          | 13/2 |          32528.401    |            
                                |            |      |                       |             
                                | *          | 11/2 |          32618.753    |            
                                |            |      |                       |             
                                | *          |  9/2 |          32753.468    |            
                                |            |      |                       |             
                                | *          |  7/2 |          32790.085    |            
                                |            |      |                       |             
                                | *          | 11/2 |          32811.006    |            
                                |            |      |                       |             
4f12.(3H<5>).6p<1/2>?           | (5,1/2)*?  |  9/2 |          32896.371    |            
                                |            |      |                       |             
                                | *          | 13/2 |          33012.493    |            
                                |            |      |                       |             
                                | *          |  9/2 |          33028.394    |            
                                |            |      |                       |             
4f12.(3H<5>).6p<1/2>?           | (5,1/2)*?  | 11/2 |          33105.534    |            
                                |            |      |                       |             
                                | *          |  9/2 |          33129.912    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<1>) | (15/2,1)   | 17/2 |          33217.200    |            
                                |            |      |                       |             
                                | *          |  9/2 |          33307.365    |            
                                |            |      |                       |             
                                | *          |  7/2 |          33539.273    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<1>) | (15/2,1)   | 15/2 |          33547.268    |            
                                |            |      |                       |             
                                | *          |  9/2 |          33565.895    |            
                                |            |      |                       |             
                                | *          |  9/2 |          33649.964    |            
                                |            |      |                       |             
                                | *          | 11/2 |          33659.536    |            
                                |            |      |                       |             
                                | *          | 13/2 |          33674.250    |            
                                |            |      |                       |             
                                | *          | 11/2 |          33721.545    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<1>) | (15/2,1)   | 13/2 |          33753.920    |            
                                |            |      |                       |             
                                | *          |  9/2 |          33804.465    |            
                                |            |      |                       |             
                                | *          | 11/2 |          33988.301    |            
                                |            |      |                       |             
                                | *          |  9/2 |          34074.875    |            
                                |            |      |                       |             
                                | *          |  7/2 |          34148.162    |            
                                |            |      |                       |             
                                | *          |  9/2 |          34196.388    |            
                                |            |      |                       |             
                                | *          |  7/2 |          34203.251    |            
                                |            |      |                       |             
                                | *          | 11/2 |          34341.611    |            
                                |            |      |                       |             
                                | *          |  9/2 |          34397.143    |            
                                |            |      |                       |             
                                | *          | 13/2 |          34545.248    |            
                                |            |      |                       |             
                                | *          | 11/2 |          34563.257    |            
                                |            |      |                       |             
                                | *          |  9/2 |          34674.173    |            
                                |            |      |                       |             
                                | *          |  7/2 |          34902.323    |            
                                |            |      |                       |             
                                | *          | 11/2 |          34972.437    |            
                                |            |      |                       |             
                                | *          |  9/2 |          35063.892    |            
                                |            |      |                       |             
                                | *          | 11/2 |          35215.487    |            
                                |            |      |                       |             
                                | *          | 13/2 |          35276.531    |            
                                |            |      |                       |             
                                | *          |  7/2 |          35359.885    |            
                                |            |      |                       |             
                                | *          | 11/2 |          35617.906    |            
                                |            |      |                       |             
                                | *          | 13/2 |          35671.599    |            
                                |            |      |                       |             
                                | *          |  7/2 |          35819.939    |            
                                |            |      |                       |             
                                | *          |  9/2 |          35877.083    |            
                                |            |      |                       |             
                                | *          | 11/2 |          35885.232    |            
                                |            |      |                       |             
                                | *          |  9/2 |          35899.232    |            
                                |            |      |                       |             
                                | *          |  7/2 |          35927.604    |            
                                |            |      |                       |             
                                | *          |  9/2 |          36007.182    |            
                                |            |      |                       |             
                                | *          | 11/2 |          36147.709    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<2>) | (15/2,2)   | 19/2 |          36192.206    |            
                                |            |      |                       |             
                                | *          |  9/2 |          36322.233    |            
                                |            |      |                       |             
                                | *          |  3/2 |          36464.008    |            
                                |            |      |                       |             
                                | *          |  7/2 |          36470.944    |            
                                |            |      |                       |             
                                | *          |  7/2 |          36471.984    |            
                                |            |      |                       |             
                                | *          | 11/2 |          36643.232    |            
                                |            |      |                       |             
                                | *          |  7/2 |          36738.247    |            
                                |            |      |                       |             
                                | *          |  9/2 |          36761.150    |            
                                |            |      |                       |             
                                | *          |  7/2 |          36825.194    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<2>) | (15/2,2)   | 17/2 |          36861.561    |            
                                |            |      |                       |             
                                | *          | 11/2 |          36863.932    |            
                                |            |      |                       |             
                                | *          |  5/2 |          36932.273    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37038.764    |            
                                |            |      |                       |             
                                | *          |  7/2 |          37057.724    |            
                                |            |      |                       |             
                                | *          | 11/2 |          37098.956    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37110.402    |            
                                |            |      |                       |             
                                | *          |  5/2 |          37126.953    |            
                                |            |      |                       |             
                                | *          | 11/2 |          37146.674    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<2>) | (15/2,2)   | 15/2 |          37321.029    |            
                                |            |      |                       |             
                                | *          |  3/2 |          37357.383    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37438.656    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37483.090    |            
                                |            |      |                       |             
                                | *          |  7/2 |          37527.159    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37617.073    |            
                                |            |      |                       |             
4f11.(4I*<15/2>).6s.6p.(3P*<2>) | (15/2,2)   | 13/2 |          37634.115    |            
                                |            | 11/2 |          37669.560    |            
                                |            |      |                       |             
                                | *          |  7/2 |          37698.823    |            
                                |            |      |                       |             
                                | *          |  5/2 |          37712.008    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37736.569    |            
                                |            |      |                       |             
                                | *          |  7/2 |          37747.938    |            
                                |            |      |                       |             
                                | *          |  9/2 |          37959.624    |            
                                |            |      |                       |             
                                | *          |  5/2 |          38204.486    |            
                                |            |      |                       |             
                                | *          | 11/2 |          38310.987    |            
                                |            |      |                       |             
                                | *          |  7/2 |          38318.204    |            
                                |            |      |                       |             
                                | *          |  9/2 |          38363.814    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 11/2 |          38438.391    |            
                                |            |      |                       |             
                                | *          |  3/2 |          38470.551    |            
                                |            |      |                       |             
                                | *          |  9/2 |          38477.809    |            
                                |            |      |                       |             
                                | *          |  5/2 |          38580.914    |            
                                |            |      |                       |             
                                | *          |  5/2 |          38617.345    |            
                                |            |      |                       |             
                                | *          | 11/2 |          38642.554    |            
                                |            |      |                       |             
                                | *          |  7/2 |          38651.814    |            
                                |            |      |                       |             
                                | *          |  9/2 |          38847.186    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 13/2 |          38847.378    |            
                                |            |      |                       |             
                                | *          |  7/2 |          39021.546    |            
                                |            |      |                       |             
                                | *          |  5/2 |          39036.642    |            
                                |            |      |                       |             
                                | *          |  7/2 |          39053.063    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 13/2 |          39082.884    |            
                                |            |      |                       |             
                                | *          |  7/2 |          39140.561    |            
                                |            |      |                       |             
                                | *          | 11/2 |          39242.082    |            
                                |            |      |                       |             
                                | *          |  7/2 |          39277.605    |            
                                |            |      |                       |             
                                | *          |  7/2 |          39304.952    |            
                                |            |      |                       |             
                                | *          |  9/2 |          39392.224    |            
                                |            |      |                       |             
                                | *          |  5/2 |          39447.909    |            
                                |            |      |                       |             
                                | *          |  9/2 |          39509.332    |            
                                |            |      |                       |             
                                | *          | 11/2 |          39525.696    |            
