4f14.5p6                   | 1S          |   0 |                0.0    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5d     | (7/2,3/2)*  |   2 |           311441.0    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,3/2)*  |   0 |           315259      |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5d     | (7/2,3/2)*  |   5 |           318185.2    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,3/2)*  |   1 |           318899.0    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5d     | (7/2,3/2)*  |   3 |           320692.7    |     L3694
                           |             |   4 |           322527.0    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5d     | (7/2,5/2)*  |   6 |           327044      |     L3694
                           |             |   2 |           328019.8    |     L3694
                           |             |   4 |           329949.6    |     L3694
                           |             |   1 |           330824.9    |     L3694
                           |             |   3 |           333095.4    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,3/2)*  |   2 |           335016.9    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5d     | (7/2,5/2)*  |   5 |           335017.1    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,3/2)*  |   3 |           335171.5    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5d     | (5/2,3/2)*  |   4 |           335411.4    |     L3694
                           |             |   2 |           337853.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5d     | (5/2,5/2)*  |   0 |           339628.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5d     | (5/2,3/2)*  |   1 |           339704.6    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,5/2)*  |   4 |           340530.0    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5d     | (5/2,3/2)*  |   3 |           343093.3    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,5/2)*  |   2 |           343305.1    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5d     | (5/2,5/2)*  |   1 |           345393.5    |     L3694
                           |             |   5 |           346384.7    |     L3694
                           |             |   2 |           348370.2    |     L3694
                           |             |   3 |           351599.8    |     L3694
                           |             |   4 |           352478.4    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).5d     | (3/2,5/2)*  |   3 |           354110.8    |     L3694
                           |             |   1 |           382577.2    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6s     | (7/2,1/2)*  |   4 |           437188.1    |     L3694
                           |             |   3 |           438026.0    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6s     | (3/2,1/2)*  |   2 |           443237.3    |     L3694
                           |             |   1 |           446748.9    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6s     | (5/2,1/2)*  |   2 |           454566.3    |     L3694
                           |             |   3 |           455220.6    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<1/2>).5d     | (1/2,3/2)*  |   1 |           462496.3    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6p     | (7/2,1/2)   |   3 |           512881.8    |     L3694
                           |             |   4 |           513640.4    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6p     | (3/2,1/2)   |   1 |           517073.8    |     L3694
                           |             |   2 |           519194.4    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6p     | (5/2,1/2)   |   3 |           530488.9    |     L3694
                           |             |   2 |           531433.6    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<1/2>).6s     | (1/2,1/2)*  |   1 |           531465      |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6p     | (7/2,3/2)   |   5 |           533693.3    |     L3694
                           |             |   2 |           534427.8    |     L3694
                           |             |   3 |           534837.9    |     L3694
                           |             |   4 |           536420.1    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6p     | (3/2,3/2)   |   1 |           538902.7    |     L3694
                           |             |   3 |           539126.5    |     L3694
                           |             |   2 |           543641.1    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6p     | (5/2,3/2)   |   1 |           549865.3    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6p     | (3/2,3/2)   |   0 |           550081.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6p     | (5/2,3/2)   |   4 |           551684.3    |     L3694
                           |             |   2 |           552670.8    |     L3694
                           |             |   3 |           553588.0    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5f     | (7/2,5/2)   |   2 |           626025      |     L5341
                           |             |   6 |           626291      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5f     | (7/2,7/2)   |   1 |           626581      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5f     | (7/2,5/2)   |   3 |           627053      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5f     | (7/2,7/2)   |   7 |           627487?     |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5f     | (7/2,5/2)   |   4 |           628049      |     L5341
                           |             |   5 |           628672      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.5f     | (7/2,7/2)   |   3 |           629102      |     L5341
                           |             |   4 |           629791      |     L5341
                           |             |   2 |           629962      |     L5341
                           |             |   6 |           630282      |     L5341
                           |             |   5 |           630395      |     L5341
                           |             |     |                       |           
                           |             |   2 |           632406?     |     L5341
                           |             |     |                       |           
                           |             |   2 |           632838?     |     L5341
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,5/2)   |   1 |           642481      |     L5341
                           |             |   5 |           643569      |     L5341
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,7/2)   |   1 |           643880      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6d     | (7/2,3/2)*  |   5 |           645238.4    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,7/2)   |   6 |           645507      |     L5341
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,5/2)   |   3 |           645867      |     L5341
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,7/2)   |   2 |           645907      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6d     | (7/2,3/2)*  |   3 |           645943.5    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,5/2)   |   2 |           646444      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6d     | (7/2,3/2)*  |   4 |           646596.4    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,7/2)   |   3 |           646673      |     L5341
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,5/2)   |   4 |           646733      |     L5341
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6d     | (3/2,3/2)*  |   1 |           647462.0    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.5f     | (5/2,7/2)   |   4 |           647578      |     L5341
                           |             |   5 |           647862      |     L5341
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.6d     | (7/2,5/2)*  |   6 |           648071.9    |     L3694
                           |             |   2 |           648557.6    |     L3694
                           |             |   4 |           649400.8    |     L3694
                           |             |   3 |           649662.1    |     L3694
                           |             |   1 |           649982.2    |     L3694
                           |             |   5 |           650367.2    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6d     | (3/2,3/2)*  |   3 |           650474.3    |     L3694
                           |             |   2 |           651541.7    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).6d     | (3/2,5/2)*  |   4 |           652661.6    |     L3694
                           |             |   2 |           653949.9    |     L3694
                           |             |   3 |           656165.0    |     L3694
                           |             |   1 |           658366.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6d     | (5/2,3/2)*  |   4 |           662412.7    |     L3694
                           |             |   2 |           663215.0    |     L3694
                           |             |   3 |           664542.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6d     | (5/2,5/2)*  |   1 |           665444.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6d     | (5/2,3/2)*  |   1 |           665762.5    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.6d     | (5/2,5/2)*  |   5 |           666176.6    |     L3694
                           |             |   3 |           667393.6    |     L3694
                           |             |     |                       |           
4f13.(2F*<7/2>).5p6.7s     | (7/2,1/2)*  |   4 |           675863.8    |     L3694
                           |             |   3 |           676159.0    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<3/2>).7s     | (3/2,1/2)*  |   2 |           678949.0    |     L3694
                           |             |   1 |           680153.4    |     L3694
                           |             |     |                       |           
4f13.(2F*<5/2>).5p6.7s     | (5/2,1/2)*  |   2 |           693250.3    |     L3694
                           |             |   3 |           693468.2    |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<1/2>).6d     | (1/2,3/2)*  |   1 |           740964      |     L3694
                           |             |     |                       |           
4f14.5p5.(2P*<1/2>).7s     | (1/2,1/2)*  |   1 |           766776      |     L3694
