3d5.(2H).4p           | 1I*    |   6 |             551664     |           
                      |        |     |                        |            
3d5.(4F).4p           | 3F*    |   4 |             552271     |           
                      |        |     |                        |            
3d5.4p                | *      |   5 |             553288     |           
                      |        |     |                        |            
3d5.(2H).4p           | 3H*    |   4 |             553496     |           
                      |        |     |                        |            
3d5.(4F).4p           | 3F*    |   3 |             553781     |           
                      |        |     |                        |            
3d.4p                 | *      |   5 |             554688     |           
                      |        |     |                        |            
3d5.(2F2).4p          | 3G*    |   3 |             554852     |           
                      |        |   4 |             554910     |           
                      |        |     |                        |            
3d5.4p                | *      |   4 |             555722     |           
                      |        |     |                        |            
3d5.(2G2).4p          | 3H*    |   6 |             555976     |           
                      |        |     |                        |            
3d5.(2F2).4p          | 3F*    |   3 |             556329     |           
                      |        |     |                        |            
3d5.(4F).4p           | 3F*    |   2 |             556426     |           
                      |        |     |                        |            
3d5.(2G2).4p          | 1H*    |   5 |             556553     |           
                      |        |     |                        |            
3d5.(2G2).4p          | 1F*    |   3 |             557396     |           
                      |        |     |                        |            
3d5.(2F2).4p          | 3F*    |   4 |             557817     |           
                      |        |     |                        |            
3d5.(2F2).4p          | 3D*    |   3 |             560203     |           
                      |        |     |                        |            
3d5.(2H).4p           | 3G*    |   3 |             561139     |           
                      |        |     |                        |            
3d5.(2F2).4p          | 3G*    |   5 |             562694     |           
                      |        |     |                        |            
3d5.(2H).4p           | 1G*    |   4 |             565431     |           
                      |        |     |                        |            
3d5.(2F2).4p          | 1F*    |   3 |             567442     |           
                      |        |     |                        |            
3d5.(2D3).4p          | 3F*    |   4 |             579763     |           
                      |        |     |                        |            
3d5.(2G1).4p          | 3F*    |   4 |             587661     |           
                      |        |     |                        |            
3d5.(2G1).4p          | 3H*    |   4 |             588305     |           
                      |        |   5 |             588694     |           
                      |        |     |                        |            
3d5.(2G1).4p          | 3F*    |   3 |             589006     |           
                      |        |     |                        |            
3d5.(2G1).4p          | 3G*    |   3 |             591658     |           
                      |        |   4 |             592319     |           
                      |        |   5 |             592887     |           
                      |        |     |                        |            
3d5.(2G1).4p          | 1H*    |   5 |             596199     |           
                      |        |     |                        |            
3d5.(2G1).4p          | 1G*    |   4 |             596209     |           
                      |        |     |                        |            
3d5.(2P).4p           | 3S*    |   1 |             619368     |           
                      |        |     |                        |            
3d5.(2D1).4p          | 3D*    |   3 |             634998     |           
