3d10.4s2.4p5            | 2P*      | 3/2 |                     0     |    L14671
                        |          | 1/2 |                742170     |    L12286
                        |          |     |                           |           
3d10.4s2.4p4.(3P<2>).4d | (2,3/2)  | 5/2 |               1232240     |    L11159
