5p5                    | 2P*    |  3/2 |               0.00    |     L6925
                       |        |  1/2 |           10537.01    |     L6925
                       |        |      |                       |           
5s.5p6                 | 2S     |  1/2 |           90873.83    |     L6925
                       |        |      |                       |           
