3s2.3p2                | 3P        |   0 |                   0     |    L15024
                       |           |     |                         |           
3s2.3p2                | 651310    |   1 |             (651310)    |     L7127
                       |           |     |                         |           
3s2.3p2                | 705963    |   2 |             (705963)    |     L7127
                       |           |     |                         |           
3s2.3p2                | 1393826   |   2 |            (1393826)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 1505223*  |   2 |            (1505223)    |     L7127
                       |           |     |                         |           
3s2.3p2                | 1510801   |   0 |            (1510801)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 1671982*  |   1 |            (1671982)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 1870337*  |   2 |            (1870337)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 2039333*  |   2 |            (2039333)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 2093970*  |   3 |            (2093970)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 2097928*  |   1 |            (2097928)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2234515*  |   2 |            (2234515)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2267218*  |   3 |            (2267218)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 2308995*  |   0 |            (2308995)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 2377182*  |   1 |            (2377182)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2407601*  |   2 |            (2407601)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 2467575*  |   1 |            (2467575)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2743019*  |   2 |            (2743019)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2743568*  |   3 |            (2743568)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2744936*  |   1 |            (2744936)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2753039*  |   2 |            (2753039)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2755587*  |   0 |            (2755587)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2756367*  |   4 |            (2756367)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2967854*  |   3 |            (2967854)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 2997930*  |   1 |            (2997930)    |     L7127
                       |           |     |                         |           
3s.3p3                 | 3111013*  |   2 |            (3111013)    |     L7127
                       |           |     |                         |           
3s2.3p.3d              | 3264150*  |   1 |            (3264150)    |     L7127
