4f14.5p4.(1D<2>).5d      | (2,3/2)  | 1/2 |             492337     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,1/2)<3>.5d | (3,3/2)  | 9/2 |             495690     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,1/2)<4>.5d | (4,3/2)  | 5/2 |             498037     |    L18778
                         |          |     |                        |           
4f14.5p4.5d              |          | 3/2 |             498541     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,1/2)<4>.5d | (4,3/2)  | 7/2 |             498792     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,3/2)<3>.6s | (3,1/2)  | 5/2 |             500313     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,3/2)<4>.6s | (4,1/2)  | 7/2 |             503071     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,3/2)<5>.6s | (5,1/2)  | 9/2 |             504615     |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             504691     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,1/2)<2>.5d | (2,3/2)  | 7/2 |             512790     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,3/2)<2>.6s | (2,1/2)  | 5/2 |             514063     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<3>.6s | (3,1/2)  | 7/2 |             514413     |    L18778
                         |          | 5/2 |             514628     |    L18778
                         |          |     |                        |           
4f13.5p5.5d              |          | 5/2 |             516493     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<2>.6s | (2,1/2)  | 5/2 |             521876     |    L18778
                         |          |     |                        |           
4f12.(1S<0>).5p6.5d      | (0,5/2)  | 5/2 |             522610?    |    L18778
                         |          |     |                        |           
4f12.5p6.5d              |          | 3/2 |             522881     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<4>.6s | (4,1/2)  | 7/2 |             527376     |    L18778
                         |          |     |                        |           
4f14.5p4.(1D<2>).5d      | (2,5/2)  | 1/2 |             528462     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,3/2)<1>.6s | (1,1/2)  | 3/2 |             528652     |    L18778
                         |          |     |                        |           
4f14.5p4.(3P<1>).6s      | (1,1/2)  | 3/2 |             567191     |    L18778
                         |          | 3/2 |             568644     |    L18778
                         |          | 1/2 |             572004     |    L18778
                         |          |     |                        |           
4f14.5p4.(1D<2>).6s      | (2,1/2)  | 5/2 |             581635     |    L18778
                         |          | 3/2 |             583560     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,1/2)<3>.6s | (3,1/2)  | 7/2 |             594941     |    L18778
                         |          | 5/2 |             597436     |    L18778
                         |          |     |                        |           
4f13.5p5.(7/2,1/2)<4>.6s | (4,1/2)  | 7/2 |             598904     |    L18778
                         |          | 9/2 |             599423     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,1/2)<3>.6s | (3,1/2)  | 5/2 |             609206     |    L18778
                         |          | 7/2 |             611283     |    L18778
                         |          |     |                        |           
4f13.5p5.(5/2,1/2)<2>.6s | (2,1/2)  | 5/2 |             621343     |    L18778
                         |          | 3/2 |             622123     |    L18778
