4s2.4p3           | 4S*    | 3/2 |             0.0     |     L3465
                  |        |     |                     |           
4s2.4p3           | 2D*    | 3/2 |         10592.5     |          
                  |        | 5/2 |         10914.6     |          
                  |        |     |                     |           
4s2.4p3           | 2P*    | 1/2 |         18186.1     |          
                  |        | 3/2 |         18647.5     |          
                  |        |     |                     |           
4s2.4p2.(3P).5s   | 4P     | 1/2 |         50693.8     |          
                  |        | 3/2 |         51610.2     |          
                  |        | 5/2 |         52897.9     |          
                  |        |     |                     |           
4s2.4p2.(3P).5s   | 2P     | 1/2 |         53135.6     |          
                  |        | 3/2 |         54605.3     |          
                  |        |     |                     |           
4s.4p4            | 4P     | 5/2 |         55366.4     |          
                  |        | 3/2 |         56863.6     |          
                  |        | 1/2 |         57488.1     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 2S*    | 1/2 |         60147.45    |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 4D*    | 1/2 |         60791.5     |          
                  |        |     |                     |           
4s2.4p2.(1D).5s   | 2D     | 5/2 |         60815.0     |          
                  |        | 3/2 |         60834.8     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 4D*    | 3/2 |         60860.4     |          
                  |        | 5/2 |         61685.0     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 4P*    | 3/2 |         62026.3     |          
                  |        | 1/2 |         62398.0     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 2D*    | 3/2 |         62554.4     |          
                  |        |     |                     |           
4s2.4p2.(3P).4d   | 4P     | 5/2 |         62751.1     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 4D*    | 7/2 |         62871.2     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 4P*    | 5/2 |         63282.8     |          
                  |        |     |                     |           
4s2.4p2.(3P).4d   | 4P     | 3/2 |         63503.6     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 4S*    | 3/2 |         63647.0     |          
                  |        |     |                     |           
                  | 21     | 3/2 |        63981.       |          
                  |        |     |                     |           
4s2.4p2.(3P).4d   | 4P     | 1/2 |         63981.7     |          
                  |        |     |                     |           
4s2.4p2.(3P).4d   | 2P     | 1/2 |         64122.0     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 2D*    | 5/2 |         64169.2     |          
                  |        |     |                     |           
4s2.4p2.(3P).5p   | 2P*    | 1/2 |         64323.8     |          
                  |        |     |                     |           
4s2.4p2.(3P).4d   | 2D     | 3/2 |         64342.4     |          
                  |        |     |                     |           
4s2.4p2.(3P).4d   | 2F     | 5/2 |         64639.5     |          
