4f9                   | 6H*       | 15/2 |              0.00     |       L3974
                      |           | 13/2 |           2804.67     |            
                      |           | 11/2 |           4734.52     |            
                      |           |  9/2 |           6258.08     |            
                      |           |      |                       |             
4f9                   | 6F*       | 11/2 |           6470.11     |            
                      |           |      |                       |             
4f9                   | 6H*       |  7/2 |           7422.21     |            
                      |           |      |                       |             
4f9                   | 6F*       |  9/2 |           7621.565    |            
                      |           |      |                       |             
4f9                   | 6H*       |  5/2 |           8285.885    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8G        | 13/2 |           8972.29     |            
                      |           |      |                       |             
4f9                   | 6F*       |  7/2 |           9144.98     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8G        | 11/2 |           9218.63     |            
                      |           | 15/2 |           9275.42     |            
                      |           |  9/2 |          10070.38     |            
                      |           |      |                       |             
4f9                   | 6F*       |  5/2 |          10220.38     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8G        |  7/2 |          10996.01     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8D        | 11/2 |          11217.785    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8G        |  5/2 |          11678.865    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8D        |  9/2 |          11752.295    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8G        |  3/2 |          12165.155    |            
                      |           |  1/2 |          12454.365    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8D        |  7/2 |          12775.40     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8F        | 13/2 |          12986.505    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8D        |  5/2 |          13689.615    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8F        |  3/2 |          14515.35     |            
                      |           | 11/2 |          14771.12     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8H        | 17/2 |          14890.375    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8F        |  9/2 |          15278.90     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8H        | 15/2 |          15516.735    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8F        |  7/2 |          15820.87     |            
                      |           |  5/2 |          16066.485    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8H        | 13/2 |          16261.835    |            
                      |           | 11/2 |          16757.805    |            
                      |           |  9/2 |          17169.285    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6F        | 11/2 |          17437.515    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8H        |  7/2 |          17499.43     |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        | 13/2 |          17676.265    |            
                      |           |      |                       |             
4f8.(7F).5d           | 8H        |  5/2 |          17755.55     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6G        | 13/2 |          18158.91     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8P        |  9/2 |          18761.675    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6F        |  9/2 |          18776.53     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6H        | 15/2 |          18796.25     |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        | 11/2 |          19181.10     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6G        | 11/2 |          19902.04     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6F        |  7/2 |          20012.85     |            
                      |           |      |                       |             
4f8.(7F).6s           | 6F        | 11/2 |          20317.60     |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        |  9/2 |          20648.99     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6H        | 13/2 |          20940.41     |            
                      |           |      |                       |             
