3d10.4s2.4p3                                     | 2D*      | 3/2 |                   0     |      L14671
                                                 |          |     |                         |             
3d10.4s2.4p3                                     | 4S*      | 3/2 |              719600     |      L12101
                                                 |          |     |                         |             
3d10.4s2.4p3                                     | 2D*      | 5/2 |              762100     |      L12101
                                                 |          |     |                         |             
