2p6.3s                      | 2S     | 1/2 |                  0     |     L4665
                            |        |     |                        |           
2p6.3p                      | 2P*    | 1/2 |            400292.     |          
                            |        | 3/2 |            468894.     |          
                            |        |     |                        |           
2p6.3d                      | 2D     | 3/2 |           1006118.     |          
                            |        | 5/2 |           1018317.     |          
                            |        |     |                        |           
2p6.4s                      | 2S     | 1/2 |           3585340.     |          
                            |        |     |                        |           
2p6.4p                      | 2P*    | 1/2 |           3747570.     |          
                            |        | 3/2 |           3774600.     |          
                            |        |     |                        |           
2p6.4d                      | 2D     | 3/2 |           3974950.     |          
                            |        | 5/2 |           3980270.     |          
                            |        |     |                        |           
2p6.4f                      | 2F*    | 5/2 |           4076100.     |          
                            |        | 7/2 |           4078300.     |          
                            |        |     |                        |           
2p6.5p                      | 2P*    | 1/2 |           5238340.     |          
                            |        |     |                        |           
2p6.5d                      | 2D     | 3/2 |           5335880.     |          
                            |        | 5/2 |           5338570.     |          
                            |        |     |                        |           
2p6.5f                      | 2F*    | 5/2 |           5386650.     |          
                            |        | 7/2 |           5387730.     |          
                            |        |     |                        |           
2p6.5g                      | 2G     | 7/2 |           5393390.     |          
                            |        | 9/2 |           5394040.     |          
                            |        |     |                        |           
2p6.6f                      | 2F*    | 7/2 |           6107000.     |          
