3s2.3p4               | 3P        |   2 |                   0     |    L15024
                      |           |   0 |             (105592)    |    L11781
                      |           |   1 |             (667511)    |    L11781
                      |           |     |                         |           
3s2.3p4               | 1D        |   2 |             (725827)    |    L11781
                      |           |     |                         |           
                      | 1296255*  |   2 |            (1296255)    |    L11781
                      |           |     |                         |           
                      | 1326309*  |   1 |            (1326309)    |    L11781
                      |           |     |                         |           
                      | 1340353*  |   0 |            (1340353)    |    L11781
                      |           |     |                         |           
                      | 1343476*  |   3 |            (1343476)    |    L11781
                      |           |     |                         |           
3s2.3p4               | 1S        |   0 |            (1432797)    |    L11781
                      |           |     |                         |           
                      | 1447593*  |   2 |            (1447593)    |    L11781
                      |           |     |                         |           
                      | 1482657*  |   4 |            (1482657)    |    L11781
                      |           |     |                         |           
                      | 1622125*  |   3 |            (1622125)    |    L11781
                      |           |     |                         |           
                      | 1647344*  |   1 |            (1647344)    |    L11781
                      |           |     |                         |           
                      | 1662789*  |   2 |            (1662789)    |    L11781
                      |           |     |                         |           
                      | 1768116*  |   1 |            (1768116)    |    L11781
                      |           |     |                         |           
                      | 1916285*  |   0 |            (1916285)    |    L11781
                      |           |     |                         |           
                      | 1920654*  |   2 |            (1920654)    |    L11781
                      |           |     |                         |           
                      | 1922144*  |   1 |            (1922144)    |    L11781
                      |           |     |                         |           
                      | 1962834*  |   3 |            (1962834)    |    L11781
                      |           |     |                         |           
                      | 2022168*  |   4 |            (2022168)    |    L11781
                      |           |     |                         |           
                      | 2070605*  |   3 |            (2070605)    |    L11781
                      |           |     |                         |           
                      | 2087741*  |   4 |            (2087741)    |    L11781
                      |           |     |                         |           
                      | 2091316*  |   2 |            (2091316)    |    L11781
                      |           |     |                         |           
                      | 2110450*  |   0 |            (2110450)    |    L11781
                      |           |     |                         |           
                      | 2116915*  |   1 |            (2116915)    |    L11781
                      |           |     |                         |           
                      | 2153647*  |   4 |            (2153647)    |    L11781
                      |           |     |                         |           
                      | 2177575*  |   5 |            (2177575)    |    L11781
                      |           |     |                         |           
                      | 2200527*  |   3 |            (2200527)    |    L11781
                      |           |     |                         |           
                      | 2207375*  |   2 |            (2207375)    |    L11781
                      |           |     |                         |           
                      | 2221265*  |   1 |            (2221265)    |    L11781
                      |           |     |                         |           
                      | 2273835*  |   2 |            (2273835)    |    L11781
                      |           |     |                         |           
                      | 2300586*  |   1 |            (2300586)    |    L11781
                      |           |     |                         |           
                      | 2318932*  |   3 |            (2318932)    |    L11781
                      |           |     |                         |           
                      | 2339197*  |   2 |            (2339197)    |    L11781
                      |           |     |                         |           
                      | 2375488*  |   0 |            (2375488)    |    L11781
                      |           |     |                         |           
                      | 2379927*  |   1 |            (2379927)    |    L11781
                      |           |     |                         |           
                      | 2380891*  |   3 |            (2380891)    |    L11781
                      |           |     |                         |           
                      | 2442576*  |   2 |            (2442576)    |    L11781
                      |           |     |                         |           
                      | 2531637*  |   1 |            (2531637)    |    L11781
                      |           |     |                         |           
                      | 2845790*  |   0 |            (2845790)    |    L11781
                      |           |     |                         |           
                      | 2862592*  |   4 |            (2862592)    |    L11781
                      |           |     |                         |           
                      | 2864457*  |   1 |            (2864457)    |    L11781
                      |           |     |                         |           
                      | 2878022*  |   2 |            (2878022)    |    L11781
                      |           |     |                         |           
                      | 2892803*  |   3 |            (2892803)    |    L11781
                      |           |     |                         |           
                      | 2912936*  |   2 |            (2912936)    |    L11781
                      |           |     |                         |           
                      | 2956608*  |   3 |            (2956608)    |    L11781
                      |           |     |                         |           
                      | 3196623*  |   1 |            (3196623)    |    L11781
