3p6.3d7           | 4F     |  9/2 |                 0.0    |      L10559
3d6.(3H).4p       | *      |  9/2 |            304456.1    |            
                  |        |      |                        |             
3d6.(3H).4p       | *      |  7/2 |            304655.0    |            
                  |        |      |                        |             
3d6.(3F2).4p      | 4D*    |  7/2 |            305453.3    |            
                  |        |      |                        |             
3d6.(3P2).4p      | *      |  3/2 |            305844.4    |            
                  |        |      |                        |             
3d6.(3H).4p       | 2I*    | 13/2 |            305882.7    |            
                  |        |      |                        |             
3d6.(3F2).4p      | 4D*    |  5/2 |            306115.6    |            
                  |        |  3/2 |            306678.1    |            
                  |        |      |                        |             
3d6.(3H).4p       | 2I*    | 11/2 |            306892.2    |            
                  |        |      |                        |             
3d6.(3P2).4p      | 4D*    |  5/2 |            306905.8    |            
                  |        |      |                        |             
3d6.(3F2).4p      | 4D*    |  1/2 |            306989.1    |            
                  |        |      |                        |             
3d6.(3P2).4p      | *      |  3/2 |            307138.8    |            
                  |        |      |                        |             
3d6.(3F2).4p      | *      |  9/2 |            307824.5    |            
                  |        |      |                        |             
3d6.(3F2).4p      | *      |  5/2 |            307909.5    |            
                  |        |      |                        |             
3d6.(3F2).4p      | 4G*    |  7/2 |            307990.7    |            
                  |        | 11/2 |            308064.9    |            
                  |        |      |                        |             
3d6.(3G).4p       | 4F*    |  9/2 |            308817.8    |            
                  |        |      |                        |             
3d6.(3G).4p       | *      | 11/2 |            309269.1    |            
                  |        |      |                        |             
3d6.(3F2).4p      | *      |  7/2 |            309294.1    |            
                  |        |      |                        |             
3d6.(3H).4p       | 4G*    |  5/2 |            309569.9    |            
                  |        |      |                        |             
3d6.(3P2).4p      | *      |  1/2 |            309702.9    |            
                  |        |      |                        |             
3d6.(3G).4p       | *      |  9/2 |            309772.0    |            
                  |        |      |                        |             
3d6.(3G).4p       | 4F*    |  7/2 |            309801.3    |            
                  |        |      |                        |             
3d6.(3P2).4p      | 2P*    |  3/2 |            310450.4    |            
                  |        |      |                        |             
3d6.(3G).4p       | 4G*    | 11/2 |            310483.1    |            
                  |        |      |                        |             
3d6.(3G).4p       | *      |  5/2 |            310753.8    |            
                  |        |      |                        |             
3d6.(3F2).4p      | *      |  9/2 |            310874.9    |            
                  |        |      |                        |             
3d6.(3F2).4p      | 2G*    |  7/2 |            311220.3    |            
                  |        |      |                        |             
3d6.(3G).4p       | *      |  9/2 |            311232.9    |            
                  |        |      |                        |             
3d6.(3G).4p       | *      |  7/2 |            311582.4    |            
                  |        |      |                        |             
3d6.(3G).4p       | 4F*    |  3/2 |            311706.3    |            
                  |        |      |                        |             
3d6.(3G).4p       | *      |  5/2 |            311837.8    |            
                  |        |      |                        |             
3d6.(3G).4p       | 4H*    | 13/2 |            311888.8    |            
                  |        |      |                        |             
3d6.(3P2).4p      | 2S*    |  1/2 |            311982.0    |            
                  |        |      |                        |             
3d6.(3G).4p       | 4H*    |  7/2 |            312073.1    |            
                  |        | 11/2 |            312105.5    |            
                  |        |  9/2 |            312138.0    |            
                  |        |      |                        |             
3d6.(3F2).4p      | 2D*    |  5/2 |            314237.9    |            
                  |        |  3/2 |            314988.0    |            
                  |        |      |                        |             
3d6.(3G).4p       | 2F*    |  5/2 |            316134.0    |            
                  |        |      |                        |             
3d6.(3H).4p       | 2H*    | 11/2 |            316149.4    |            
                  |        |      |                        |             
3d6.(3G).4p       | 2F*    |  7/2 |            316642.6    |            
                  |        |      |                        |             
3d6.(3H).4p       | 2H*    |  9/2 |            317201.1    |            
                  |        |      |                        |             
3d6.(1I).4p       | 2K*    | 13/2 |            317240.4    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4P*    |  5/2 |            318923.1    |            
                  |        |      |                        |             
3d6.(3G).4p       | 2G*    |  7/2 |            319304.2    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4P*    |  3/2 |            319404.1    |            
                  |        |      |                        |             
3d6.(1I).4p       | 2K*    | 15/2 |            319407.6    |            
                  |        |      |                        |             
3d6.(1G2).4p      | *      |  9/2 |            319418.8    |            
                  |        |      |                        |             
3d6.(3G).4p       | 2G*    |  9/2 |            319689.0    |            
                  |        |      |                        |             
3d6.(1I).4p       | 2H*    | 11/2 |            319951.5    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4P*    |  1/2 |            320216.4    |            
                  |        |      |                        |             
3d6.(3D).4p       | *      |  1/2 |            320935.3    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4F*    |  3/2 |            321074.0    |            
                  |        |  5/2 |            321364.9    |            
                  |        |      |                        |             
3d6.(3D).4p       | *      |  7/2 |            321433.0    |            
                  |        |      |                        |             
3d6.(3D).4p       | *      |  3/2 |            321443.1    |            
                  |        |      |                        |             
3d6.(1G2).4p      | 2G*    |  7/2 |            321795.8    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4D*    |  5/2 |            322192.1    |            
                  |        |      |                        |             
3d6.(1G2).4p      | 2G*    |  9/2 |            322375.9    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4F*    |  7/2 |            322464.1    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4D*    |  3/2 |            322470.0    |            
                  |        |      |                        |             
3d6.(3D).4p       | *      |  1/2 |            322569.0    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4D*    |  7/2 |            322744.4    |            
                  |        |      |                        |             
3d6.(3D).4p       | 4F*    |  9/2 |            322875.8    |            
                  |        |      |                        |             
3d6.(1G2).4p      | *      |  5/2 |            323222.4    |            
                  |        |      |                        |             
3d6.(1G).4p       | 2H*    | 11/2 |            323506.3    |            
                  |        |      |                        |             
3d6.(1I).4p       | 2H*    |  9/2 |            323616.8    |            
                  |        |      |                        |             
3d6.(1I).4p       | 2I*    | 13/2 |            324623.5    |            
                  |        | 11/2 |            324668.3    |            
                  |        |      |                        |             
3d6.(3D).4p       | 2D*    |  3/2 |            324908.8    |            
                  |        |  5/2 |            325518.5    |            
                  |        |      |                        |             
3d6.(1D2).4p      | 2P*    |  3/2 |            325923.4    |            
                  |        |      |                        |             
3d6.(3D).4p       | 2F*    |  7/2 |            326477.1    |            
                  |        |  5/2 |            327268.0    |            
                  |        |      |                        |             
3d6.(1S2).4p      | 2P*    |  1/2 |            327379.7    |            
                  |        |      |                        |             
3d6.(1D2).4p      | 2D*    |  5/2 |            329339.6    |            
                  |        |  3/2 |            329960.8    |            
                  |        |      |                        |             
3d6.(1D2).4p      | 2F*    |  5/2 |            330765.1    |            
                  |        |      |                        |             
3d6.(1D2).4p      | 2P*    |  1/2 |            331353.6    |            
                  |        |      |                        |             
3d6.(1D2).4p      | 2F*    |  7/2 |            331435.0    |            
                  |        |      |                        |             
3d6.(1S2).4p      | 2P*    |  3/2 |            332946.3    |            
                  |        |      |                        |             
3d6.(1F).4p       | 2G*    |  7/2 |            335935.2    |            
                  |        |      |                        |             
3d6.(1F).4p       | 2D*    |  5/2 |            338015.8    |            
                  |        |      |                        |             
3d6.(1F).4p       | 2G*    |  9/2 |            338059.3    |            
                  |        |      |                        |             
3d6.(1F).4p       | 2D*    |  3/2 |            339377.8    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 4D*    |  1/2 |            339845.5    |            
                  |        |      |                        |             
3d6.(1F).4p       | *      |  3/2 |            340482.7    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 4D*    |  5/2 |            340722.8    |            
                  |        |  7/2 |            340819.5    |            
                  |        |      |                        |             
3d6.(1F).4p       | 2F*    |  5/2 |            343301.1    |            
                  |        |  7/2 |            343337.2    |            
                  |        |      |                        |             
3d6.(3F).4p       | 4G*    |  5/2 |            347219.0    |            
                  |        |  7/2 |            347793.1    |            
                  |        |  9/2 |            348323.7    |            
                  |        | 11/2 |            349167.6    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 4S*    |  3/2 |            349300.5    |            
                  |        |      |                        |             
3d6.(3F).4p       | 2D*    |  3/2 |            351430.8    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 4P*    |  1/2 |            351671.9    |            
                  |        |  3/2 |            352004.5    |            
                  |        |      |                        |             
3d6.(3F).4p       | 2D*    |  3/2 |            352004.5    |            
                  |        |  5/2 |            352419.2    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 2G*    |  9/2 |            352582.3    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 4P*    |  5/2 |            353485.7    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 4D*    |  1/2 |            353590.0    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 2G*    |  7/2 |            353645.9    |            
                  |        |      |                        |             
3d6.(3F1).4p      | *      |  3/2 |            354039.3    |            
                  |        |      |                        |             
3d6.(3F1).4p      | *      |  5/2 |            354548.0    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 4F*    |  3/2 |            354796.7    |            
                  |        |      |                        |             
3d6.(3F1).4p      | *      |  7/2 |            354905.2    |            
                  |        |      |                        |             
3d6.(3F1).4p      | *      |  5/2 |            355606.0    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 4F*    |  9/2 |            355875.0    |            
                  |        |      |                        |             
3d6.(3F1).4p      | *      |  7/2 |            356372.1    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 2D*    |  3/2 |            356661.9    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 2P*    |  1/2 |            357881.0    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 2D*    |  5/2 |            357948.3    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 2F*    |  7/2 |            358724.8    |            
                  |        |      |                        |             
3d6.(3P1).4p      | 2P*    |  3/2 |            359141.2    |            
                  |        |      |                        |             
3d6.(3F1).4p      | 2F*    |  5/2 |            359491.9    |            
                  |        |      |                        |             
3d6.(1G1).4p      | 2H*    |  9/2 |            360058.2    |            
                  |        |      |                        |             
3d6.(1G1).4p      | *      |  7/2 |            362142.8    |            
                  |        |      |                        |             
3d6.(1G1).4p      | 2H*    | 11/2 |            362144.7    |            
                  |        |      |                        |             
3d6.(1G1).4p      | 2F*    |  5/2 |            363396.8    |            
                  |        |      |                        |             
3d6.(1G1).4p      | 2G*    |  9/2 |            364606.6    |            
                  |        |  7/2 |            365071.1    |            
                  |        |      |                        |             
3d6.(1D1).4p      | 2D*    |  3/2 |            386004.2    |            
                  |        |  5/2 |            386705.0    |            
                  |        |      |                        |             
3d6.(1D1).4p      | 2F*    |  5/2 |            392652.5    |            
                  |        |      |                        |             
3d6.(1D1).4p      | 2P*    |  3/2 |            394248.5    |            
                  |        |      |                        |             
3d6.(1D1).4p      | 2F*    |  7/2 |            394391.0    |            
                  |        |      |                        |             
3d6.(1D1).4p      | 2P*    |  1/2 |            394912.4    |            
