3p6.3d2                    | 3F     |   2 |               0.0    |       L7185
3p6.3d.5f                  | 3G*    |   3 |          786732      |            
                           |        |     |                      |             
3p6.3d.5f                  | 1D*    |   2 |          786830      |            
                           |        |     |                      |             
3p6.3d.5f                  | 3G*    |   4 |          787737      |            
                           |        |     |                      |             
3p6.3d.5f                  | 3D*    |   1 |          787945      |            
                           |        |   2 |          788030      |            
                           |        |     |                      |             
3p6.3d.5f                  | 3G*    |   5 |          788146      |            
                           |        |     |                      |             
3p6.3d.5f                  | 3D*    |   3 |          788303      |            
                           |        |     |                      |             
3p6.3d.5f                  | 3P*    |   2 |          788995      |            
                           |        |   1 |          789172      |            
                           |        |     |                      |             
3p6.3d.5f                  | 1F*    |   3 |          789215      |            
                           |        |     |                      |             
3p6.3d.5f                  | 3P*    |   0 |          789365      |            
                           |        |     |                      |             
3p6.3d.5f                  | 1P*    |   1 |          790708      |            
                           |        |     |                      |             
3p6.3d.5f                  | 1H*    |   5 |          791168      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3F).4s.(4F) | 3G*    |   3 |          794149      |            
                           |        |     |                      |             
3p5.3d2.4s                 | 3F*    |   3 |          797257      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3F).4s.(4F) | 3G*    |   4 |          797712      |            
                           |        |   5 |          800633      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3F).4s.(2F) | 1G*    |   4 |          802462      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(1G).4s.(2G) | 1H*    |   5 |          806033      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(1D).4s.(2D) | 1F*    |   3 |          807627      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(2P) | 3D*    |   3 |          812086      |            
                           |        |   2 |          813877      |            
                           |        |   1 |          817195      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(4P) | 3D*    |   1 |          822689      |            
                           |        |   2 |          824184      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(4P) | 3S*    |   1 |          826106      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(4P) | 3D*    |   3 |          827533      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(2P) | 1D*    |   2 |          829626      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(1G).4s.(2G) | 3G*    |   5 |          832889      |            
                           |        |   4 |          832893      |            
                           |        |   3 |          833128      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(2P) | 3S*    |   1 |          837472      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3H*    |   4 |          852601      |            
                           |        |     |                      |             
3p6.3d.6f                  | 1G*    |   4 |          853307      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3F*    |   2 |          853433      |            
                           |        |   3 |          853697      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3G*    |   3 |          854760      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3F*    |   4 |          854767      |            
                           |        |     |                      |             
3p6.3d.6f                  | 1D*    |   2 |          854838      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3D*    |   1 |          855346      |            
                           |        |   2 |          855903      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3G*    |   4 |          855969      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3D*    |   3 |          856109      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3G*    |   5 |          856260      |            
                           |        |     |                      |             
3p6.3d.6f                  | 1F*    |   3 |          856797      |            
                           |        |     |                      |             
3p6.3d.6f                  | 3P*    |   2 |          856811      |            
                           |        |   1 |          856975      |            
                           |        |   0 |          857082      |            
                           |        |     |                      |             
3p6.3d.6f                  | 1H*    |   5 |          857881      |            
                           |        |     |                      |             
3p6.3d.7f                  | 3F*    |   2 |          894718      |            
                           |        |   3 |          894944      |            
                           |        |     |                      |             
3p6.3d.7f                  | 3G*    |   3 |          895744      |            
                           |        |     |                      |             
