1s2                    | 1S     |   0 |                    0     |    L13290
                       |        |     |                          |           
1s.2s                  | 3S     |   1 |            87498590.     |          
                       |        |     |                          |           
1s.2p                  | 3P*    |   0 |            87818560.     |          
                       |        |     |                          |           
1s.2s                  | 1S     |   0 |            87837590.     |          
                       |        |     |                          |           
1s.2p                  | 3P*    |   1 |            87841400.     |          
                       |        |   2 |            88180530.     |          
                       |        |     |                          |           
1s.2p                  | 1P*    |   1 |            88357310.     |          
                       |        |     |                          |           
1s.3s                  | 3S     |   1 |           103745200.     |          
                       |        |     |                          |           
1s.3p                  | 3P*    |   0 |           103833400.     |          
                       |        |     |                          |           
1s.3s                  | 1S     |   0 |           103834800.     |          
                       |        |     |                          |           
1s.3p                  | 3P*    |   1 |           103839000.     |          
                       |        |   2 |           103942800.     |          
                       |        |     |                          |           
1s.3p                  | 1P*    |   1 |           103989900.     |          
                       |        |     |                          |           
1s.3d                  | 3D     |   3 |           104033700.+s   |          
                       |        |     |                          |           
1s.3d                  | 1D     |   2 |           104037400.+v   |          
                       |        |     |                          |           
1s.4s                  | 3S     |   1 |           109374900.     |          
                       |        |     |                          |           
1s.4s                  | 1S     |   0 |           109411200.     |          
                       |        |     |                          |           
1s.4p                  | 3P*    |   0 |           109411700.     |          
                       |        |   1 |           109414000.     |          
                       |        |   2 |           109457100.     |          
                       |        |     |                          |           
1s.4p                  | 1P*    |   1 |           109477100.     |          
                       |        |     |                          |           
1s.5s                  | 3S     |   1 |           111965800.     |          
                       |        |     |                          |           
1s.5s                  | 1S     |   0 |           111983800.     |          
                       |        |     |                          |           
1s.5p                  | 3P*    |   0 |           111984400.     |          
                       |        |   1 |           111985500.     |          
                       |        |   2 |           112007600.     |          
                       |        |     |                          |           
1s.5p                  | 1P*    |   1 |           112017700.     |          
