2s2.2p6               | 1S          |   0 |                  0     |    L10559
                      |             |     |                        |           
2s2.2p5.3s            | (3/2,1/2)*  |   2 |            7777270     |          
                      |             |   1 |            7795650     |          
                      |             |     |                        |           
2s2.2p5.3s            | (1/2,1/2)*  |   0 |            7943950     |          
                      |             |   1 |            7955050     |          
                      |             |     |                        |           
2s2.2p5.3p            | (3/2,1/2)   |   1 |            8070680     |          
                      |             |   2 |            8098270     |          
                      |             |     |                        |           
2s2.2p5.3p            | (3/2,3/2)   |   3 |            8125590     |          
                      |             |   1 |            8133410     |          
                      |             |   2 |            8153580     |          
                      |             |     |                        |           
2s2.2p5.3p            | (1/2,1/2)   |   1 |            8259280     |          
                      |             |     |                        |           
2s2.2p5.3p            | (1/2,3/2)   |   1 |            8301150     |          
                      |             |   2 |            8306290     |          
                      |             |     |                        |           
2s2.2p5.3p            | (1/2,1/2)   |   0 |            8406900     |          
                      |             |     |                        |           
2s2.2p5.3d            | (3/2,3/2)*  |   0 |            8509560     |          
                      |             |   1 |            8520820     |          
                      |             |     |                        |           
2s2.2p5.3d            | (3/2,5/2)*  |   4 |            8540100     |          
                      |             |   2 |            8540750     |          
                      |             |     |                        |           
2s2.2p5.3d            | (3/2,3/2)*  |   3 |            8545040     |          
                      |             |   2 |            8562820     |          
                      |             |     |                        |           
2s2.2p5.3d            | (3/2,5/2)*  |   3 |            8574510     |          
                      |             |   1 |            8626510     |          
                      |             |     |                        |           
2s2.2p5.3d            | (1/2,3/2)*  |   2 |            8711110     |          
                      |             |     |                        |           
2s2.2p5.3d            | (1/2,5/2)*  |   2 |            8720400     |          
                      |             |   3 |            8727220     |          
                      |             |     |                        |           
2s2.2p5.3d            | (1/2,3/2)*  |   1 |            8787010     |          
                      |             |     |                        |           
2s.2p6.3p             | (1/2,1/2)*  |   1 |            9387000     |          
                      |             |     |                        |           
2s.2p6.3p             | (1/2,3/2)*  |   1 |            9436000     |          
                      |             |     |                        |           
2s2.2p5.4s            | (3/2,1/2)*  |   1 |           10504000     |          
                      |             |     |                        |           
2s2.2p5.4s            | (1/2,1/2)*  |   1 |           10667000     |          
                      |             |     |                        |           
2s2.2p5.4d            | (3/2,3/2)*  |   1 |           10783000     |          
                      |             |     |                        |           
2s2.2p5.4d            | (3/2,5/2)*  |   1 |           10828000     |          
                      |             |     |                        |           
2s2.2p5.4d            | (1/2,3/2)*  |   1 |           10984000     |          
                      |             |     |                        |           
2s2.2p5.5d            | (3/2,5/2)*  |   1 |           11840000     |          
                      |             |     |                        |           
2s.2p6.4p             | (1/2,1/2)*  |   1 |           11905000     |          
                      |             |     |                        |           
2s.2p6.4p             | (1/2,3/2)*  |   1 |           11926000     |          
                      |             |     |                        |           
2s2.2p5.5d            | (1/2,3/2)*  |   1 |           12002000     |          
                      |             |     |                        |           
2s2.2p5.6d            | (3/2,5/2)*  |   1 |           12389000     |          
                      |             |     |                        |           
2s2.2p5.6d            | (1/2,3/2)*  |   1 |           12544000     |          
