3p6.3d7.(2H).4p      | 3I*    |   5 |            1519330     |     L7543
                     |        |     |                        |           
3p6.3d7.(4P).4p      | 3D*    |   2 |            1519740     |     L7543
                     |        |     |                        |           
3p6.3d7.(2P).4p      | 1P*    |   1 |            1522100     |     L7543
                     |        |     |                        |           
3p6.3d7.(2G).4p      | 3F*    |   3 |            1522330     |     L7543
                     |        |   2 |            1523080?    |     L7543
                     |        |     |                        |           
3p6.3d7.(2G).4p      | 1H*    |   5 |            1523960     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D2).4p     | 3F*    |   2 |            1525220?    |     L7543
                     |        |     |                        |           
3p6.3d7.(4P).4p      | 3P*    |   1 |            1529770     |     L7543
                     |        |     |                        |           
3p6.3d7.(2H).4p      | 3G*    |   3 |            1530630     |     L7543
                     |        |     |                        |           
3p6.3d7.(2P).4p      | 3D*    |   2 |            1533040     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D2).4p     | 3D*    |   2 |            1536640     |     L7543
                     |        |     |                        |           
3p6.3d7.(2G).4p      | 1F*    |   3 |            1538410     |     L7543
                     |        |     |                        |           
3p6.3d7.(2H).4p      | 3H*    |   5 |            1538490?    |     L7543
                     |        |     |                        |           
3p6.3d7.(2P).4p      | 3S*    |   1 |            1538630     |     L7543
                     |        |     |                        |           
3p6.3d7.(2H).4p      | 1G*    |   4 |            1541700     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D2).4p     | 3P*    |   2 |            1545250     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D2).4p     | 1F*    |   3 |            1548420     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D2).4p     | 1P*    |   1 |            1549600     |     L7543
                     |        |     |                        |           
3p6.3d7.(2H).4p      | 1H*    |   5 |            1555090     |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 3G*    |   3 |            1555400     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D2).4p     | 3P*    |   1 |            1558300?    |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 3D*    |   3 |            1563960     |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 3F*    |   3 |            1568880?    |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 3D*    |   1 |            1570480?    |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 1G*    |   4 |            1571370?    |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 3D*    |   2 |            1573320     |     L7543
                     |        |     |                        |           
3p6.3d7.(2F).4p      | 1F*    |   3 |            1587200     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D1).4p     | 1P*    |   1 |            1624060     |     L7543
                     |        |     |                        |           
3p6.3d7.(2D1).4p     | 3D*    |   1 |            1634700     |     L7543
