4f6.(7F).6s.6p.(3P*)           | 7G*    |           4 |            17504.63    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9F*    |           5 |            17587.46    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9D*    |           6 |            17654.54    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | *      |           1 |            17769.71    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7F*    |           0 |            17810.85    |          
                               |        |           3 |            17830.80    |          
                               |        |             |                        |           
4f6.6s2                        | 5D3    |           2 |            17864.29    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | *      |           4 |            17959.27    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7H*    |           2 |            18075.67    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           7 |            18118.86    |          
                               |        |             |                        |           
4f6.(7F).5d (6H).6s            | 7H     |           2 |            18176.17    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5G*    |           3 |            18209.04    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | *      |           1 |            18225.13    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9F*    |           6 |            18298.30    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7F*    |           0 |            18309.02    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7I*    |           3 |            18328.64    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7G*    |           5 |            18350.40    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           2 |            18416.62    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7F*    |           1 |            18475.28    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5G*    |           4 |            18503.49    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7F*    |           2 |            18788.08    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5G*    |           5 |            18811.11    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7H*    |           3 |            18948.78    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5F*    |           1 |            18985.70    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9F*    |           7 |            19005.65    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           2 |            19009.52    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 9G*    |           8 |            19138.80    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7I*    |           4 |            19174.84    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7F*    |           4 |            19191.64    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           3 |            19210.09    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7G*    |           6 |            19254.29    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7D*    |           5 |            19264.63    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7F*    |           3 |            19501.27    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5F*    |           2 |            19677.46    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5G*    |           6 |            19712.41    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7G*    |           3 |            19776.97    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7H*    |           4 |            19990.25    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 5F*    |           1 |            20091.03    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7F*    |           5 |            20153.47    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7F*    |           4 |            20163.00    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7I*    |           5 |            20183.35    |          
                               |        |             |                        |           
4f6.6s2                        | 5D3    |           3 |            20195.76    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7G*    |           7 |            20211.95    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           4 |            20396.67    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 5F*    |           3 |            20459.30    |          
                               |        |             |                        |           
                               | *      |           6 |            20593.06    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | *      |           4 |            20712.83    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 5F*    |           2 |            20762.82    |          
                               |        |             |                        |           
4f6.(7F).6s.6p.(3P*)           | 7F*    |           6 |            21055.76    |          
                               |        |             |                        |           
4f5.(6H*).5d.6s2               | 7H*    |           5 |            21062.82    |          
                               |        |             |                        |           
