1s2                  | 1S     |   0 |                   0     |    L12167
                     |        |     |                         |           
1s.2s                | 3S     |   1 |           98785120.     |          
                     |        |     |                         |           
1s.2p                | 3P*    |   0 |           99132150.     |          
                     |        |     |                         |           
1s.2s                | 1S     |   0 |           99150500.     |          
                     |        |     |                         |           
1s.2p                | 3P*    |   1 |           99155410.     |          
                     |        |   2 |           99595470.     |          
                     |        |     |                         |           
1s.2p                | 1P*    |   1 |           99781210.     |          
                     |        |     |                         |           
1s.3s                | 3S     |   1 |          117152100.     |          
                     |        |     |                         |           
1s.3p                | 3P*    |   0 |          117247800.     |          
                     |        |     |                         |           
1s.3s                | 1S     |   0 |          117248600.     |          
                     |        |     |                         |           
1s.3p                | 3P*    |   1 |          117253200.     |          
                     |        |   2 |          117385200.     |          
                     |        |     |                         |           
1s.3p                | 1P*    |   1 |          117437000.     |          
                     |        |     |                         |           
1s.4s                | 3S     |   1 |          123516800.     |          
                     |        |     |                         |           
1s.4s                | 1S     |   0 |          123555800.     |          
                     |        |     |                         |           
1s.4p                | 3P*    |   0 |          123556700.     |          
                     |        |   1 |          123558800.     |          
                     |        |   2 |          123614600.     |          
                     |        |     |                         |           
1s.4p                | 1P*    |   1 |          123635800.     |          
                     |        |     |                         |           
1s.5s                | 3S     |   1 |          126445300.     |          
                     |        |     |                         |           
1s.5s                | 1S     |   0 |          126464800.     |          
                     |        |     |                         |           
1s.5p                | 3P*    |   0 |          126465400.     |          
                     |        |   1 |          126466600.     |          
                     |        |   2 |          126495200.     |          
                     |        |     |                         |           
1s.5p                | 1P*    |   1 |          126505900.     |          
