3d10.4s2            | 1S          |   0 |               0.000    |    L12180
                    |             |     |                        |           
4s.4p               | 3P*         |   0 |           47367.55     |          
                    |             |   1 |           47814.114    |          
                    |             |   2 |           48749.85     |          
                    |             |     |                        |           
4s.4p               | 1P*         |   1 |           70701.427    |          
                    |             |     |                        |           
4s.5s               | 3S          |   1 |          102944.595    |          
                    |             |     |                        |           
4s.5s               | 1S          |   0 |          106662.379    |          
                    |             |     |                        |           
4p2                 | 1D          |   2 |          107720.716    |          
                    |             |     |                        |           
4s.4d               | 3D          |   1 |          113815.885    |          
                    |             |   2 |          113842.301    |          
                    |             |   3 |          113883.193    |          
                    |             |     |                        |           
4p2                 | 3P          |   0 |          114695.47     |          
                    |             |   1 |          115224.47     |          
                    |             |   2 |          116139.90     |          
                    |             |     |                        |           
4s.5p               | 3P*         |   0 |          118429.967    |          
                    |             |   1 |          118518.461    |          
                    |             |   2 |          118727.870    |          
                    |             |     |                        |           
4s.5p               | 1P*         |   1 |          120550.431    |          
                    |             |     |                        |           
4s.4d               | 1D          |   2 |          126187.61     |          
                    |             |     |                        |           
4s.6s               | 3S          |   1 |          133010.30     |          
                    |             |     |                        |           
4s.6s               | 1S          |   0 |          133741.20     |          
                    |             |     |                        |           
4p2                 | 1S          |   0 |          135639.40     |          
                    |             |     |                        |           
4s.5d               | 3D          |   1 |          137157.524    |          
                    |             |   2 |          137168.592    |          
                    |             |   3 |          137185.466    |          
                    |             |     |                        |           
4s.4f               | 3F*         |   2 |          137332.285    |          
                    |             |   3 |          137333.474    |          
                    |             |   4 |          137339.674    |          
                    |             |     |                        |           
4s.4f               | 1F*         |   3 |          137342.570    |          
                    |             |     |                        |           
4s.5d               | 1D          |   2 |          139703.442    |          
                    |             |     |                        |           
4s.7s               | 3S          |   1 |          145494.205    |          
                    |             |     |                        |           
4s.7s               | 1S          |   0 |          146023.600    |          
                    |             |     |                        |           
4s.5f               | 3F*         |   2 |          147484.34     |          
                    |             |   3 |          147485.466    |          
                    |             |   4 |          147491.193    |          
                    |             |     |                        |           
4s.5f               | 1F*         |   3 |          147493.327    |          
                    |             |     |                        |           
4s.6d               | 3D          |   1 |          147520.34     |          
                    |             |   2 |          147526.09     |          
                    |             |   3 |          147534.881    |          
                    |             |     |                        |           
4s.5g               | (1/2,7/2)   |   3 |          147817.61     |          
                    |             |   4 |          147817.65     |          
                    |             |     |                        |           
4s.5g               | (1/2,9/2)   |   5 |          147818.60     |          
                    |             |   4 |          147818.74     |          
                    |             |     |                        |           
4s.6d               | 1D          |   2 |          148446.729    |          
                    |             |     |                        |           
4s.8s               | 3S          |   1 |          151923.93     |          
                    |             |     |                        |           
4s.8s               | 1S          |   0 |          152200.866    |          
                    |             |     |                        |           
4s.6f               | 3F*         |   2 |          153000.078    |          
                    |             |   3 |          153001.63     |          
                    |             |   4 |          153005.977    |          
                    |             |     |                        |           
4s.6f               | 1F*         |   3 |          153009.57     |          
                    |             |     |                        |           
4s.7d               | 3D          |   1 |          153064.92     |          
                    |             |   2 |          153068.30     |          
                    |             |   3 |          153073.50     |          
                    |             |     |                        |           
4s.6g               | (1/2,7/2)   |   3 |          153214.7      |          
                    |             |   4 |          153214.81     |          
                    |             |     |                        |           
4s.6g               | (1/2,9/2)   |   5 |          153215.62     |          
                    |             |   4 |          153215.74     |          
                    |             |     |                        |           
4s.7d               | 1D          |   2 |          153515.707    |          
                    |             |     |                        |           
4s.7f               | 3F*         |   2 |          156322.3      |          
                    |             |   3 |          156323.8      |          
                    |             |   4 |          156327.39     |          
                    |             |     |                        |           
4s.7f               | 1F*         |   3 |          156331.2      |          
                    |             |     |                        |           
4s.8d               | 3D          |   3 |          156386.7      |          
                    |             |     |                        |           
4s.7g               | (1/2,7/2)   |   3 |          156468.8      |          
                    |             |   4 |          156468.9      |          
                    |             |     |                        |           
4s.7g               | (1/2,9/2)   |   5 |          156469.5      |          
                    |             |   4 |          156469.75     |          
                    |             |     |                        |           
4s.8g               | (1/2,7/2)   |   3 |          158579.5      |          
                    |             |   4 |          158579.5      |          
                    |             |     |                        |           
4s.8g               | (1/2,9/2)   |   4 |          158580.7      |          
                    |             |   5 |          158580.9      |          
