3p6.3d                     | 2D        | 3/2 |                   0     |        L16569
                           |           | 5/2 |              626490     |        L16374
                           |           |     |                         |               
3p5.(2P*<3/2>).3d2.(3F<2>) | (3/2,2)*  | 7/2 |             2136600     | L16374,L12366
                           |           |     |                         |               
3p5.(2P*<3/2>).3d2.(3F<3>) | (3/2,3)*  | 9/2 |             2678100     | L16374,L14671
                           |           |     |                         |               
3p5.(2P*<1/2>).3d2.(3F<2>) | (1/2,2)*  | 5/2 |             4865700     |        L15244
                           |           | 3/2 |             5212700     |        L15244
