2s2.2p3             | 4S*    | 3/2 |                     0     |    L12180
                    |        |     |                           |           
2s2.2p3             | 2D*    | 3/2 |                208620+x   |          
                    |        | 5/2 |                281650+x   |          
                    |        |     |                           |           
2s2.2p3             | 2P*    | 1/2 |                389440+x   |          
                    |        | 3/2 |                561600+y   |          
                    |        |     |                           |           
2s.2p4              | 4P     | 5/2 |               1016950     |          
                    |        | 3/2 |               1164010     |          
                    |        | 1/2 |               1188920     |          
                    |        |     |                           |           
2s.2p4              | 2D     | 3/2 |               1412790+x   |          
                    |        | 5/2 |               1466470+x   |          
                    |        |     |                           |           
2s.2p4              | 2S     | 1/2 |               1612310+x   |          
                    |        |     |                           |           
2s.2p4              | 2P     | 3/2 |               1679060+x   |          
                    |        | 1/2 |               1897320+y   |          
                    |        |     |                           |           
2p5                 | 2P*    | 3/2 |               2593240+x   |          
