3s2.3p4                | 3P        |   2 |                   0     |    L11781
                       |           |   0 |             (108424)    |    L11781
                       |           |   1 |             (728458)    |    L11781
                       |           |     |                         |           
3s2.3p4                | 1D        |   2 |             (787854)    |    L11781
                       |           |     |                         |           
                       | 1328076*  |   2 |            (1328076)    |    L11781
                       |           |     |                         |           
                       | 1360630*  |   1 |            (1360630)    |    L11781
                       |           |     |                         |           
                       | 1373358*  |   0 |            (1373358)    |    L11781
                       |           |     |                         |           
                       | 1376728*  |   3 |            (1376728)    |    L11781
                       |           |     |                         |           
                       | 1503344*  |   2 |            (1503344)    |    L11781
                       |           |     |                         |           
                       | 1529234*  |   4 |            (1529234)    |    L11781
                       |           |     |                         |           
3s2.3p4                | 1S        |   0 |            (1556621)    |    L11781
                       |           |     |                         |           
                       | 1672725*  |   3 |            (1672725)    |    L11781
                       |           |     |                         |           
                       | 1705640*  |   1 |            (1705640)    |    L11781
                       |           |     |                         |           
                       | 1741358*  |   2 |            (1741358)    |    L11781
                       |           |     |                         |           
                       | 1850854*  |   1 |            (1850854)    |    L11781
                       |           |     |                         |           
                       | 2007544*  |   0 |            (2007544)    |    L11781
                       |           |     |                         |           
                       | 2011044*  |   2 |            (2011044)    |    L11781
                       |           |     |                         |           
                       | 2012696*  |   1 |            (2012696)    |    L11781
                       |           |     |                         |           
                       | 2054699*  |   3 |            (2054699)    |    L11781
                       |           |     |                         |           
                       | 2114793*  |   4 |            (2114793)    |    L11781
                       |           |     |                         |           
                       | 2175324*  |   3 |            (2175324)    |    L11781
                       |           |     |                         |           
                       | 2185807*  |   2 |            (2185807)    |    L11781
                       |           |     |                         |           
                       | 2191935*  |   4 |            (2191935)    |    L11781
                       |           |     |                         |           
                       | 2225772*  |   0 |            (2225772)    |    L11781
                       |           |     |                         |           
                       | 2227354*  |   1 |            (2227354)    |    L11781
                       |           |     |                         |           
                       | 2260160*  |   4 |            (2260160)    |    L11781
                       |           |     |                         |           
                       | 2284413*  |   5 |            (2284413)    |    L11781
                       |           |     |                         |           
                       | 2295089*  |   3 |            (2295089)    |    L11781
                       |           |     |                         |           
                       | 2304029*  |   2 |            (2304029)    |    L11781
                       |           |     |                         |           
                       | 2321106*  |   1 |            (2321106)    |    L11781
                       |           |     |                         |           
                       | 2383180*  |   2 |            (2383180)    |    L11781
                       |           |     |                         |           
                       | 2403713*  |   1 |            (2403713)    |    L11781
                       |           |     |                         |           
                       | 2429228*  |   3 |            (2429228)    |    L11781
                       |           |     |                         |           
                       | 2450353*  |   2 |            (2450353)    |    L11781
                       |           |     |                         |           
                       | 2488746*  |   1 |            (2488746)    |    L11781
                       |           |     |                         |           
                       | 2493771*  |   3 |            (2493771)    |    L11781
                       |           |     |                         |           
                       | 2514074*  |   0 |            (2514074)    |    L11781
                       |           |     |                         |           
                       | 2553360*  |   2 |            (2553360)    |    L11781
                       |           |     |                         |           
                       | 2671662*  |   1 |            (2671662)    |    L11781
                       |           |     |                         |           
                       | 3001881*  |   0 |            (3001881)    |    L11781
                       |           |     |                         |           
                       | 3020915*  |   1 |            (3020915)    |    L11781
                       |           |     |                         |           
                       | 3030273*  |   4 |            (3030273)    |    L11781
                       |           |     |                         |           
                       | 3042074*  |   2 |            (3042074)    |    L11781
                       |           |     |                         |           
                       | 3046980*  |   3 |            (3046980)    |    L11781
                       |           |     |                         |           
                       | 3072834*  |   2 |            (3072834)    |    L11781
                       |           |     |                         |           
                       | 3126293*  |   3 |            (3126293)    |    L11781
                       |           |     |                         |           
                       | 3369799*  |   1 |            (3369799)    |    L11781
