                   |        |  9/2 |           50705.52    |              
                   |        |      |                       |               
4d4.(5D).5p        | z 4F*  |  3/2 |           51372.90    |              
                   |        |  5/2 |           51732.39    |              
                   |        |  7/2 |           52217.30    |              
                   |        |  9/2 |           52843.10    |              
                   |        |      |                       |               
4d4.(5D).5p        | z 4D*  |  1/2 |           54238.80    |              
                   |        |  3/2 |           54687.61    |              
                   |        |  5/2 |           55215.85    |              
                   |        |  7/2 |           55706.57    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 4D*  |  1/2 |           57319.55    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4H*  |  7/2 |           57892.06    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 4D*  |  3/2 |           58140.75    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4H*  |  9/2 |           58196.68    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | z 2S*  |  1/2 |           58527.00    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4H*  | 11/2 |           58760.95    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | z 4G*  |  5/2 |           59053.32    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 4D*  |  5/2 |           59347.94    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | z 4G*  |  7/2 |           59478.34    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4H*  | 13/2 |           59491.83    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4I*  |  9/2 |           59679.75    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | z 2D*  |  3/2 |           59840.70    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 2G*  |  7/2 |           60135.37    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | z 4G*  |  9/2 |           60227.00    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 4D*  |  7/2 |           60702.16    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4I*  | 11/2 |           60924.53    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 2G*  |  9/2 |           60973.14    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | z 2D*  |  5/2 |           60992.47    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | z 4G*  | 11/2 |           61116.18    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 4P*  |  1/2 |           61134.25    |              
                   |        |  3/2 |           61456.77    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4I*  | 13/2 |           61647.76    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | z 2P*  |  3/2 |           61746.58    |              
                   |        |  1/2 |           62096.05    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 4I*  | 15/2 |           62151.66    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | x 4D*  |  5/2 |           62342.27    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 4P*  |  5/2 |           62425.47    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | x 4D*  |  7/2 |           62491.78    |              
                   |        |  3/2 |           62551.04    |              
                   |        |      |                       |               
                   | 1*     |  5/2 |           62594.53    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 2I*  | 11/2 |           62728.35    |              
                   |        |      |                       |               
4d4.(3H).5p        | y 4G*  |  7/2 |           62917.94    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | x 4D*  |  1/2 |           62937.45    |              
                   |        |      |                       |               
4d4.(3H).5p        | y 4G*  |  9/2 |           62953.75    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 2I*  | 13/2 |           62980.24    |              
                   |        |      |                       |               
