2s2.2p3             | 4S*    | 3/2 |                    0     |    L12196
                    |        |     |                          |           
2s2.2p3             | 2D*    | 3/2 |               384900     |          
                    |        | 5/2 |               487220     |          
                    |        |     |                          |           
2s2.2p3             | 2P*    | 1/2 |               621500?    |          
                    |        |     |                          |           
2s.2p4              | 4P     | 5/2 |              1391300     |          
                    |        | 3/2 |              1646580     |          
                    |        | 1/2 |              1657500     |          
                    |        |     |                          |           
2s.2p4              | 2D     | 3/2 |              1955480     |          
                    |        |     |                          |           
2s.2p4              | 2P     | 3/2 |              2318860     |          
