2s2.2p              | 2P*    | 1/2 |                   0     |    L11297
                    |        | 3/2 |             (623100)    |    L11297
                    |        |     |                         |           
2s.2p2              | 4P     | 1/2 |             (759800)    |    L11297
                    |        | 3/2 |            (1178000)    |    L11297
                    |        | 5/2 |            (1338600)    |    L11297
                    |        |     |                         |           
2s.2p2              | 2D     | 3/2 |            (1634900)    |    L11297
                    |        |     |                         |           
2s.2p2              | 2P     | 1/2 |            (1700800)    |    L11297
                    |        |     |                         |           
2s.2p2              | 2D     | 5/2 |            (1968800)    |    L11297
                    |        |     |                         |           
2s.2p2              | 2S     | 1/2 |            (2359100)    |    L11297
                    |        |     |                         |           
2s.2p2              | 2P     | 3/2 |            (2375500)    |    L11297
                    |        |     |                         |           
2p3                 | 4S*    | 3/2 |            (2522400)    |    L11297
                    |        |     |                         |           
2p3                 | 2D*    | 3/2 |            (3009300)    |    L11297
                    |        | 5/2 |            (3122200)    |    L11297
                    |        |     |                         |           
2p3                 | 2P*    | 1/2 |            (3337000)    |    L11297
                    |        | 3/2 |            (3830400)    |    L11297
                    |        |     |                         |           
2s2.3s              | 2S     | 1/2 |           (19138500)    |    L17942
                    |        |     |                         |           
2s2.3p              | 2P*    | 1/2 |           (19434400)    |    L17942
                    |        | 3/2 |           (19596600)    |    L17942
