3p6.3d             | 2D     | 3/2 |                    0     |    L14793
                   |        | 5/2 |                8600.+d   |          
                   |        |     |                          |           
3p6.4f             | 2F*    | 7/2 |             2104600.+d   |          
                   |        | 5/2 |             2104600.     |          
