5d5.(4D).6s         | 5D       |   2 |              93598.55    |       L19450
                    |          |     |                          |              
5d5.(4G).6s         | 5G       |   3 |              93989.94    |       L19450
                    |          |   5 |              94035.18    |       L19450
                    |          |     |                          |              
5d5.(4D).6s         | 5D       |   1 |              94820.48    |       L19450
                    |          |   4 |              99397.70    |       L19450
                    |          |   3 |             100857.09    |       L19450
                    |          |     |                          |              
5d5.6s              | 103077   |   2 |             103077.94    |       L19450
                    |          |     |                          |              
5d5.6s              | 103914   |   5 |             103914.20    |       L19450
                    |          |     |                          |              
5d5.(4G).6s         | 3G       |   3 |             105305.65    |       L19450
                    |          |   4 |             106085.51    |       L19450
                    |          |     |                          |              
5d5.6s              | 106378   |   2 |             106378.82    |       L19450
                    |          |     |                          |              
5d5.6s              | 107912   |   1 |             107912.05    |       L19450
                    |          |     |                          |              
5d5.(2I).6s         | 3I       |   6 |             109044.24    |       L19450
                    |          |     |                          |              
5d5.6s              | 109317   |   5 |             109317.92    |       L19450
                    |          |     |                          |              
5d5.(4F).6s         | 5F       |   4 |             109903.81    |       L19450
                    |          |   3 |             110351.25    |       L19450
                    |          |   2 |             111666.90    |       L19450
                    |          |     |                          |              
5d5.(2I).6s         | 3I       |   7 |             112490.38    |       L19450
                    |          |     |                          |              
5d5.(4D).6s         | 3D       |   3 |             112744.59    |       L19450
                    |          |     |                          |              
5d5.(4G).6s         | 3G       |   5 |             113075.00    |       L19450
                    |          |     |                          |              
5d5.6s              | 116050   |   3 |             116050.36    |       L19450
                    |          |     |                          |              
5d5.6s              | 116194   |   4 |             116194.78    |       L19450
                    |          |     |                          |              
5d5.(2I).6s         | 1I       |   6 |             117739.95    |       L19450
                    |          |     |                          |              
5d5.6s              | 119186   |   5 |             119186.22    |       L19450
                    |          |     |                          |              
5d5.(2G2).6s        | 3G       |   3 |             120481.03    |       L19450
                    |          |     |                          |              
5d5.6s              | 121973   |   4 |             121973.40    |       L19450
                    |          |     |                          |              
5d5.(2H).6s         | 3H       |   4 |             122714.67    |       L19450
                    |          |     |                          |              
5d5.(2F2).6s        | 3F       |   3 |             123115.74    |       L19450
                    |          |     |                          |              
5d5.(2F2).6s        | 1F       |   3 |             125619.13    |       L19450
                    |          |     |                          |              
5d5.(2F1).6s        | 3F       |   4 |             126454.90    |       L19450
                    |          |     |                          |              
5d5.6s              | 129016   |   4 |             129016.74    |       L19450
                    |          |     |                          |              
5d5.(2H).6s         | 3H       |   5 |             129515.50    |       L19450
                    |          |   6 |             131075.86    |       L19450
                    |          |     |                          |              
5d5.(4F).6s         | 3F       |   3 |             133748.14    |       L19450
                    |          |     |                          |              
5d5.(2H).6s         | 1H       |   5 |             135507.68    |       L19450
                    |          |     |                          |              
5d5.(4F).6s         | 3F       |   4 |             135601.93    |       L19450
                    |          |     |                          |              
