2s2.2p              | 2P*    | 1/2 |              0.00    |    L13237
2s.2p.(3P*).4d      | 2P*    | 3/2 |        1473810?      |          
                    |        | 1/2 |        1474530?      |          
                    |        |     |                      |           
2s2.6d              | 2D     | 5/2 |        1529460       |          
                    |        | 3/2 |        1529460       |          
                    |        |     |                      |           
2s.2p.(1P*).4s      | 2P*    | 1/2 |        1538950?      |          
                    |        | 3/2 |        1538950?      |          
                    |        |     |                      |           
2s.2p.(1P*).4p      | 2D     | 3/2 |        1561890?      |          
                    |        | 5/2 |        1561890?      |          
                    |        |     |                      |           
2s2.7d              | 2D     | 5/2 |        1570080       |          
                    |        | 3/2 |        1570080       |          
                    |        |     |                      |           
2s.2p.(1P*).4d      | 2F*    | 5/2 |        1577810?      |          
                    |        | 7/2 |        1577810?      |          
                    |        |     |                      |           
2s.2p.(3P*).5p      | 2P     | 3/2 |        1578350       |          
                    |        | 1/2 |        1578350       |          
                    |        |     |                      |           
2s.2p.(3P*).5p      | 2D     | 3/2 |        1583740       |          
                    |        | 5/2 |        1583740       |          
                    |        |     |                      |           
2s.2p.(3P*).5d      | 4D*    | 1/2 |        1589290       |          
                    |        | 3/2 |        1589290       |          
                    |        | 5/2 |        1589290       |          
                    |        | 7/2 |        1589290       |          
                    |        |     |                      |           
2s.2p.(3P*).5d      | 4P*    | 5/2 |        1590070       |          
                    |        | 3/2 |        1590070       |          
                    |        | 1/2 |        1590070       |          
                    |        |     |                      |           
2s.2p.(3P*).5d      | 2F*    | 5/2 |        1592820       |          
                    |        | 7/2 |        1593920       |          
                    |        |     |                      |           
2s2.8d              | 2D     | 3/2 |        1596400       |          
                    |        | 5/2 |        1596400       |          
                    |        |     |                      |           
2p2.(3P).4p         | 4D*    | 7/2 |        1646130       |          
                    |        | 5/2 |        1646130       |          
                    |        | 3/2 |        1646130       |          
                    |        |     |                      |           
2s.2p.(3P*).6d      | 4D*    | 1/2 |        1657540       |          
                    |        | 3/2 |        1657540       |          
                    |        | 5/2 |        1657540       |          
                    |        | 7/2 |        1657540       |          
                    |        |     |                      |           
2p2.(3P).4d         | 4P     | 5/2 |        1668340?      |          
                    |        | 3/2 |        1668940?      |          
