1s2.2s2             | 1S     |   0 |                   0     |     L7185
                    |        |     |                         |           
1s2.2s.2p           | 3P*    |   0 |              363130     |          
                    |        |   1 |              398720     |          
                    |        |   2 |              509210     |          
                    |        |     |                         |           
1s2.2s.2p           | 1P*    |   1 |              799040     |          
                    |        |     |                         |           
1s2.2p2             | 3P     |   0 |             1002040     |          
                    |        |   1 |             1089190     |          
                    |        |   2 |             1138140     |          
                    |        |     |                         |           
1s2.2p2             | 1D     |   2 |             1289000     |          
                    |        |     |                         |           
1s2.2p2             | 1S     |   0 |             1514350     |          
                    |        |     |                         |           
1s2.2s.3s           | 3S     |   1 |             9653000     |          
                    |        |     |                         |           
1s2.2s.3p           | 3P*    |   1 |             9886000     |          
                    |        |     |                         |           
1s2.2s.3d           | 3D     |   1 |             9965000     |          
                    |        |   2 |             9971000     |          
                    |        |   3 |             9986000     |          
                    |        |     |                         |           
1s2.2s.3d           | 1D     |   2 |            10058000     |          
                    |        |     |                         |           
1s2.2p.3s           | 3P*    |   0 |            10065000     |          
                    |        |     |                         |           
1s2.2p.3p           | 3D     |   1 |            10245000     |          
                    |        |     |                         |           
1s2.2p.3s           | 1P*    |   1 |            10264000     |          
                    |        |     |                         |           
1s2.2p.3p           | 1P     |   1 |            10320000     |          
                    |        |     |                         |           
1s2.2p.3p           | 3P     |   0 |            10333000     |          
                    |        |     |                         |           
1s2.2p.3p           | 3D     |   2 |            10333000     |          
                    |        |     |                         |           
1s2.2p.3p           | 3P     |   2 |            10425000     |          
                    |        |   1 |            10425000     |          
                    |        |     |                         |           
1s2.2p.3d           | 3D*    |   2 |            10430000     |          
                    |        |     |                         |           
1s2.2p.3p           | 3D     |   3 |            10444000     |          
                    |        |     |                         |           
1s2.2p.3d           | 3D*    |   1 |            10449000     |          
                    |        |     |                         |           
1s2.2p.3p           | 3S     |   1 |            10456000     |          
                    |        |     |                         |           
1s2.2p.3d           | 1D*    |   2 |            10539000     |          
                    |        |     |                         |           
1s2.2p.3p           | 1D     |   2 |            10541000     |          
                    |        |     |                         |           
1s2.2p.3d           | 3P*    |   0 |            10578000     |          
                    |        |   2 |            10578000     |          
                    |        |   1 |            10578000     |          
                    |        |     |                         |           
1s2.2s.3s           | 1S     |   0 |            10620000?    |          
                    |        |     |                         |           
1s2.2p.3d           | 1F*    |   3 |            10658000     |          
                    |        |     |                         |           
1s2.2p.3d           | 1P*    |   1 |            10661000     |          
