3s2.3p           | 2P*    | 1/2 |                  0.0    |     L7185
                 |        | 3/2 |               5761.1    |          
                 |        |     |                         |           
3s.3p2           | 4P     | 1/2 |             143500+x    |          
                 |        | 3/2 |             145622+x    |          
                 |        | 5/2 |             148779+x    |          
                 |        |     |                         |           
3s.3p2           | 2D     | 3/2 |             191609.3    |          
                 |        | 5/2 |             191987.1    |          
                 |        |     |                         |           
3s.3p2           | 2S     | 1/2 |             240361.4    |          
                 |        |     |                         |           
3s.3p2           | 2P     | 1/2 |             255829.4    |          
                 |        | 3/2 |             259153.7    |          
                 |        |     |                         |           
3s2.3d           | 2D     | 3/2 |             313860      |          
                 |        | 5/2 |             314214      |          
                 |        |     |                         |           
3p3              | 4S*    | 3/2 |             383047+x    |          
                 |        |     |                         |           
3s2.4s           | 2S     | 1/2 |             666259      |          
                 |        |     |                         |           
3s.3p.(3P*).4s   | 4P*    | 1/2 |             822056+x    |          
                 |        | 3/2 |             823985+x    |          
                 |        | 5/2 |             827620+x    |          
                 |        |     |                         |           
3s2.4d           | 2D     | 3/2 |             837212      |          
                 |        | 5/2 |             837459      |          
                 |        |     |                         |           
3s2.4f           | 2F*    | 5/2 |             889330      |          
                 |        | 7/2 |             889384      |          
                 |        |     |                         |           
3s2.5s           | 2S     | 1/2 |             979930      |          
                 |        |     |                         |           
3s2.5d           | 2D     | 3/2 |            1070740      |          
                 |        | 5/2 |            1070850      |          
                 |        |     |                         |           
3s2.5f           | 2F*    | 5/2 |            1095200      |          
                 |        | 7/2 |            1095250      |          
