3s2.3p3          | 4S*    | 3/2 |                 0.0    |     L7185
                 |        |     |                        |           
3s2.3p3          | 2D*    | 3/2 |             24012.5    |     L7185
                 |        | 5/2 |             24249.6    |     L7185
                 |        |     |                        |           
3s2.3p3          | 2P*    | 1/2 |             39758.1    |     L7185
                 |        | 3/2 |             40080.2    |     L7185
                 |        |     |                        |           
3s.3p4           | 4P     | 5/2 |            136636.5    |     L7185
                 |        | 3/2 |            138037.5    |     L7185
                 |        | 1/2 |            138804.1    |     L7185
                 |        |     |                        |           
3s.3p4           | 2D     | 3/2 |            169579.5    |     L7185
                 |        | 5/2 |            169705.8    |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).3d  | 2P     | 3/2 |            194805.1    |     L7185
                 |        | 1/2 |            196331.2    |     L7185
                 |        |     |                        |           
3s.3p4           | 2S     | 1/2 |            205799.9    |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).3d  | 4F     | 3/2 |            206720      |     L7185
                 |        | 5/2 |            207165      |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).3d  | 4D     | 5/2 |            222366      |     L7185
                 |        | 3/2 |            222711      |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).3d  | 4P     | 5/2 |            257865      |     L7185
                 |        |     |                        |           
3s.3p4           | 2P     | 3/2 |            259218      |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).3d  | 4P     | 3/2 |            259276      |     L7185
                 |        | 1/2 |            259726      |     L7185
                 |        |     |                        |           
3s.3p4           | 2P     | 1/2 |            260882      |     L7185
                 |        |     |                        |           
3s2.3p2.(1D).3d  | 2D     | 5/2 |            280585      |     L7185
                 |        | 3/2 |            281035      |     L7185
                 |        |     |                        |           
3s2.3p2.(1D).3d  | 2P     | 3/2 |            290236      |     L7185
                 |        | 1/2 |            290784      |     L7185
                 |        |     |                        |           
3s2.3p2.(1D).3d  | 2F     | 5/2 |            292497      |     L7185
                 |        | 7/2 |            292960      |     L7185
                 |        |     |                        |           
3s2.3p2.(1D).3d  | 2S     | 1/2 |            292987      |     L7185
                 |        |     |                        |           
3s2.3p2.(1S).3d  | 2D     | 5/2 |            303850      |     L7185
                 |        | 3/2 |            304476      |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).4s  | 4P     | 1/2 |            336628      |     L7185
                 |        | 3/2 |            337645      |     L7185
                 |        | 5/2 |            339172      |     L7185
                 |        |     |                        |           
3s2.3p2.(3P).4s  | 2P     | 1/2 |            343740      |     L7185
                 |        | 3/2 |            345540      |     L7185
                 |        |     |                        |           
3s2.3p2.(1D).4s  | 2D     | 5/2 |            357012      |     L7185
                 |        | 3/2 |            357050      |     L7185
                 |        |     |                        |           
3s2.3p2.(1S).4s  | 2S     | 1/2 |            380994      |     L7185
