3p6.3d9          | 2D     |  5/2 |               0.0    |       L9171
3p6.3d8.(3F).4d  |        |  7/2 |          308414.1    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 4F     |  7/2 |          308849.6    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 4P     |  1/2 |          308898.5    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  |        |  9/2 |          308900.6    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 4H     |  7/2 |          309693.8    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 4G     |  5/2 |          309885.1    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 4F     |  3/2 |          309954.2    |            
                 |        |  5/2 |          310015.2    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 2H     |  9/2 |          310043.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 2G     |  7/2 |          311238.4    |            
                 |        |      |                      |             
3p6.3d8.(3F).4d  | 2D     |  5/2 |          315493.7    |            
                 |        |  3/2 |          315620.0    |            
                 |        |      |                      |             
3p6.3d8.(1D).4d  | 2F     |  7/2 |          323254.0    |            
                 |        |  5/2 |          323391.6    |            
                 |        |      |                      |             
3p6.3d8.(1D).4d  | 2G     |  7/2 |          324494.4    |            
                 |        |  9/2 |          324573.0    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 2D     |  3/2 |          324602.8    |            
                 |        |      |                      |             
3p6.3d8.(1D).4d  | 2P     |  3/2 |          324863.9    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 4D     |  5/2 |          325725.4    |            
                 |        |  7/2 |          326645.9    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 2D     |  5/2 |          327127.1    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 4F     |  9/2 |          329046.4    |            
                 |        |  7/2 |          329074.0    |            
                 |        |  5/2 |          329395.4    |            
                 |        |  3/2 |          329509.3    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 2F     |  7/2 |          329571.0    |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2D     |  5/2 |          329640.0    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 2F     |  5/2 |          330440.4    |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2D     |  3/2 |          330870.4    |            
                 |        |      |                      |             
3p6.3d8.(3P).4d  | 2P     |  3/2 |          331911.0    |            
                 |        |  1/2 |          332029.7    |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2I     | 11/2 |          334378.7    |            
                 |        | 13/2 |          334554.1    |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2F     |  7/2 |          336479.6    |            
                 |        |  5/2 |          336796.6    |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2H     |  9/2 |          338145.2    |            
                 |        | 11/2 |          338464.9    |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2G     |  9/2 |          338519.2    |            
                 |        |  7/2 |          338535.0    |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4G*    |  9/2 |          342528      |            
                 |        | 11/2 |          342778      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4D*    |  5/2 |          343440      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4F*    |  9/2 |          343533      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | *      |  7/2 |          343849      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4G*    |  7/2 |          345069      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4D*    |  3/2 |          345223      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 2D*    |  5/2 |          345534      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | *      |  5/2 |          345745      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4F*    |  7/2 |          346180      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4G*    |  5/2 |          346549      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 4F*    |  3/2 |          347059      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 2G*    |  7/2 |          347447      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 2D*    |  3/2 |          347881      |            
                 |        |      |                      |             
3p6.3d8.(3F).5p  | 2F*    |  5/2 |          348150      |            
                 |        |      |                      |             
3p6.3d8.(1G).4d  | 2D     |  5/2 |          353124.1    |            
                 |        |  3/2 |          354624.3    |            
                 |        |      |                      |             
3p6.3d8.(1D).5p  | 2D*    |  5/2 |          360607      |            
                 |        |  3/2 |          360666      |            
                 |        |      |                      |             
3p6.3d8.(1D).5p  | 2F*    |  5/2 |          361447      |            
                 |        |  7/2 |          361708      |            
                 |        |      |                      |             
3p6.3d8.(1D).5p  | 2P*    |  3/2 |          362192      |            
                 |        |      |                      |             
3p6.3d8.(3P).5p  | 4P*    |  5/2 |          364267      |            
                 |        |  3/2 |          364401      |            
                 |        |      |                      |             
3p6.3d8.(3P).5p  | 4D*    |  5/2 |          365687      |            
                 |        |  3/2 |          365768      |            
                 |        |      |                      |             
3p6.3d8.(3P).5p  | 2P*    |  3/2 |          366242      |            
                 |        |      |                      |             
3p6.3d8.(3P).5p  | 2D*    |  5/2 |          366621      |            
                 |        |  3/2 |          367310      |            
                 |        |      |                      |             
3p6.3d8.(3P).5p  | 2P*    |  1/2 |          367344      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 4D*    |  7/2 |          369151      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2S*    |  1/2 |          369187      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2P*    |  3/2 |          369511      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2F*    |  7/2 |          369700      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2D*    |  5/2 |          369726      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 4P*    |  1/2 |          371675      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  3/2 |          371736      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  5/2 |          371803      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  7/2 |          371803      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  3/2 |          371893      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  7/2 |          372012      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  5/2 |          372064      |            
                 |        |      |                      |             
3p6.3d8.(1G).5p  | 2H*    |  9/2 |          372486      |            
                 |        |      |                      |             
3p6.3d8.(1G).5p  | 2F*    |  7/2 |          372610      |            
                 |        |      |                      |             
