1s              | 2S     |  1/2 |                       0         |       L7188
                |        |      |                                 |             
2p              | 2P*    |  1/2 |              (120906800)        |       L7188
                |        |      |                                 |             
2s              | 2S     |  1/2 |              (120923570)        |       L7188
                |        |      |                                 |             
2p              | 2P*    |  3/2 |              (121708454)        |       L7188
                |        |      |                                 |             
3p              | 2P*    |  1/2 |              (143556270)        | L3620,L7188
                |        |      |                                 |             
3s              | 2S     |  1/2 |              (143561700)        | L3620,L7188
                |        |      |                                 |             
3d              | 2D     |  3/2 |             (143793680.)        | L3620,L7188
                |        |      |                                 |             
3p              | 2P*    |  3/2 |              (143794110)        | L3620,L7188
                |        |      |                                 |             
3d              | 2D     |  5/2 |             (143870083.)        | L3620,L7188
                |        |      |                                 |             
4p              | 2P*    |  1/2 |              (151450550)        | L3620,L7188
                |        |      |                                 |             
4s              | 2S     |  1/2 |              (151452830)        | L3620,L7188
                |        |      |                                 |             
4d              | 2D     |  3/2 |             (151550532.)        | L3620,L7188
                |        |      |                                 |             
4p              | 2P*    |  3/2 |              (151550720)        | L3620,L7188
                |        |      |                                 |             
4f              | 2F*    |  5/2 |              (151582759.6)      | L3620,L7188
                |        |      |                                 |             
4d              | 2D     |  5/2 |             (151582816.)        | L3620,L7188
                |        |      |                                 |             
4f              | 2F*    |  7/2 |              (151598759.2)      | L3620,L7188
                |        |      |                                 |             
5p              | 2P*    |  1/2 |              (155090450)        | L3620,L7188
                |        |      |                                 |             
5s              | 2S     |  1/2 |              (155091620)        | L3620,L7188
                |        |      |                                 |             
5d              | 2D     |  3/2 |             (155141547.)        | L3620,L7188
                |        |      |                                 |             
5p              | 2P*    |  3/2 |              (155141640)        | L3620,L7188
                |        |      |                                 |             
5f              | 2F*    |  5/2 |              (155158050.5)      | L3620,L7188
                |        |      |                                 |             
5d              | 2D     |  5/2 |             (155158080.)        | L3620,L7188
                |        |      |                                 |             
5g              | 2G     |  7/2 |              (155166234.6)      | L3620,L7188
                |        |      |                                 |             
5f              | 2F*    |  7/2 |              (155166249.7)      | L3620,L7188
                |        |      |                                 |             
5g              | 2G     |  9/2 |              (155171136.8)      | L3620,L7188
                |        |      |                                 |             
6p              | 2P*    |  1/2 |              (157061861)        | L3620,L7188
                |        |      |                                 |             
6s              | 2S     |  1/2 |              (157062531)        | L3620,L7188
                |        |      |                                 |             
6h              | 2H*    | 11/2 |              (157110391.58)     | L3620,L7188
                |        |      |                                 |             
7p              | 2P*    |  1/2 |              (158247875)        | L3620,L7188
                |        |      |                                 |             
7s              | 2S     |  1/2 |             (158248300.)        | L3620,L7188
                |        |      |                                 |             
7i              | 2I     | 13/2 |              (158279260.58)     | L3620,L7188
                |        |      |                                 |             
8p              | 2P*    |  1/2 |             (159016287.)        | L3620,L7188
                |        |      |                                 |             
8s              | 2S     |  1/2 |             (159016571.)        | L3620,L7188
                |        |      |                                 |             
8k              | 2K*    | 15/2 |              (159037724.285)    | L3620,L7188
                |        |      |                                 |             
9p              | 2P*    |  1/2 |             (159542364.)        | L3620,L7188
                |        |      |                                 |             
9s              | 2S     |  1/2 |             (159542563.)        | L3620,L7188
                |        |      |                                 |             
9l              | 2L     | 17/2 |              (159557643.916)    | L3620,L7188
                |        |      |                                 |             
10p             | 2P*    |  1/2 |             (159918230.)        | L3620,L7188
                |        |      |                                 |             
10s             | 2S     |  1/2 |             (159918375.)        | L3620,L7188
                |        |      |                                 |             
10m             | 2M*    | 19/2 |              (159929499.164)    | L3620,L7188
                |        |      |                                 |             
11p             | 2P*    |  1/2 |             (160196062.)        | L3620,L7188
                |        |      |                                 |             
11s             | 2S     |  1/2 |             (160196171.)        | L3620,L7188
                |        |      |                                 |             
11n             | 2N     | 21/2 |              (160204608.4111)   | L3620,L7188
                |        |      |                                 |             
12p             | 2P*    |  1/2 |             (160407205.)        | L3620,L7188
                |        |      |                                 |             
12s             | 2S     |  1/2 |             (160407289.)        | L3620,L7188
                |        |      |                                 |             
12o             | 2O*    | 23/2 |              (160413839.2682)   | L3620,L7188
                |        |      |                                 |             
13p             | 2P*    |  1/2 |             (160571411.)        | L3620,L7188
                |        |      |                                 |             
13s             | 2S     |  1/2 |             (160571477.)        | L3620,L7188
                |        |      |                                 |             
13q             | 2Q     | 25/2 |              (160576662.7286)   | L3620,L7188
