3p6.3d.6f           | 3D*    |   3 |          660007      |          
                    |        |     |                      |           
3p6.3d.6f           | 1F*    |   3 |          660522      |          
                    |        |     |                      |           
3p6.3d.6f           | 1H*    |   5 |          661233      |          
                    |        |     |                      |           
3p6.3d.6f           | 1P*    |   1 |          661258      |          
                    |        |     |                      |           
3p6.3d.7f           | 3F*    |   2 |          688212      |          
                    |        |   3 |          688438      |          
                    |        |     |                      |           
3p6.3d.7f           | 1D*    |   2 |          688844      |          
                    |        |     |                      |           
3p6.3d.7f           | 3G*    |   3 |          688846      |          
                    |        |     |                      |           
3p6.3d.7f           | 3F*    |   4 |          689181      |          
                    |        |     |                      |           
3p6.3d.7f           | 3D*    |   1 |          689333      |          
                    |        |   3 |          689778      |          
                    |        |     |                      |           
3p6.3d.7f           | 3G*    |   4 |          689844      |          
                    |        |     |                      |           
3p6.3d.7f           | 3D*    |   2 |          689892      |          
                    |        |     |                      |           
3p6.3d.7f           | 3G*    |   5 |          689995      |          
                    |        |     |                      |           
3p6.3d.7f           | 1H*    |   5 |          690741      |          
                    |        |     |                      |           
3p6.3d.8f           | 3G*    |   3 |          708250      |          
                    |        |   4 |          709370      |          
                    |        |   5 |          709500      |          
                    |        |     |                      |           
3p6.3d.8f           | 1H*    |   5 |          709890      |          
