2s2.2p               | 2P*    | 1/2 |                   0     |    L11926
                     |        |     |                         |           
2s.2p2               | 4P     | 1/2 |              894050     |          
                     |        |     |                         |           
2s2.2p               | 2P*    | 3/2 |              964360     |          
                     |        |     |                         |           
2s.2p2               | 4P     | 5/2 |             1790130     |          
                     |        |     |                         |           
2s.2p2               | 2D     | 3/2 |             2102900     |          
                     |        |     |                         |           
2s.2p2               | 2S     | 1/2 |             2147300     |          
                     |        |     |                         |           
2s.2p2               | 2P     | 1/2 |             3164770     |          
                     |        | 3/2 |             3171300     |          
