4s2.4p2                   | 3P          |   0 |                0     |    L10384
                          |             |   1 |             6845     |    L10384
                          |             |   2 |            12545     |    L10384
                          |             |     |                      |           
4s2.4p2                   | 1D          |   2 |            28490     |    L10384
                          |             |     |                      |           
4s2.4p2                   | 1S          |   0 |            51814     |    L10384
                          |             |     |                      |           
