3p6.3d7          | 4F     |  9/2 |                 0.0    |      L7185
                 |        |  7/2 |              1189.7    |           
                 |        |  5/2 |              2042.5    |           
                 |        |  3/2 |              2621.1    |           
                 |        |      |                        |            
3p6.3d7          | 4P     |  5/2 |             18118.6    |           
                 |        |  3/2 |             18366.8    |           
                 |        |  1/2 |             18958.4    |           
                 |        |      |                        |            
3p6.3d7          | 2G     |  9/2 |             19829.6    |           
                 |        |  7/2 |             20947.6    |           
                 |        |      |                        |            
3p6.3d7          | 2P     |  3/2 |             23648.9    |           
                 |        |  1/2 |             24651.4    |           
                 |        |      |                        |            
3p6.3d7          | 2H     | 11/2 |             26649.1    |           
                 |        |      |                        |            
3p6.3d7          | 2D2    |  5/2 |             27096.5    |           
                 |        |      |                        |            
3p6.3d7          | 2H     |  9/2 |             27677.6    |           
                 |        |      |                        |            
3p6.3d7          | 2D2    |  3/2 |             28777.7    |           
                 |        |      |                        |            
3p6.3d7          | 2F     |  5/2 |             43437.5    |           
                 |        |  7/2 |             43858.6    |           
                 |        |      |                        |            
3p6.3d7          | 2D1    |  3/2 |             67360.0    |           
                 |        |  5/2 |             67989.8    |           
                 |        |      |                        |            
3d6.(5D).4s      | 6D     |  9/2 |            110410.6    |           
                 |        |  7/2 |            111195.8    |           
                 |        |  5/2 |            111763.3    |           
                 |        |  3/2 |            112151.9    |           
                 |        |  1/2 |            112379.3    |           
                 |        |      |                        |            
3d6.(5D).4s      | 4D     |  7/2 |            120909.5    |           
                 |        |  5/2 |            121807.7    |           
                 |        |  3/2 |            122386.1    |           
                 |        |  1/2 |            122717.4    |           
                 |        |      |                        |            
3d6.(3P2).4s     | 4P     |  5/2 |            138446.2    |           
                 |        |      |                        |            
3d6.(3H).4s      | 4H     | 13/2 |            139289.4    |           
                 |        | 11/2 |            139619.2    |           
                 |        |  9/2 |            139886.7    |           
                 |        |  7/2 |            140140.9    |           
                 |        |      |                        |            
3d6.(3P2).4s     | 4P     |  3/2 |            140343.0    |           
                 |        |      |                        |            
3d6.(3F2).4s     | 4F     |  9/2 |            141220.3    |           
                 |        |      |                        |            
3d6.(3P2).4s     | 4P     |  1/2 |            141561.2    |           
                 |        |      |                        |            
3d6.(3F2).4s     | 4F     |  7/2 |            141577.2    |           
                 |        |  5/2 |            141832.0    |           
                 |        |  3/2 |            142023.5    |           
                 |        |      |                        |            
3d6.(3G).4s      | 4G     | 11/2 |            144815.1    |           
                 |        |      |                        |            
3d6.(3P2).4s     | 2P     |  3/2 |            145192.1    |           
                 |        |      |                        |            
3d6.(3G).4s      | 4G     |  9/2 |            145702.2    |           
                 |        |      |                        |            
3d6.(3H).4s      | 2H     | 11/2 |            145962.5    |           
                 |        |      |                        |            
3d6.(3G).4s      | 4G     |  7/2 |            146061.5    |           
                 |        |  5/2 |            146153.8    |           
                 |        |      |                        |            
3d6.(3H).4s      | 2H     |  9/2 |            146194.3    |           
                 |        |      |                        |            
3d6.(3F2).4s     | 2F     |  7/2 |            147635.9    |           
                 |        |  5/2 |            148358.2    |           
                 |        |      |                        |            
3d6.(3G).4s      | 2G     |  9/2 |            151574.7    |           
                 |        |  7/2 |            152343.7    |           
                 |        |      |                        |            
3d6.(3D).4s      | 4D     |  3/2 |            153313.8    |           
                 |        |  5/2 |            153338.8    |           
                 |        |  1/2 |            153349.4    |           
                 |        |  7/2 |            153533.6    |           
                 |        |      |                        |            
3d6.(1I).4s      | 2I     | 13/2 |            155253.7    |           
                 |        | 11/2 |            155308.7    |           
                 |        |      |                        |            
3d6.(1G2).4s     | 2G     |  9/2 |            156294.0    |           
                 |        |  7/2 |            156351.2    |           
                 |        |      |                        |            
3d6.(3D).4s      | 2D     |  3/2 |            159498.5    |           
                 |        |  5/2 |            159818.4    |           
                 |        |      |                        |            
3d6.(1F).4s      | 2F     |  7/2 |            171406.0    |           
                 |        |  5/2 |            171408.0    |           
                 |        |      |                        |            
3d6.(5D).4p      | 6D*    |  9/2 |            175569.5    |           
                 |        |  7/2 |            175869.1    |           
                 |        |  5/2 |            176247.1    |           
                 |        |  3/2 |            176554.4    |           
                 |        |  1/2 |            176749.0    |           
                 |        |      |                        |            
3d6.(3F1).4s     | 4F     |  3/2 |            179583.0    |           
                 |        |  9/2 |            179655.0    |           
                 |        |  5/2 |            179724.0    |           
                 |        |  7/2 |            179792.0    |           
                 |        |      |                        |            
3d6.(5D).4p      | 6F*    | 11/2 |            181931.5    |           
                 |        |  9/2 |            182044.9    |           
                 |        |  7/2 |            182125.6    |           
                 |        |  5/2 |            182206.8    |           
                 |        |  3/2 |            182259.9    |           
                 |        |  1/2 |            182288.4    |           
                 |        |      |                        |            
3d6.(5D).4p      | 6P*    |  7/2 |            184099.1    |           
                 |        |  5/2 |            185505.3    |           
                 |        |      |                        |            
3d6.(5D).4p      | 4D*    |  7/2 |            185890.0    |           
                 |        |      |                        |            
3d6.(3F1).4s     | 2F     |  7/2 |            185967.0    |           
                 |        |  5/2 |            185997.0    |           
                 |        |      |                        |            
3d6.(5D).4p      | 6P*    |  3/2 |            186441.4    |           
                 |        |      |                        |            
3d6.(5D).4p      | 4F*    |  9/2 |            186470.1    |           
                 |        |      |                        |            
3d6.(5D).4p      | 4D*    |  5/2 |            186516.1    |           
                 |        |  3/2 |            186957.2    |           
                 |        |  1/2 |            187225.7    |           
                 |        |      |                        |            
3d6.(5D).4p      | 4F*    |  7/2 |            187570.3    |           
                 |        |  5/2 |            188320.1    |           
                 |        |  3/2 |            188824.2    |           
                 |        |      |                        |            
3d6.(5D).4p      | 4P*    |  5/2 |            190830.3    |           
                 |        |      |                        |            
3d6.(1G1).4s     | 2G     |  9/2 |            190864.7    |           
                 |        |  7/2 |            190932.8    |           
                 |        |      |                        |            
3d6.(5D).4p      | 4P*    |  3/2 |            191618.2    |           
                 |        |  1/2 |            192033.5    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 4S*    |  3/2 |            205114.1    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4G*    | 11/2 |            206005.3    |           
                 |        |  9/2 |            206340.9    |           
                 |        |      |                        |            
3d6.(3P2).4p     | *      |  5/2 |            206523.2    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4G*    |  7/2 |            206645.7    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4I*    | 11/2 |            206740.7    |           
                 |        | 13/2 |            206754.5    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4G*    |  5/2 |            206847.0    |           
                 |        |      |                        |            
3d6.(3H).4p      | *      |  9/2 |            206865.5    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4H*    |  7/2 |            207136.0    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 4P*    |  1/2 |            207846.2    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 2D*    |  5/2 |            208009.1    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4I*    |  9/2 |            208046.8    |           
                 |        | 15/2 |            208149.5    |           
                 |        |      |                        |            
3d6.(3P2).4p     | *      |  7/2 |            208330.7    |           
                 |        |      |                        |            
3d6.(3P2).4p     | *      |  3/2 |            208461.0    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4H*    | 11/2 |            208595.3    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4F*    |  5/2 |            208605.7    |           
                 |        |      |                        |            
3d6.(3H).4p      | 4H*    | 13/2 |            208631.3    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4F*    |  3/2 |            208766.9    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 4D*    |  7/2 |            208912.1    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4F*    |  9/2 |            208933.6    |           
                 |        |      |                        |            
3d6.(3H).4p      | *      |  9/2 |            209131.9    |           
                 |        |      |                        |            
3d6.(3H).4p      | *      |  7/2 |            209391.4    |           
                 |        |      |                        |            
3d6.(3P2).4p     | *      |  3/2 |            209985.1    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4D*    |  7/2 |            210121.8    |           
                 |        |      |                        |            
3d6.(3H).4p      | 2I*    | 13/2 |            210177.0    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 4D*    |  1/2 |            210313.3    |           
                 |        |      |                        |            
3d6.(3F2).4p     | *      |  5/2 |            210590.6    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4D*    |  5/2 |            210943.6    |           
                 |        |      |                        |            
3d6.(3H).4p      | 2I*    | 11/2 |            210987.5    |           
                 |        |      |                        |            
3d6.(3P2).4p     | *      |  3/2 |            211027.6    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4D*    |  3/2 |            211246.8    |           
                 |        |  1/2 |            211351.7    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 4G*    |  9/2 |            212150.9    |           
                 |        | 11/2 |            212207.0    |           
                 |        |      |                        |            
3d6.(3F2).4p     | *      |  5/2 |            212275.9    |           
                 |        |      |                        |            
3d6.(3F2).4p     | *      |  7/2 |            212281.8    |           
                 |        |      |                        |            
3d6.(3F2).4p     | *      |  7/2 |            213131.1    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4F*    |  9/2 |            213408.6    |           
                 |        |      |                        |            
3d6.(3H).4p      | *      |  5/2 |            213412.1    |           
                 |        |      |                        |            
3d6.(3G).4p      | *      | 11/2 |            213606.9    |           
                 |        |      |                        |            
3d6.(3P2).4p     | *      |  1/2 |            213640.2    |           
                 |        |      |                        |            
3d6.(3F2).4p     | *      |  9/2 |            213739.7    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 2P*    |  3/2 |            214055.8    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4G*    |  7/2 |            214101.0    |           
                 |        | 11/2 |            214316.8    |           
                 |        |      |                        |            
3d6.(3F2).4p     | *      |  9/2 |            214587.4    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 2G*    |  7/2 |            214622.8    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4G*    |  5/2 |            214718.1    |           
                 |        |  9/2 |            214910.5    |           
                 |        |      |                        |            
3d6.(3G).4p      | *      |  7/2 |            215292.9    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4H*    | 13/2 |            215506.6    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4F*    |  5/2 |            215516.8    |           
                 |        |      |                        |            
3d6.(3P2).4p     | 2S*    |  1/2 |            215531.0    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4F*    |  3/2 |            215541.3    |           
                 |        |      |                        |            
3d6.(3G).4p      | 4H*    | 11/2 |            215684.5    |           
                 |        |  7/2 |            215724.5    |           
                 |        |  9/2 |            215736.1    |           
                 |        |      |                        |            
3d6.(3F2).4p     | 2D*    |  5/2 |            217414.3    |           
                 |        |  3/2 |            217939.7    |           
                 |        |      |                        |            
3d6.(3H).4p      | 2H*    | 11/2 |            218860.6    |           
                 |        |      |                        |            
3d6.(3G).4p      | 2F*    |  5/2 |            219553.4    |           
                 |        |      |                        |            
3d6.(3G).4p      | 2H*    |  9/2 |            219765.0    |           
                 |        |      |                        |            
3d6.(3G).4p      | 2F*    |  7/2 |            219896.0    |           
                 |        |      |                        |            
3d6.(1I).4p      | 2K*    | 13/2 |            220762.6    |           
                 |        |      |                        |            
3d6.(3G).4p      | 2G*    |  9/2 |            221991.0    |           
                 |        |  7/2 |            222029.3    |           
                 |        |      |                        |            
3d6.(1I).4p      | 2K*    | 15/2 |            222202.8    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4P*    |  5/2 |            222333.3    |           
                 |        |  3/2 |            222662.9    |           
                 |        |      |                        |            
3d6.(1G2).4p     | 2H*    |  9/2 |            222705.5    |           
                 |        |      |                        |            
3d6.(1I).4p      | 2H*    | 11/2 |            222993.3    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4P*    |  1/2 |            223225.4    |           
                 |        |      |                        |            
3d6.(3D).4p      | *      |  1/2 |            223785.4    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4F*    |  5/2 |            224021.3    |           
                 |        |      |                        |            
3d6.(3D).4p      | *      |  7/2 |            224075.3    |           
                 |        |      |                        |            
3d6.(3D).4p      | *      |  3/2 |            224174.0    |           
                 |        |      |                        |            
3d6.(1G2).4p     | 2G*    |  7/2 |            224463.6    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4D*    |  5/2 |            224645.7    |           
                 |        |      |                        |            
3d6.(1G2).4p     | 2G*    |  9/2 |            224761.5    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4F*    |  7/2 |            224824.9    |           
                 |        |      |                        |            
3d6.(3D).4p      | 2P*    |  3/2 |            224936.9    |           
                 |        |  1/2 |            224996.5    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4F*    |  9/2 |            225096.4    |           
                 |        |      |                        |            
3d6.(3D).4p      | 4D*    |  7/2 |            225136.9    |           
                 |        |      |                        |            
3d6.(1G2).4p     | *      |  5/2 |            225431.6    |           
                 |        |      |                        |            
3d6.(1G2).4p     | 2H*    | 11/2 |            225758.5    |           
                 |        |      |                        |            
3d6.(1I).4p      | 2H*    |  9/2 |            225903.7    |           
                 |        |      |                        |            
3d6.(1I).4p      | 2I*    | 13/2 |            226685.0    |           
                 |        | 11/2 |            226702.5    |           
                 |        |      |                        |            
3d6.(3D).4p      | 2D*    |  3/2 |            227181.1    |           
                 |        |  5/2 |            227549.4    |           
                 |        |      |                        |            
3d6.(1D2).4p     | 2P*    |  3/2 |            228214.2    |           
                 |        |      |                        |            
