3p6.3d8             | 3F     |   4 |                 0      |      L9171
                    |        |   3 |              2466      |           
                    |        |   2 |              4036      |           
                    |        |     |                        |            
3p6.3d8             | 1D     |   2 |             18400      |           
                    |        |     |                        |            
3p6.3d8             | 3P     |   2 |             22663      |           
                    |        |   1 |             23107      |           
                    |        |   0 |             23510      |           
                    |        |     |                        |            
3p6.3d8             | 1G     |   4 |             30600      |           
                    |        |     |                        |            
3p6.3d8             | 1S     |   0 |             69904      |           
                    |        |     |                        |            
3p6.3d7.(4F).4s     | 5F     |   5 |            198961.7    |           
                    |        |   4 |            200644.0    |           
                    |        |   3 |            201972.7    |           
                    |        |   2 |            202929.1    |           
                    |        |   1 |            203548.2    |           
                    |        |     |                        |            
3p6.3d7.(4F).4s     | 3F     |   4 |            208715.1    |           
                    |        |   3 |            210972.5    |           
                    |        |   2 |            212471.4    |           
                    |        |     |                        |            
3p6.3d7.(4P).4s     | 5P     |   3 |            221631.3    |           
                    |        |   2 |            222042.1    |           
                    |        |   1 |            222939.9    |           
                    |        |     |                        |            
3p6.3d7.(2G).4s     | 3G     |   5 |            226333.9    |           
                    |        |   4 |            227195.3    |           
                    |        |   3 |            228335.1    |           
                    |        |     |                        |            
3p6.3d7.(2P).4s     | 3P     |   2 |            230434.6    |           
                    |        |     |                        |            
3p6.3d7.(4P).4s     | 3P     |   1 |            230614.2    |           
                    |        |     |                        |            
3p6.3d7.(2P).4s     | 3P     |   0 |            231121.8    |           
                    |        |     |                        |            
3p6.3d7.(2G).4s     | 1G     |   4 |            231830.8    |           
                    |        |     |                        |            
3p6.3d7.(4P).4s     | 3P     |   2 |            231996.9    |           
                    |        |     |                        |            
3p6.3d7.(2P).4s     | 3P     |   1 |            232945.9    |           
                    |        |     |                        |            
3p6.3d7.(4P).4s     | 3P     |   0 |            234581.5    |           
                    |        |     |                        |            
3p6.3d7.(2H).4s     | 3H     |   6 |            234846.0    |           
                    |        |     |                        |            
3p6.3d7.(2D2).4s    | 3D     |   3 |            235598.6    |           
                    |        |     |                        |            
3p6.3d7.(2H).4s     | 3H     |   5 |            235729.5    |           
