5d10                | 1S          |   0 |                 0.0    |    L13502
                    |             |     |                        |           
5d9.6s              | (5/2,1/2)   |   3 |            110770.2    |    L13502
                    |             |   2 |            114708.5    |    L13502
                    |             |     |                        |           
5d9.6s              | (3/2,1/2)   |   1 |            132714.8    |    L13502
                    |             |   2 |            136001.1    |    L13502
                    |             |     |                        |           
5d9.6p              | (5/2,1/2)*  |   2 |            194807.1    |    L13502
                    |             |   3 |            197135.0    |    L13502
                    |             |     |                        |           
5d9.6p              | (3/2,1/2)*  |   2 |            217071.6    |    L13502
                    |             |   1 |            219493.0    |    L13502
                    |             |     |                        |           
5d9.6p              | (5/2,3/2)*  |   4 |            221069.1    |    L13502
                    |             |   2 |            223912.1    |    L13502
                    |             |   3 |            226512.1    |    L13502
                    |             |   1 |            227840.0    |    L13502
                    |             |     |                        |           
5d9.6p              | (3/2,3/2)*  |   0 |            237664.2    |    L13502
                    |             |   3 |            244664.2    |    L13502
                    |             |   1 |            245279.8    |    L13502
                    |             |   2 |            247597.8    |    L13502
                    |             |     |                        |           
5d9.6d              | (5/2,3/2)   |   1 |            324441.5    |    L10932
                    |             |   4 |            327436.4    |    L10932
                    |             |   2 |            328238.5    |    L10932
                    |             |   3 |            329578.1    |    L10932
                    |             |     |                        |           
5d9.6d              | (5/2,5/2)   |   1 |            329758.3    |    L10932
                    |             |   5 |            329988.9    |    L10932
                    |             |   3 |            332201.9    |    L10932
                    |             |   2 |            332505.2    |    L10932
                    |             |   4 |            333217.9    |    L10932
                    |             |   0 |            337928.5    |    L10932
                    |             |     |                        |           
5d9.7s              | (5/2,1/2)   |   3 |            338445.4    |    L10932
                    |             |   2 |            339239.2    |    L10932
                    |             |     |                        |           
5d9.6d              | (3/2,3/2)   |   1 |            348976.2    |    L10932
                    |             |   3 |            349382.7    |    L10932
                    |             |     |                        |           
5d9.6d              | (3/2,5/2)   |   1 |            351648.4    |    L10932
                    |             |     |                        |           
5d9.6d              | (3/2,3/2)   |   2 |            352298.1    |    L10932
                    |             |     |                        |           
5d9.6d              | (3/2,5/2)   |   4 |            352957.1    |    L10932
                    |             |   2 |            353898.6    |    L10932
                    |             |   3 |            355081.7    |    L10932
                    |             |     |                        |           
5d9.7s              | (3/2,1/2)   |   1 |            360501.4    |    L10932
                    |             |   2 |            361079.2    |    L10932
                    |             |     |                        |           
