3p6.3d4<3/2>.3d4<5/2> | (0,4)       |   4 |                    0     |    L10057
                      |             |     |                          |           
3p6.3d4<3/2>.3d4<5/2> | (0,2)       |   2 |                46620     |    L10057
                      |             |     |                          |           
3p6.3d3<3/2>.3d5<5/2> | (3/2,5/2)   |   3 |               101720     |    L10057
                      |             |   2 |               145810     |    L10057
                      |             |   1 |               173640     |     L6463
                      |             |   4 |               183990     |    L10057
                      |             |     |                          |           
3p6.3d2<3/2>.3d6<5/2> | (2,0)       |   2 |               241330+x   |    L10057
                      |             |     |                          |           
3p5.3d9               | (3/2,5/2)*  |   4 |              1957520     |    L10057
                      |             |   2 |              1996510     |    L10057
                      |             |   3 |              2060790     |    L10057
                      |             |   1 |              2124970     |    L10057
                      |             |     |                          |           
3p5.3d9               | (3/2,3/2)*  |   2 |              2137340     |    L10057
                      |             |   3 |              2186370     |    L10057
                      |             |   1 |              2191850     |    L10057
                      |             |     |                          |           
3p5.3d9               | (1/2,5/2)*  |   2 |              2580960     |     L6463
                      |             |     |                          |           
3p5.3d9               | (1/2,3/2)*  |   2 |              2604840+x   |    L10057
                      |             |     |                          |           
3p5.3d9               | (1/2,5/2)*  |   3 |              2639150     |    L10057
