2p6.3s2             | 1S     |   0 |                 0     |     L7185
                    |        |     |                       |           
3s.3p               | 3P*    |   0 |            188311     |          
                    |        |   1 |            191509     |          
                    |        |   2 |            198737     |          
                    |        |     |                       |           
3s.3p               | 1P*    |   1 |            281627     |          
                    |        |     |                       |           
3p2                 | 1D     |   2 |            445775     |          
                    |        |     |                       |           
3p2                 | 3P     |   0 |            446265     |          
                    |        |   1 |            450927     |          
                    |        |   2 |            459478     |          
                    |        |     |                       |           
3p2                 | 1S     |   0 |            525745     |          
                    |        |     |                       |           
3s.3d               | 3D     |   1 |            544068     |          
                    |        |   2 |            544493     |          
                    |        |   3 |            545169     |          
                    |        |     |                       |           
3s.3d               | 1D     |   2 |            613354     |          
                    |        |     |                       |           
3p.3d               | 3F*    |   2 |            744314     |          
                    |        |   3 |            749216     |          
                    |        |   4 |            754909     |          
                    |        |     |                       |           
3p.3d               | 1D*    |   2 |            757015     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   2 |            788448     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   1 |            789199     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   0 |            795010     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   3 |            795356     |          
                    |        |     |                       |           
3p.3d               | 3P*    |   1 |            795499     |          
                    |        |     |                       |           
3p.3d               | 3D*    |   2 |            795927     |          
                    |        |     |                       |           
3p.3d               | 1F*    |   3 |            850871     |          
                    |        |     |                       |           
3p.3d               | 1P*    |   1 |            861555     |          
                    |        |     |                       |           
3d2                 | 3F     |   2 |           1097824     |          
                    |        |   3 |           1098514     |          
                    |        |   4 |           1099356     |          
                    |        |     |                       |           
3d2                 | 1D     |   2 |           1123022     |          
                    |        |     |                       |           
3d2                 | 1G     |   4 |           1124757     |          
                    |        |     |                       |           
3d2                 | 3P     |   0 |           1126208     |          
                    |        |   1 |           1126476     |          
                    |        |   2 |           1126966     |          
                    |        |     |                       |           
3s.4s               | 3S     |   1 |           1212500     |          
                    |        |     |                       |           
3s.4s               | 1S     |   0 |           1227300     |          
                    |        |     |                       |           
3s.4p               | 1P*    |   1 |           1310500     |          
                    |        |     |                       |           
3s.4d               | 3D     |   1 |           1424500     |          
                    |        |   2 |           1425000     |          
                    |        |   3 |           1425500     |          
                    |        |     |                       |           
3s.4d               | 1D     |   2 |           1426300     |          
                    |        |     |                       |           
3p.4s               | 3P*    |   0 |           1447200     |          
                    |        |   2 |           1458200     |          
                    |        |     |                       |           
3s.4f               | 3F*    |   3 |           1480600     |          
                    |        |   2 |           1480600     |          
                    |        |   4 |           1480800     |          
                    |        |     |                       |           
3s.4f               | 1F*    |   3 |           1492100     |          
                    |        |     |                       |           
3p.4p               | 3D     |   3 |           1544300     |          
                    |        |     |                       |           
3p.4p               | 3P     |   1 |           1545400     |          
                    |        |   2 |           1550600     |          
                    |        |     |                       |           
3p.4p               | 3S     |   1 |           1552600     |          
                    |        |     |                       |           
3p.4d               | 1F*    |   3 |           1640800     |          
                    |        |     |                       |           
3p.4d               | 3D*    |   2 |           1658000     |          
                    |        |   1 |           1658200     |          
                    |        |     |                       |           
3p.4d               | 3F*    |   3 |           1660100?    |          
                    |        |     |                       |           
3p.4d               | 3D*    |   3 |           1662400     |          
                    |        |     |                       |           
3p.4d               | 3P*    |   2 |           1678600     |          
                    |        |     |                       |           
3p.4f               | 3G     |   3 |           1700500     |          
                    |        |   4 |           1704700     |          
                    |        |     |                       |           
3p.4f               | 3F     |   3 |           1705000     |          
                    |        |     |                       |           
3p.4f               | 3G     |   5 |           1712300     |          
                    |        |     |                       |           
3p.4f               | 3F     |   4 |           1713400     |          
                    |        |     |                       |           
3s.5s               | 3S     |   1 |           1716900     |          
                    |        |     |                       |           
3p.4f               | 3D     |   3 |           1722700     |          
                    |        |   1 |           1727500     |          
                    |        |     |                       |           
3p.4f               | 1G     |   4 |           1732800     |          
                    |        |     |                       |           
3s.5p               | 1P*    |   1 |           1765100     |          
                    |        |     |                       |           
3s.5d               | 3D     |   1 |           1818300     |          
                    |        |   2 |           1818700     |          
                    |        |   3 |           1819000     |          
                    |        |     |                       |           
3s.5d               | 1D     |   2 |           1822000     |          
                    |        |     |                       |           
3s.5f               | 3F*    |   4 |           1844500     |          
                    |        |     |                       |           
3s.6s               | 3S     |   1 |           1967700     |          
                    |        |     |                       |           
3s.6p               | 1P*    |   1 |           1997800     |          
                    |        |     |                       |           
3s.6d               | 3D     |   2 |           2026600     |          
                    |        |   3 |           2026800     |          
                    |        |     |                       |           
3s.6f               | 3F*    |   4 |           2042000     |          
                    |        |     |                       |           
3s.7s               | 3S     |   1 |           2110200     |          
                    |        |     |                       |           
3s.7p               | 1P*    |   1 |           2131600     |          
                    |        |     |                       |           
3s.7d               | 3D     |   3 |           2151600     |          
                    |        |     |                       |           
3s.7f               | 3F*    |   4 |           2160100     |          
                    |        |     |                       |           
3s.8p               | 1P*    |   1 |           2218700     |          
                    |        |     |                       |           
3s.8d               | 3D     |   3 |           2230200     |          
                    |        |     |                       |           
3s.8f               | 3F*    |   4 |           2237400     |          
                    |        |     |                       |           
3s.9p               | 1P*    |   1 |           2271200     |          
                    |        |     |                       |           
3s.10p              | 1P*    |   1 |           2306400     |          
