                  |        |     5/2 |          24711.31    |  L4320,L4389
                  |        |         |                      |              
5d.6s.(3D).6p     | 4P*    |     5/2 |          25191.56    |        L4320
                  |        |         |                      |              
5d2.(3F).6s       | 2F     |     5/2 |          25860.78    |  L4320,L4389
                  |        |     7/2 |          26570.40    |  L4320,L4389
                  |        |         |                      |              
                  |        |     9/2 |          26671.32    |        L4320
                  |        |         |                      |              
5d2.(1G).6s       | 2G     |     9/2 |          27689.31    |  L4320,L4389
                  |        |     7/2 |          27991.61    |        L4320
                  |        |         |                      |              
5d.6s.(1D).6p     | 2F*    |     5/2 |          28020.11    |        L4320
                  |        |         |                      |              
5d2.(3P).6s       | 2P     |     1/2 |          28793.42    |  L4320,L4389
                  |        |         |                      |              
6s2.7p            | 2P*    |     1/2 |          29431.05    |        L4320
                  |        |         |                      |              
5d.6s.(1D).6p     | 2F*    |     7/2 |          29486.94    |        L3974
                  |        |         |                      |              
5d.6s.(1D).6p     | 2D*    |     3/2 |          29608.01    |        L4320
                  |        |         |                      |              
5d2.(3P).6s       | 2P     |     3/2 |          29937.90    |  L4320,L4389
                  |        |         |                      |              
5d.6s.(3D).6p     | 2F*    |     5/2 |          30183.55    |        L3974
                  |        |         |                      |              
6s2.7p            | 2P*    |     3/2 |          30488.62    |        L3974
                  |        |         |                      |              
5d2.(1S).6s       | 2S     |     1/2 |          30747.30    |  L4320,L4389
                  |        |         |                      |              
5d.6s.(1D).6p     | 2P*    |     3/2 |          31523.03    |        L4320
                  |        |         |                      |              
6s2.6d            | 2D     |     3/2 |          31542.24    |        L3974
                  |        |     5/2 |          31713.60    |        L3974
                  |        |         |                      |              
5d.6s.(3D).6p     | 2F*    |     7/2 |          31751.17    |        L3974
                  |        |         |                      |              
5d.6s.(3D).6p     | 2P*    |     1/2 |          32058.10    |        L4320
                  |        |         |                      |              
5d.6s.(1D).6p     | 2D*    |     5/2 |          32456.70    |        L4320
                  |        |         |                      |              
6s.6p2            | 4P     |     1/2 |          32986.62    |  L4320,L4389
                  |        |         |                      |              
5d.6s.(1D).6p     | 2P*    |     1/2 |          33443.10    |        L4320
                  |        |         |                      |              
6s.6p2            | 4P     |     3/2 |          33831.46    |  L4320,L4389
                  |        |         |                      |              
5d.6s.(3D).6p     | 2P*    |     3/2 |          34436.49    |        L3974
                  |        |         |                      |              
6s2.8s            | 2S     |     1/2 |          34610.52    |        L4320
                  |        |         |                      |              
6s.6p2            | 4P     |     5/2 |          35274.50    |  L3974,L4389
                  |        |         |                      |              
6s2.5f            | 2F*    |     5/2 |          36633.36    |        L4320
                  |        |     7/2 |          36644.12    |        L3974
                  |        |         |                      |              
6s2.7d            | 2D     |     3/2 |          36769.25    |        L4320
                  |        |         |                      |              
6s2.8p            | 2P*    |     1/2 |          36808.76    |        L3974
                  |        |         |                      |              
5d.6s.(3D).7s     | 4D     |     1/2 |          36899.72    |        L3974
                  |        |         |                      |              
6s2.7d            | 2D     |     5/2 |          36952.95    |        L4320
                  |        |         |                      |              
6s2.8p            | 2P*    |     3/2 |          37131.38    |        L3974
                  |        |         |                      |              
5d.6s.(3D).7s     | 4D     |     3/2 |          37193.98    |        L3974
                  |        |     5/2 |          37742.56    |        L3974
                  |        |         |                      |              
6s2.9s            | 2S     |     1/2 |          38458.36    |        L3974
                  |        |         |                      |              
5d.6s.(3D).7s     | 2D     |     3/2 |          38689.95    |        L4320
                  |        |         |                      |              
6s2.8d            | 2D     |     3/2 |          38828.77    |        L3974
                  |        |         |                      |              
6s2.6f            | 2F*    |     5/2 |          39212.61    |        L3974
                  |        |     7/2 |          39220.17    |        L3974
                  |        |         |                      |              
5d.6s.(3D).7s     | 4D     |     7/2 |          39279.48    |        L3974
                  |        |         |                      |              
6s2.9p            | 2P*    |     1/2 |          39321.67    |        L4320
                  |        |         |                      |              
6s2.5g            | 2G     | 7/2,9/2 |          39336.15    |        L4320
                  |        |         |                      |              
6s2.9p            | 2P*    |     3/2 |          39424.63    |        L4320
                  |        |         |                      |              
6s2.10s           | 2S     |     1/2 |          40282.01    |        L3974
                  |        |         |                      |              
5d2.(3F).6p       | 4G*    |     5/2 |          40558.92    |        L4320
                  |        |         |                      |              
6s2.7f            | 2F*    |     7/2 |          40619.01    |        L3974
                  |        |     5/2 |          40626.82    |        L3974
                  |        |         |                      |              
6s2.10p           | 2P*    |     1/2 |          40661.02    |        L3974
                  |        |     3/2 |          40735.33    |        L3974
                  |        |         |                      |              
6s2.9d            | 2D     |     3/2 |          40901.01    |        L3974
                  |        |         |                      |              
6s2.11s           | 2S     |     1/2 |          41120.27    |        L3974
                  |        |         |                      |              
6s.6p2            | 2D     |     3/2 |          41367.82    |  L3974,L4389
                  |        |         |                      |              
6s.6p2?           |        |     1/2 |          41367.82    |        L3974
                  |        |         |                      |              
6s2.8f            | 2F*    |     5/2 |          41456.26    |        L3974
                  |        |     7/2 |          41460.08    |        L3974
                  |        |         |                      |              
6s2.11p           | 2P*    |     1/2 |          41487.02    |        L3974
                  |        |     3/2 |          41533.30    |        L3974
                  |        |         |                      |              
6s2.10d           | 2D     |     3/2 |          41605.46    |        L3974
                  |        |         |                      |              
6s2.12s           | 2S     |     1/2 |          41798.10    |        L3974
                  |        |         |                      |              
5d2.(3F).6p       | 4G*    |     7/2 |          41968.00    |        L4320
                  |        |         |                      |              
6s2.9f            | 2F*    |     5/2 |          42000.72    |        L3974
                  |        |     7/2 |          42006.00    |        L3974
                  |        |         |                      |              
6s2.12p           | 2P*    |     1/2 |          42021.84    |        L3974
                  |        |     3/2 |          42052.89    |        L3974
                  |        |         |                      |              
6s2.11d           | 2D     |     3/2 |          42092.30    |        L3974
                  |        |         |                      |              
6s2.13s           | 2S     |     1/2 |          42359.48    |        L3974
                  |        |         |                      |              
6s2.10f           | 2F*    |     5/2 |          42372.94    |        L3974
                  |        |     7/2 |          42376.66    |        L3974
                  |        |         |                      |              
6s2.13p           | 2P*    |     1/2 |          42386.76    |        L3974
                  |        |     3/2 |          42414.79    |        L3974
                  |        |         |                      |              
6s2.12d           | 2D     |     3/2 |          42430.16    |        L3974
                  |        |         |                      |              
5d.6s.(3D).7s?    | 2D     |     3/2 |          42576.69    |        L3974
                  |        |         |                      |              
6s2.11f           | 2F*    |     5/2 |          42638.48    |        L3974
                  |        |     7/2 |          42642.05    |        L3974
                  |        |         |                      |              
6s2.14s           | 2S     |     1/2 |          42649.05    |        L3974
                  |        |         |                      |              
6s2.14p           | 2P*    |     1/2 |          42657.69    |        L3974
                  |        |     3/2 |          42667.06    |        L3974
                  |        |         |                      |              
6s2.13d           | 2D     |     3/2 |          42722.50    |        L3974
                  |        |         |                      |              
6s2.12f           | 2F*    |     5/2 |          42834.43    |        L3974
                  |        |     7/2 |          42837.99    |        L3974
                  |        |         |                      |              
6s2.15p           | 2P*    |     1/2 |          42848.31    |        L3974
                  |        |     3/2 |          42855.91    |        L3974
                  |        |         |                      |              
6s2.14d           | 2D     |     3/2 |          42873.15    |        L3974
                  |        |         |                      |              
6s2.13f           | 2F*    |     5/2 |          42982.79    |        L3974
                  |        |     7/2 |          42986.69    |        L3974
                  |        |         |                      |              
6s2.16p           | 2P*    |     3/2 |          43002.55    |        L3974
                  |        |         |                      |              
