                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7D      |   1 |           19285.485    |          
                                |         |   2 |           19330.624    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 9G*     |   0 |           19361.800    |          
                                |         |   1 |           19375.576    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7D      |   3 |           19399.839    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 9G*     |   2 |           19403.104    |          
                                |         |   3 |           19445.555    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 9F      |   6 |           19480.008    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7D      |   4 |           19507.332    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 9G*     |   4 |           19507.993    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 11P     |   5 |           19525.374    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3P) (8P*).6s     | 9P*     |   3 |           19574.024    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 9G*     |   5 |           19592.485    |          
                                |         |   6 |           19682.130    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7D      |   5 |           19700.606    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3P) (8P*).6s     | 9P*     |   4 |           19718.720    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 9G*     |   7 |           19781.555    |          
                                |         |   8 |           19850.132    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3P) (8P*).6s     | 9P*     |   5 |           19978.775    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 11P     |   6 |           20160.144    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3F) (6F*).6s     | 5F*     |   3 |           20299.870    |          
                                |         |   2 |           20303.800    |          
                                |         |   1 |           20306.942    |          
                                |         |   4 |           20324.722    |          
                                |         |     |                        |           
