1s2                | 1S     |   0 |                 0      |    L11554
                   |        |     |                        |           
1s.2s              | 3S     |   1 |           3385890      |          
                   |        |     |                        |           
1s.2p              | 3P*    |   0 |           3438304      |          
                   |        |   1 |           3438320      |          
                   |        |   2 |           3438610      |          
                   |        |     |                        |           
1s.2s              | 1S     |   0 |           3439274      |          
                   |        |     |                        |           
1s.2p              | 1P*    |   1 |           3473790      |          
                   |        |     |                        |           
1s.3s              | 3S     |   1 |           3991860      |          
                   |        |     |                        |           
1s.3s              | 1S     |   0 |           4006000      |          
                   |        |     |                        |           
1s.3p              | 3P*    |   0 |           4006160      |          
                   |        |   2 |           4006160      |          
                   |        |   1 |           4006160      |          
                   |        |     |                        |           
1s.3d              | 3D     |   3 |           4013460      |          
                   |        |   2 |           4013460      |          
                   |        |   1 |           4013460      |          
                   |        |     |                        |           
1s.3d              | 1D     |   2 |           4013770      |          
                   |        |     |                        |           
1s.3p              | 1P*    |   1 |           4016390      |          
                   |        |     |                        |           
1s.4s              | 3S     |   1 |           4196800      |          
                   |        |     |                        |           
1s.4s              | 1S     |   0 |           4202520      |          
                   |        |     |                        |           
1s.4p              | 3P*    |   1 |           4202620      |          
                   |        |   0 |           4202620      |          
                   |        |   2 |           4202620      |          
                   |        |     |                        |           
1s.4d              | 3D     |   1 |           4205820      |          
                   |        |   2 |           4205820      |          
                   |        |   3 |           4205820      |          
                   |        |     |                        |           
1s.4d              | 1D     |   2 |           4205830      |          
                   |        |     |                        |           
1s.4p              | 1P*    |   1 |           4206810      |          
                   |        |     |                        |           
1s.5s              | 3S     |   1 |           4290150      |          
                   |        |     |                        |           
1s.5s              | 1S     |   0 |           4293020      |          
                   |        |     |                        |           
1s.5p              | 3P*    |   1 |           4293080      |          
                   |        |   2 |           4293080      |          
                   |        |   0 |           4293080      |          
                   |        |     |                        |           
1s.5d              | 3D     |   2 |           4294570      |          
                   |        |   1 |           4294570      |          
                   |        |   3 |           4294570      |          
                   |        |     |                        |           
1s.5d              | 1D     |   2 |           4294670      |          
                   |        |     |                        |           
1s.5p              | 1P*    |   1 |           4296090      |          
                   |        |     |                        |           
1s.6p              | 3P*    |   2 |           4342360      |          
                   |        |     |                        |           
1s.6d              | 3D     |   3 |           4342810      |          
                   |        |   3 |           4343250      |          
                   |        |     |                        |           
1s.6p              | 1P*    |   1 |           4343290      |          
                   |        |     |                        |           
1s.7p              | 3P*    |   2 |           4371460      |          
                   |        |     |                        |           
1s.7d              | 3D     |   3 |           4371840      |          
                   |        |     |                        |           
1s.7p              | 1P*    |   1 |           4372540      |          
                   |        |     |                        |           
1s.8p              | 3P*    |   2 |           4390900      |          
                   |        |     |                        |           
1s.8d              | 3D     |   3 |           4391000      |          
                   |        |     |                        |           
1s.8p              | 1P*    |   1 |           4392710      |          
                   |        |     |                        |           
1s.9p              | 3P*    |   2 |           4403100      |          
                   |        |     |                        |           
1s.9d              | 3D     |   3 |           4403800      |          
                   |        |     |                        |           
1s.10p             | 3P*    |   2 |           4412500      |          
                   |        |     |                        |           
1s.10d             | 3D     |   3 |           4413300      |          
