8k              | 2K*    | 13/2 |                  (1728586.0200170)     | L3620c107
                |        |      |                                        |           
8i              | 2I     | 13/2 |                  (1728586.020159)      | L3620c107
                |        |      |                                        |           
8k              | 2K*    | 15/2 |                  (1728586.0723110)     | L3620c107
                |        |      |                                        |           
9p              | 2P*    |  1/2 |                  (1734341.75268)       | L3620c107
                |        |      |                                        |           
9s              | 2S     |  1/2 |                  (1734341.81928)       | L3620c107
                |        |      |                                        |           
9d              | 2D     |  3/2 |                  (1734342.77972)       | L3620c107
                |        |      |                                        |           
9p              | 2P*    |  3/2 |                  (1734342.78150)       | L3620c107
                |        |      |                                        |           
9f              | 2F*    |  5/2 |                  (1734343.12193)       | L3620c107
                |        |      |                                        |           
9d              | 2D     |  5/2 |                  (1734343.12256)       | L3620c107
                |        |      |                                        |           
9g              | 2G     |  7/2 |                  (1734343.293012)      | L3620c107
                |        |      |                                        |           
9f              | 2F*    |  7/2 |                  (1734343.29334)       | L3620c107
                |        |      |                                        |           
9h              | 2H*    |  9/2 |                  (1734343.395651)      | L3620c107
                |        |      |                                        |           
9g              | 2G     |  9/2 |                  (1734343.395854)      | L3620c107
                |        |      |                                        |           
9i              | 2I     | 11/2 |                  (1734343.464073)      | L3620c107
                |        |      |                                        |           
9h              | 2H*    | 11/2 |                  (1734343.464211)      | L3620c107
                |        |      |                                        |           
9k              | 2K*    | 13/2 |                  (1734343.5129431)     | L3620c107
                |        |      |                                        |           
9i              | 2I     | 13/2 |                  (1734343.513044)      | L3620c107
                |        |      |                                        |           
9l              | 2L     | 15/2 |                  (1734343.5495948)     | L3620c107
                |        |      |                                        |           
9k              | 2K*    | 15/2 |                  (1734343.5496709)     | L3620c107
                |        |      |                                        |           
9l              | 2L     | 17/2 |                  (1734343.5781607)     | L3620c107
                |        |      |                                        |           
10p             | 2P*    |  1/2 |                  (1738460.53592)       | L3620c107
                |        |      |                                        |           
10s             | 2S     |  1/2 |                  (1738460.58449)       | L3620c107
                |        |      |                                        |           
10d             | 2D     |  3/2 |                  (1738461.28463)       | L3620c107
                |        |      |                                        |           
10p             | 2P*    |  3/2 |                  (1738461.28592)       | L3620c107
                |        |      |                                        |           
10f             | 2F*    |  5/2 |                  (1738461.53410)       | L3620c107
                |        |      |                                        |           
10d             | 2D     |  5/2 |                  (1738461.53456)       | L3620c107
                |        |      |                                        |           
10g             | 2G     |  7/2 |                  (1738461.658809)      | L3620c107
                |        |      |                                        |           
10f             | 2F*    |  7/2 |                  (1738461.65905)       | L3620c107
                |        |      |                                        |           
10h             | 2H*    |  9/2 |                  (1738461.733632)      | L3620c107
                |        |      |                                        |           
10g             | 2G     |  9/2 |                  (1738461.733780)      | L3620c107
                |        |      |                                        |           
10i             | 2I     | 11/2 |                  (1738461.783512)      | L3620c107
                |        |      |                                        |           
10h             | 2H*    | 11/2 |                  (1738461.783612)      | L3620c107
                |        |      |                                        |           
10k             | 2K*    | 13/2 |                  (1738461.8191386)     | L3620c107
                |        |      |                                        |           
10i             | 2I     | 13/2 |                  (1738461.819211)      | L3620c107
                |        |      |                                        |           
10l             | 2L     | 15/2 |                  (1738461.8458577)     | L3620c107
                |        |      |                                        |           
10k             | 2K*    | 15/2 |                  (1738461.8459133)     | L3620c107
                |        |      |                                        |           
10m             | 2M*    | 17/2 |                  (1738461.8666387)     | L3620c107
                |        |      |                                        |           
10l             | 2L     | 17/2 |                  (1738461.8666823)     | L3620c107
                |        |      |                                        |           
10m             | 2M*    | 19/2 |                  (1738461.8832983)     | L3620c107
                |        |      |                                        |           
11p             | 2P*    |  1/2 |                  (1741507.93819)       | L3620c107
                |        |      |                                        |           
11s             | 2S     |  1/2 |                  (1741507.974681)      | L3620c107
                |        |      |                                        |           
11d             | 2D     |  3/2 |                  (1741508.50070)       | L3620c107
                |        |      |                                        |           
11p             | 2P*    |  3/2 |                  (1741508.50167)       | L3620c107
                |        |      |                                        |           
11f             | 2F*    |  5/2 |                  (1741508.68813)       | L3620c107
                |        |      |                                        |           
11d             | 2D     |  5/2 |                  (1741508.68847)       | L3620c107
                |        |      |                                        |           
11g             | 2G     |  7/2 |                  (1741508.781827)      | L3620c107
                |        |      |                                        |           
11f             | 2F*    |  7/2 |                  (1741508.78201)       | L3620c107
                |        |      |                                        |           
11h             | 2H*    |  9/2 |                  (1741508.838043)      | L3620c107
                |        |      |                                        |           
11g             | 2G     |  9/2 |                  (1741508.838154)      | L3620c107
                |        |      |                                        |           
11i             | 2I     | 11/2 |                  (1741508.875518)      | L3620c107
                |        |      |                                        |           
11h             | 2H*    | 11/2 |                  (1741508.875594)      | L3620c107
                |        |      |                                        |           
11k             | 2K*    | 13/2 |                  (1741508.9022852)     | L3620c107
                |        |      |                                        |           
11i             | 2I     | 13/2 |                  (1741508.902340)      | L3620c107
                |        |      |                                        |           
11l             | 2L     | 15/2 |                  (1741508.9223596)     | L3620c107
                |        |      |                                        |           
11k             | 2K*    | 15/2 |                  (1741508.9224013)     | L3620c107
                |        |      |                                        |           
11m             | 2M*    | 17/2 |                  (1741508.9379726)     | L3620c107
                |        |      |                                        |           
11l             | 2L     | 17/2 |                  (1741508.9380054)     | L3620c107
                |        |      |                                        |           
11n             | 2N     | 19/2 |                  (1741508.95046271)    | L3620c107
                |        |      |                                        |           
11m             | 2M*    | 19/2 |                  (1741508.9504892)     | L3620c107
                |        |      |                                        |           
11n             | 2N     | 21/2 |                  (1741508.96070356)    | L3620c107
                |        |      |                                        |           
12p             | 2P*    |  1/2 |                  (1743825.71731)       | L3620c107
                |        |      |                                        |           
12s             | 2S     |  1/2 |                  (1743825.745418)      | L3620c107
                |        |      |                                        |           
12o             | 2O*    | 23/2 |                  (1743826.51145576)    | L3620c107
                |        |      |                                        |           
13p             | 2P*    |  1/2 |                  (1745629.481014)      | L3620c107
                |        |      |                                        |           
13s             | 2S     |  1/2 |                  (1745629.503127)      | L3620c107
                |        |      |                                        |           
13q             | 2Q     | 25/2 |                  (1745630.10999519)    | L3620c107
                |        |      |                                        |           
14p             | 2P*    |  1/2 |                  (1747060.703073)      | L3620c107
                |        |      |                                        |           
14s             | 2S     |  1/2 |                  (1747060.720778)      | L3620c107
                |        |      |                                        |           
14r             | 2R*    | 27/2 |                  (1747061.20966279)    | L3620c107
                |        |      |                                        |           
