4f13                   | 2F*       |  7/2 |              0.00    |       L3974
                       |           |  5/2 |           8774.02    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<3/2>   | (6,3/2)   |  9/2 |          22897.47    |            
                       |           |      |                      |             
4f12.(3H<6>).6s<1/2>   | (6,1/2)   | 13/2 |          25302.65    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<3/2>   | (6,3/2)   | 15/2 |          25878.84    |            
                       |           |      |                      |             
4f12.(3H<6>).6s<1/2>   | (6,1/2)   | 11/2 |          25920.78    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<3/2>   | (6,3/2)   | 11/2 |          26252.40    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<5/2>   | (6,5/2)   |  7/2 |          27547.25    |            
                       |           | 17/2 |          27557.98    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<3/2>   | (6,3/2)   | 13/2 |          28720.87    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<5/2>   | (6,5/2)   | 11/2 |          30532.34    |            
                       |           |  9/2 |          30535.69    |            
                       |           | 15/2 |          30664.98    |            
                       |           |      |                      |             
4f12.(3F<4>).6s<1/2>   | (4,1/2)   |  9/2 |          31037.52    |            
                       |           |      |                      |             
4f12.(3H<6>).5d<5/2>   | (6,5/2)   | 13/2 |          31323.46    |            
                       |           |      |                      |             
4f12.(3F<4>).6s<1/2>   | (4,1/2)   |  7/2 |          31368.59    |            
                       |           |      |                      |             
4f12.(3F<4>).5d<3/2>   | (4,3/2)   |  5/2 |          31570.50    |            
                       |           |  7/2 |          32262.88    |            
                       |           |  9/2 |          32797.68    |            
                       |           | 11/2 |          33236.12    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<5/2>   | (5,5/2)   |  5/2 |          33605.40    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<3/2>   | (5,3/2)   |  7/2 |          33630.68    |            
                       |           |      |                      |             
4f12.(3H<5>).6s<1/2>   | (5,1/2)   | 11/2 |          33802.80    |            
                       |           |  9/2 |          33831.91    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<3/2>   | (5,3/2)   | 13/2 |          34124.20    |            
                       |           |      |                      |             
4f12.(3F<4>).5d<5/2>   | (4,5/2)   | 11/2 |          34826.83    |            
                       |           |  9/2 |          35751.15    |            
                       |           |      |                      |             
4f12.(3F<4>).5d<5/2>   |           | 13/2 |          36369.12    |            
                       |           |      |                      |             
4f12.(3F<4>).5d<3/2>   |           |  5/2 |          36391.74    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<5/2>   | (5,5/2)   |  7/2 |          36405.98    |            
                       |           | 15/2 |          36466.44    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<3/2>   | (5,3/2)   | 11/2 |          36810.12    |            
                       |           |  9/2 |          37028.88    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<5/2>   |           |  7/2 |          37367.92    |            
                       |           |      |                      |             
4f12.(3H<4>).6s<1/2>   |           |  9/2 |          38003.36    |            
                       |           |      |                      |             
4f12.(3H<4>).6s<1/2>   | (4,1/2)   |  7/2 |          38055.53    |            
                       |           |      |                      |             
4f12.(3F<4>).5d<5/2>   |           |  3/2 |          38175.36    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<5/2>   | (5,5/2)   |  9/2 |          38610.32    |            
                       |           |      |                      |             
4f12.(3H<4>).5d<3/2>   | (4,3/2)   | 11/2 |          39142.50    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<5/2>   |           |  5/2 |          39278.57    |            
                       |           |      |                      |             
4f12.(3H<5>).5d<5/2>   | (5,5/2)   | 13/2 |          39496.32    |            
                       |           | 11/2 |          39604.23    |            
                       |           |      |                      |             
4f12.(3F<3>).6s<1/2>   | (3,1/2)   |  5/2 |          39882.62    |            
                       |           |      |                      |             
4f12.(3F<3>).6s<1/2>   | (3,1/2)   |  7/2 |          39934.71    |            
                       |           |      |                      |             
