2s                  | 2S     | 1/2 |                 0     |     L9783
                    |        |     |                       |           
2p                  | 2P*    | 1/2 |            966420     |     L9783
                    |        | 3/2 |           3971000     |     L7263
                    |        |     |                       |           
3s                  | 2S     | 1/2 |          44497000     |    L10567
                    |        |     |                       |           
3p                  | 2P*    | 3/2 |          45664000     |    L10567
                    |        |     |                       |           
3d                  | 2D     | 3/2 |          45744000     |    L10567
                    |        | 5/2 |          46012000     |    L10567
